年份,科类,批次,控制线分数,对应位次,数据来源
2021,文科,一本,560,22182,安徽省教育招生考试院公告 + 一分一段表反查
2021,文科,二本,519,51799,安徽省教育招生考试院公告 + 一分一段表反查
2021,文科,专科,200,183508,安徽省教育招生考试院公告 + 一分一段表反查
2021,理科,一本,488,89923,安徽省教育招生考试院公告 + 一分一段表反查
2021,理科,二本,415,157156,安徽省教育招生考试院公告 + 一分一段表反查
2021,理科,专科,200,225474,安徽省教育招生考试院公告 + 一分一段表反查
2022,文科,一本,523,21783,安徽省教育招生考试院公告 + 一分一段表反查
2022,文科,二本,480,52689,安徽省教育招生考试院公告 + 一分一段表反查
2022,文科,专科,200,165796,安徽省教育招生考试院公告 + 一分一段表反查
2022,理科,一本,491,96576,安徽省教育招生考试院公告 + 一分一段表反查
2022,理科,二本,435,164413,安徽省教育招生考试院公告 + 一分一段表反查
2022,理科,专科,200,277190,安徽省教育招生考试院公告 + 一分一段表反查
2023,文科,一本,495,25413,安徽省教育招生考试院公告 + 一分一段表反查
2023,文科,二本,440,51905,安徽省教育招生考试院公告 + 一分一段表反查
2023,文科,专科,200,149688,安徽省教育招生考试院公告 + 一分一段表反查
2023,理科,一本,482,101657,安徽省教育招生考试院公告 + 一分一段表反查
2023,理科,二本,427,167156,安徽省教育招生考试院公告 + 一分一段表反查
2023,理科,专科,200,298845,安徽省教育招生考试院公告 + 一分一段表反查
2024,物理类,本科批,465,176157,安徽省教育招生考试院公告 + 一分一段表反查
2024,物理类,本科特控线,514,107457,安徽省教育招生考试院公告 + 一分一段表反查
2024,物理类,专科批,200,313412,安徽省教育招生考试院公告 + 一分一段表反查
2024,历史类,本科批,462,45528,安徽省教育招生考试院公告 + 一分一段表反查
2024,历史类,本科特控线,512,25035,安徽省教育招生考试院公告 + 一分一段表反查
2024,历史类,专科批,200,135237,安徽省教育招生考试院公告 + 一分一段表反查
2025,物理类,本科批,461,191416,安徽省教育招生考试院公告 + 一分一段表反查
2025,物理类,本科特控线,514,114928,安徽省教育招生考试院公告 + 一分一段表反查
2025,物理类,专科批,200,320779,安徽省教育招生考试院公告 + 一分一段表反查
2025,历史类,本科批,477,44750,安徽省教育招生考试院公告 + 一分一段表反查
2025,历史类,本科特控线,515,26691,安徽省教育招生考试院公告 + 一分一段表反查
2025,历史类,专科批,200,141400,安徽省教育招生考试院公告 + 一分一段表反查
