年份,科类,批次,控制线分数,对应位次,数据来源
2021,物理类,本科批,446,78292,重庆市教育考试院公告 + 一分一段表反查
2021,历史类,本科批,456,39286,重庆市教育考试院公告 + 一分一段表反查
2021,物理类,本科特控线,528,46580,重庆市教育考试院公告 + 一分一段表反查
2021,历史类,本科特控线,538,13893,重庆市教育考试院公告 + 一分一段表反查
2021,物理类,专科批,180,98954,重庆市教育考试院公告 + 一分一段表反查
2021,历史类,专科批,180,82738,重庆市教育考试院公告 + 一分一段表反查
2022,物理类,本科批,411,84524,重庆市教育考试院公告 + 一分一段表反查
2022,历史类,本科批,415,36392,重庆市教育考试院公告 + 一分一段表反查
2022,物理类,本科特控线,476,54758,重庆市教育考试院公告 + 一分一段表反查
2022,历史类,本科特控线,493,15194,重庆市教育考试院公告 + 一分一段表反查
2022,物理类,专科批,180,112556,重庆市教育考试院公告 + 一分一段表反查
2022,历史类,专科批,180,69770,重庆市教育考试院公告 + 一分一段表反查
2023,物理类,本科批,406,87297,重庆市教育考试院公告 + 一分一段表反查
2023,历史类,本科批,407,34897,重庆市教育考试院公告 + 一分一段表反查
2023,物理类,本科特控线,468,56474,重庆市教育考试院公告 + 一分一段表反查
2023,历史类,本科特控线,480,15119,重庆市教育考试院公告 + 一分一段表反查
2023,物理类,专科批,180,120872,重庆市教育考试院公告 + 一分一段表反查(GitHub源最低分至182)
2023,历史类,专科批,180,71212,重庆市教育考试院公告 + 一分一段表反查(GitHub源最低分至182)
2024,物理类,本科批,427,97452,重庆市教育考试院公告 + 一分一段表反查
2024,历史类,本科批,428,32498,重庆市教育考试院公告 + 一分一段表反查
2024,物理类,本科特控线,499,61400,重庆市教育考试院公告 + 一分一段表反查
2024,历史类,本科特控线,506,13677,重庆市教育考试院公告 + 一分一段表反查
2024,物理类,专科批,180,132325,重庆市教育考试院公告 + 一分一段表反查
2024,历史类,专科批,180,68070,重庆市教育考试院公告 + 一分一段表反查
2025,物理类,本科批,425,103219,重庆市教育考试院公告 + 一分一段表反查
2025,历史类,本科批,438,35253,重庆市教育考试院公告 + 一分一段表反查
2025,物理类,本科特控线,498,63323,重庆市教育考试院公告 + 一分一段表反查
2025,历史类,本科特控线,515,14156,重庆市教育考试院公告 + 一分一段表反查
2025,物理类,专科批,180,139478,重庆市教育考试院公告 + 一分一段表反查
2025,历史类,专科批,180,73373,重庆市教育考试院公告 + 一分一段表反查
