年份,科类,批次,控制线分数,对应位次,数据来源
2021,物理类,本科批,423,89111,福建省教育考试院公告 + 一分一段表反查
2021,历史类,本科批,467,29506,福建省教育考试院公告 + 一分一段表反查
2021,物理类,本科特控线,530,38373,福建省教育考试院公告 + 一分一段表反查
2021,历史类,本科特控线,546,7793,福建省教育考试院公告 + 一分一段表反查
2021,物理类,专科批,220,117368,福建省教育考试院公告 + 一分一段表反查
2021,历史类,专科批,220,77668,福建省教育考试院公告 + 一分一段表反查
2022,物理类,本科批,428,94349,福建省教育考试院公告 + 一分一段表反查
2022,历史类,本科批,468,30023,福建省教育考试院公告 + 一分一段表反查
2022,物理类,本科特控线,520,41181,福建省教育考试院公告 + 一分一段表反查
2022,历史类,本科特控线,542,8124,福建省教育考试院公告 + 一分一段表反查
2022,物理类,专科批,220,138688,福建省教育考试院公告 + 一分一段表反查
2022,历史类,专科批,220,75885,福建省教育考试院公告 + 一分一段表反查
2023,物理类,本科批,431,101225,福建省教育考试院公告 + 一分一段表反查
2023,历史类,本科批,453,23923,福建省教育考试院公告 + 一分一段表反查
2023,物理类,本科特控线,518,45182,福建省教育考试院公告 + 一分一段表反查
2023,历史类,本科特控线,531,8185,福建省教育考试院公告 + 一分一段表反查
2023,物理类,专科批,220,164978,福建省教育考试院公告 + 一分一段表反查
2023,历史类,专科批,220,62373,福建省教育考试院公告 + 一分一段表反查
2024,物理类,本科批,449,111573,福建省教育考试院公告 + 一分一段表反查
2024,历史类,本科批,431,26745,福建省教育考试院公告 + 一分一段表反查
2024,物理类,本科特控线,538,48419,福建省教育考试院公告 + 一分一段表反查
2024,历史类,本科特控线,519,9401,福建省教育考试院公告 + 一分一段表反查
2024,物理类,专科批,220,180382,福建省教育考试院公告 + 一分一段表反查
2024,历史类,专科批,220,56844,福建省教育考试院公告 + 一分一段表反查
2025,物理类,本科批,441,119155,福建省教育考试院公告 + 一分一段表反查
2025,历史类,本科批,450,25562,福建省教育考试院公告 + 一分一段表反查
2025,物理类,本科特控线,520,54409,福建省教育考试院公告 + 一分一段表反查
2025,历史类,本科特控线,531,9424,福建省教育考试院公告 + 一分一段表反查
2025,物理类,专科批,235,191556,福建省教育考试院公告 + 一分一段表反查
2025,历史类,专科批,235,59835,福建省教育考试院公告 + 一分一段表反查
