年份,科类,批次,控制线分数,对应位次,数据来源
2021,文科,一本,502,8026,甘肃省教育考试院公告 + 一分一段表反查
2021,文科,二本,432,26821,甘肃省教育考试院公告 + 一分一段表反查
2021,文科,专科,160,82164,甘肃省教育考试院公告 + 一分一段表反查
2021,理科,一本,440,34827,甘肃省教育考试院公告 + 一分一段表反查
2021,理科,二本,336,85159,甘肃省教育考试院公告 + 一分一段表反查
2021,理科,专科,160,112216,甘肃省教育考试院公告 + 一分一段表反查
2022,文科,一本,485,7758,甘肃省教育考试院公告 + 一分一段表反查
2022,文科,二本,425,26367,甘肃省教育考试院公告 + 一分一段表反查
2022,文科,专科,160,80842,甘肃省教育考试院公告 + 一分一段表反查
2022,理科,一本,442,33863,甘肃省教育考试院公告 + 一分一段表反查
2022,理科,二本,345,83759,甘肃省教育考试院公告 + 一分一段表反查
2022,理科,专科,160,112687,甘肃省教育考试院公告 + 一分一段表反查
2023,文科,一本,488,7549,甘肃省教育考试院公告 + 一分一段表反查
2023,文科,二本,420,26139,甘肃省教育考试院公告 + 一分一段表反查
2023,文科,专科,160,76386,甘肃省教育考试院公告 + 一分一段表反查
2023,理科,一本,433,34223,甘肃省教育考试院公告 + 一分一段表反查
2023,理科,二本,337,84364,甘肃省教育考试院公告 + 一分一段表反查
2023,理科,专科,160,118095,甘肃省教育考试院公告 + 一分一段表反查
2024,物理类,本科批,370,90622,甘肃省教育考试院公告 + 一分一段表反查
2024,物理类,本科特控线,488,37642,甘肃省教育考试院公告 + 一分一段表反查
2024,物理类,专科批,160,115509,甘肃省教育考试院公告 + 一分一段表反查
2024,历史类,本科批,421,23773,甘肃省教育考试院公告 + 一分一段表反查
2024,历史类,本科特控线,502,8606,甘肃省教育考试院公告 + 一分一段表反查
2024,历史类,专科批,160,59427,甘肃省教育考试院公告 + 一分一段表反查
2025,物理类,本科批,374,94256,甘肃省教育考试院公告 + 一分一段表反查
2025,物理类,本科特控线,475,40132,甘肃省教育考试院公告 + 一分一段表反查
2025,物理类,专科批,180,120677,甘肃省教育考试院公告 + 一分一段表反查
2025,历史类,本科批,412,25494,甘肃省教育考试院公告 + 一分一段表反查
2025,历史类,本科特控线,500,8446,甘肃省教育考试院公告 + 一分一段表反查
2025,历史类,专科批,160,56983,甘肃省教育考试院公告 + 一分一段表反查
