年份,科类,批次,控制线分数,对应位次,数据来源
2021,物理类,本科批,432,222314,广东省教育考试院公告 + 一分一段表反查
2021,历史类,本科批,448,95594,广东省教育考试院公告 + 一分一段表反查
2021,物理类,本科特控线,539,82994,广东省教育考试院公告 + 一分一段表反查
2021,历史类,本科特控线,548,19847,广东省教育考试院公告 + 一分一段表反查
2021,物理类,专科批,160,337615,广东省教育考试院公告 + 一分一段表反查
2021,历史类,专科批,160,268650,广东省教育考试院公告 + 一分一段表反查
2022,物理类,本科批,445,233239,广东省教育考试院公告 + 一分一段表反查
2022,历史类,本科批,437,101092,广东省教育考试院公告 + 一分一段表反查
2022,物理类,本科特控线,538,86831,广东省教育考试院公告 + 一分一段表反查
2022,历史类,本科特控线,532,20613,广东省教育考试院公告 + 一分一段表反查
2022,物理类,专科批,180,398474,广东省教育考试院公告 + 一分一段表反查
2022,历史类,专科批,180,270956,广东省教育考试院公告 + 一分一段表反查
2023,物理类,本科批,439,暂无,广东省教育考试院公告(2023年一分一段表为扫描版无法反查位次)
2023,历史类,本科批,433,暂无,广东省教育考试院公告(2023年一分一段表为扫描版无法反查位次)
2023,物理类,本科特控线,539,暂无,广东省教育考试院公告(2023年一分一段表为扫描版无法反查位次)
2023,历史类,本科特控线,540,暂无,广东省教育考试院公告(2023年一分一段表为扫描版无法反查位次)
2023,物理类,专科批,180,暂无,广东省教育考试院公告(2023年一分一段表为扫描版无法反查位次)
2023,历史类,专科批,180,暂无,广东省教育考试院公告(2023年一分一段表为扫描版无法反查位次)
2024,物理类,本科批,442,253795,广东省教育考试院公告 + 一分一段表反查
2024,历史类,本科批,428,96266,广东省教育考试院公告 + 一分一段表反查
2024,物理类,本科特控线,532,96438,广东省教育考试院公告 + 一分一段表反查
2024,历史类,本科特控线,539,19040,广东省教育考试院公告 + 一分一段表反查
2024,物理类,专科批,200,448804,广东省教育考试院公告 + 一分一段表反查
2024,历史类,专科批,200,266436,广东省教育考试院公告 + 一分一段表反查
2025,物理类,本科批,436,276586,广东省教育考试院公告 + 一分一段表反查
2025,历史类,本科批,464,91654,广东省教育考试院公告 + 一分一段表反查
2025,物理类,本科特控线,534,106293,广东省教育考试院公告 + 一分一段表反查
2025,历史类,本科特控线,557,20815,广东省教育考试院公告 + 一分一段表反查
2025,物理类,专科批,200,437354,广东省教育考试院公告 + 一分一段表反查
2025,历史类,专科批,215,287507,广东省教育考试院公告 + 一分一段表反查
