年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,本科一批,487,44156,广西招办公告 + 一分一段表反查
2021,文科,本科一批,530,10149,广西招办公告 + 一分一段表反查
2021,理科,本科二批,348,134003,广西招办公告 + 一分一段表反查
2021,文科,本科二批,413,50575,广西招办公告 + 一分一段表反查
2021,理科,专科批,180,208065,广西招办公告 + 一分一段表反查
2021,文科,专科批,180,132312,广西招办公告 + 一分一段表反查
2022,理科,本科一批,475,46667,广西招办公告 + 一分一段表反查
2022,文科,本科一批,532,10812,广西招办公告 + 一分一段表反查
2022,理科,本科二批,343,144057,广西招办公告 + 一分一段表反查
2022,文科,本科二批,421,54480,广西招办公告 + 一分一段表反查
2022,理科,专科批,180,226035,广西招办公告 + 一分一段表反查
2022,文科,专科批,180,148581,广西招办公告 + 一分一段表反查
2023,理科,本科一批,475,49319,广西招办公告 + 一分一段表反查
2023,文科,本科一批,528,12289,广西招办公告 + 一分一段表反查
2023,理科,本科二批,347,151278,广西招办公告 + 一分一段表反查
2023,文科,本科二批,428,56144,广西招办公告 + 一分一段表反查
2023,理科,专科批,180,235631,广西招办公告 + 一分一段表反查
2023,文科,专科批,180,148941,广西招办公告 + 一分一段表反查
2024,物理类,本科批,371,161744,广西招办公告 + 一分一段表反查
2024,历史类,本科批,400,52640,广西招办公告 + 一分一段表反查
2024,物理类,本科特控线,501,55528,广西招办公告 + 一分一段表反查
2024,历史类,本科特控线,519,12019,广西招办公告 + 一分一段表反查
2024,物理类,专科批,200,250877,广西招办公告 + 一分一段表反查
2024,历史类,专科批,200,128271,广西招办公告 + 一分一段表反查
2025,物理类,本科批,370,175380,广西招办公告 + 一分一段表反查
2025,历史类,本科批,402,53549,广西招办公告 + 一分一段表反查
2025,物理类,本科特控线,495,59559,广西招办公告 + 一分一段表反查
2025,历史类,本科特控线,518,12323,广西招办公告 + 一分一段表反查
2025,物理类,专科批,200,260429,广西招办公告 + 一分一段表反查
2025,历史类,专科批,200,119153,广西招办公告 + 一分一段表反查
