年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,本科一批,456,49262,贵州省招生考试院公告 + 一分一段表反查
2021,理科,本科二批,367,128443,贵州省招生考试院公告 + 一分一段表反查
2021,理科,专科批,180,210101,贵州省招生考试院公告 + 一分一段表反查
2021,文科,本科一批,556,10117,贵州省招生考试院公告 + 一分一段表反查
2021,文科,本科二批,479,43219,贵州省招生考试院公告 + 一分一段表反查
2021,文科,专科批,180,125798,贵州省招生考试院公告 + 一分一段表反查
2022,理科,本科一批,451,50301,贵州省招生考试院公告 + 一分一段表反查
2022,理科,本科二批,360,132295,贵州省招生考试院公告 + 一分一段表反查
2022,理科,专科批,180,211509,贵州省招生考试院公告 + 一分一段表反查
2022,文科,本科一批,549,10000,贵州省招生考试院公告 + 一分一段表反查
2022,文科,本科二批,471,44437,贵州省招生考试院公告 + 一分一段表反查
2022,文科,专科批,180,123232,贵州省招生考试院公告 + 一分一段表反查
2023,理科,本科一批,459,52363,贵州省招生考试院公告 + 一分一段表反查
2023,理科,本科二批,371,135191,贵州省招生考试院公告 + 一分一段表反查
2023,理科,专科批,180,215855,贵州省招生考试院公告 + 一分一段表反查
2023,文科,本科一批,545,10534,贵州省招生考试院公告 + 一分一段表反查
2023,文科,本科二批,477,42216,贵州省招生考试院公告 + 一分一段表反查
2023,文科,专科批,180,118442,贵州省招生考试院公告 + 一分一段表反查
2024,物理类,本科批,380,155799,贵州省招生考试院公告 + 一分一段表反查
2024,物理类,本科特控线,482,64575,贵州省招生考试院公告 + 一分一段表反查
2024,物理类,专科批,180,212675,贵州省招生考试院公告 + 一分一段表反查
2024,历史类,本科批,442,42729,贵州省招生考试院公告 + 一分一段表反查
2024,历史类,本科特控线,505,17738,贵州省招生考试院公告 + 一分一段表反查
2024,历史类,专科批,180,97551,贵州省招生考试院公告 + 一分一段表反查
2025,物理类,本科批,387,158061,贵州省招生考试院公告 + 一分一段表反查
2025,物理类,本科特控线,483,65977,贵州省招生考试院公告 + 一分一段表反查
2025,物理类,专科批,180,204980,贵州省招生考试院公告 + 一分一段表反查
2025,历史类,本科批,458,39331,贵州省招生考试院公告 + 一分一段表反查
2025,历史类,本科特控线,517,16289,贵州省招生考试院公告 + 一分一段表反查
2025,历史类,专科批,180,88398,贵州省招生考试院公告 + 一分一段表反查
