年份,科类,批次,控制线分数,对应位次,数据来源
2021,物理类,本科批,412,163586,河北省教育考试院公告 + 一分一段表反查
2021,物理类,本科特控线,498,89072,河北省教育考试院公告 + 一分一段表反查
2021,物理类,专科批,200,215695,河北省教育考试院公告 + 一分一段表反查
2021,历史类,本科批,454,67586,河北省教育考试院公告 + 一分一段表反查
2021,历史类,本科特控线,520,25811,河北省教育考试院公告 + 一分一段表反查
2021,历史类,专科批,200,199993,河北省教育考试院公告 + 一分一段表反查
2022,物理类,本科批,430,177075,河北省教育考试院公告 + 一分一段表反查
2022,物理类,本科特控线,487,106171,河北省教育考试院公告 + 一分一段表反查
2022,物理类,专科批,200,296674,河北省教育考试院公告 + 一分一段表反查
2022,历史类,本科批,443,68412,河北省教育考试院公告 + 一分一段表反查
2022,历史类,本科特控线,506,29884,河北省教育考试院公告 + 一分一段表反查
2022,历史类,专科批,200,192095,河北省教育考试院公告 + 一分一段表反查
2023,物理类,本科批,439,183522,河北省教育考试院公告 + 一分一段表反查
2023,物理类,本科特控线,492,110450,河北省教育考试院公告 + 一分一段表反查
2023,物理类,专科批,200,333242,河北省教育考试院公告 + 一分一段表反查
2023,历史类,本科批,430,70593,河北省教育考试院公告 + 一分一段表反查
2023,历史类,本科特控线,495,31063,河北省教育考试院公告 + 一分一段表反查
2023,历史类,专科批,200,232606,河北省教育考试院公告 + 一分一段表反查
2024,物理类,本科批,448,207066,河北省教育考试院公告 + 一分一段表反查
2024,物理类,本科特控线,484,148325,河北省教育考试院公告 + 一分一段表反查
2024,物理类,专科批,200,382902,河北省教育考试院公告 + 一分一段表反查
2024,历史类,本科批,449,65868,河北省教育考试院公告 + 一分一段表反查
2024,历史类,本科特控线,506,34400,河北省教育考试院公告 + 一分一段表反查
2024,历史类,专科批,200,236792,河北省教育考试院公告 + 一分一段表反查
2025,物理类,本科批,459,224230,"河北省教育考试院公告 + 公开汇总稿(2025 一分一段完整版暂无结构化数据,位次为锚点估算)"
2025,物理类,本科特控线,499,162246,"河北省教育考试院公告 + 公开汇总稿(2025 一分一段完整版暂无结构化数据,位次为锚点估算)"
2025,物理类,专科批,200,361477,"河北省教育考试院公告 + 公开汇总稿(2025 一分一段完整版暂无结构化数据,位次为锚点估算)"
2025,历史类,本科批,477,64897,"河北省教育考试院公告 + 公开汇总稿(2025 一分一段完整版暂无结构化数据,位次为锚点估算)"
2025,历史类,本科特控线,527,33954,"河北省教育考试院公告 + 公开汇总稿(2025 一分一段完整版暂无结构化数据,位次为锚点估算)"
2025,历史类,专科批,200,236503,"河北省教育考试院公告 + 公开汇总稿(2025 一分一段完整版暂无结构化数据,位次为锚点估算)"
