年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,本科一批,415,38639,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2021,文科,本科一批,472,8007,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2021,理科,本科二批,280,82089,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2021,文科,本科二批,354,25880,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2022,理科,本科一批,429,37717,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2022,文科,本科一批,463,7894,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2022,理科,本科二批,308,84254,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2022,文科,本科二批,365,25768,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2023,理科,本科一批,408,38694,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2023,文科,本科一批,430,7852,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2023,理科,本科二批,287,84673,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2023,文科,本科二批,341,24550,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2024,物理类,本科批,360,86751,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2024,历史类,本科批,410,23790,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2024,物理类,本科特控线,480,41217,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2024,历史类,本科特控线,486,11036,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2024,物理类,专科批,160,122239,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2024,历史类,专科批,160,56056,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2025,物理类,本科批,360,85313,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2025,历史类,本科批,405,22977,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2025,物理类,本科特控线,472,41927,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2025,历史类,本科特控线,480,10649,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2025,物理类,专科批,160,117306,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
2025,历史类,专科批,160,54577,黑龙江省招生考试委员会公告 + 中国教育在线 + 一分一段表反查
