年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,一本,518,116712,省教育考试院/省招办公告 + 一分一段表反查
2021,理科,二本,400,297990,省教育考试院/省招办公告 + 一分一段表反查
2021,理科,专科,200,458864,省教育考试院/省招办公告 + 一分一段表反查
2021,文科,一本,558,22987,省教育考试院/省招办公告 + 一分一段表反查
2021,文科,二本,466,96112,省教育考试院/省招办公告 + 一分一段表反查
2021,文科,专科,200,304110,省教育考试院/省招办公告 + 一分一段表反查
2022,理科,一本,509,119754,省教育考试院/省招办公告 + 一分一段表反查
2022,理科,二本,405,314509,省教育考试院/省招办公告 + 一分一段表反查
2022,理科,专科,190,502581,省教育考试院/省招办公告 + 一分一段表反查
2022,文科,一本,527,23432,省教育考试院/省招办公告 + 一分一段表反查
2022,文科,二本,445,100731,省教育考试院/省招办公告 + 一分一段表反查
2022,文科,专科,190,326041,省教育考试院/省招办公告 + 一分一段表反查
2023,理科,一本,514,125465,省教育考试院/省招办公告 + 一分一段表反查
2023,理科,二本,409,320263,省教育考试院/省招办公告 + 一分一段表反查
2023,理科,专科,185,530084,省教育考试院/省招办公告 + 一分一段表反查
2023,文科,一本,547,24386,省教育考试院/省招办公告 + 一分一段表反查
2023,文科,二本,465,99108,省教育考试院/省招办公告 + 一分一段表反查
2023,文科,专科,185,348796,省教育考试院/省招办公告 + 一分一段表反查
2024,理科,一本,511,130195,省教育考试院/省招办公告 + 一分一段表反查
2024,理科,二本,396,329573,省教育考试院/省招办公告 + 一分一段表反查
2024,理科,专科,185,559544,省教育考试院/省招办公告 + 一分一段表反查
2024,文科,一本,521,25688,省教育考试院/省招办公告 + 一分一段表反查
2024,文科,二本,428,97632,省教育考试院/省招办公告 + 一分一段表反查
2024,文科,专科,185,349859,省教育考试院/省招办公告 + 一分一段表反查
2025,物理类,本科批,427,348358,省教育考试院/省招办公告 + 一分一段表反查
2025,物理类,特控线,535,143976,省教育考试院/省招办公告 + 一分一段表反查
2025,物理类,专科批,185,553621,省教育考试院/省招办公告 + 一分一段表反查
2025,历史类,本科批,471,90174,省教育考试院/省招办公告 + 一分一段表反查
2025,历史类,特控线,552,25337,省教育考试院/省招办公告 + 一分一段表反查
2025,历史类,专科批,185,349592,省教育考试院/省招办公告 + 一分一段表反查
