年份,科类,批次,控制线分数,对应位次,数据来源
2021,历史类,专科批,200,148879,湖北招办公告 + 一分一段表反查
2021,历史类,本科批,463,55371,湖北招办公告 + 一分一段表反查
2021,物理类,专科批,200,146811,湖北招办公告 + 一分一段表反查
2021,物理类,本科批,397,113443,湖北招办公告 + 一分一段表反查
2022,历史类,专科批,200,129138,湖北招办公告 + 一分一段表反查
2022,历史类,本科批,435,49860,湖北招办公告 + 一分一段表反查
2022,历史类,本科特控线,527,13617,湖北招办公告 + 一分一段表反查
2022,物理类,专科批,200,201846,湖北招办公告 + 一分一段表反查
2022,物理类,本科批,409,127325,湖北招办公告 + 一分一段表反查
2022,物理类,本科特控线,504,60266,湖北招办公告 + 一分一段表反查
2023,历史类,专科批,200,131233,湖北招办公告 + 一分一段表反查
2023,历史类,本科批,426,48599,湖北招办公告 + 一分一段表反查
2023,物理类,专科批,200,217907,湖北招办公告 + 一分一段表反查
2023,物理类,本科批,424,129793,湖北招办公告 + 一分一段表反查
2024,历史类,专科批,200,123201,湖北招办公告 + 一分一段表反查
2024,历史类,本科批,432,45225,湖北招办公告 + 一分一段表反查
2024,历史类,本科特控线,530,13882,湖北招办公告 + 一分一段表反查
2024,物理类,专科批,200,244296,湖北招办公告 + 一分一段表反查
2024,物理类,本科批,437,140241,湖北招办公告 + 一分一段表反查
2024,物理类,本科特控线,525,68679,湖北招办公告 + 一分一段表反查
2025,历史类,专科批,200,136356,湖北招办公告 + 一分一段表反查
2025,历史类,本科批,442,50955,湖北招办公告 + 一分一段表反查
2025,历史类,本科特控线,536,17551,湖北招办公告 + 一分一段表反查
2025,物理类,专科批,200,246274,湖北招办公告 + 一分一段表反查
2025,物理类,本科批,426,148657,湖北招办公告 + 一分一段表反查
2025,物理类,本科特控线,516,72834,湖北招办公告 + 一分一段表反查
2026,历史类,本科批,426,,手动录入 2026-05-15
2026,物理类,专科批,200,,手动录入 2026-05-15
2026,物理类,本科批,437,,手动录入 2026-05-15
