年份,科类,批次,控制线分数,对应位次,数据来源
2021,物理类,本科批,434,138869,湖南省教育考试院公告 + 一分一段表反查
2021,历史类,本科批,466,53076,湖南省教育考试院公告 + 一分一段表反查
2021,物理类,本科特控线,504,78372,湖南省教育考试院公告 + 一分一段表反查
2021,历史类,本科特控线,521,22757,湖南省教育考试院公告 + 一分一段表反查
2021,物理类,专科批,200,204829,湖南省教育考试院公告 + 一分一段表反查
2021,历史类,专科批,200,163530,湖南省教育考试院公告 + 一分一段表反查
2022,物理类,本科批,414,162361,湖南省教育考试院公告 + 一分一段表反查
2022,历史类,本科批,451,58717,湖南省教育考试院公告 + 一分一段表反查
2022,物理类,本科特控线,475,97137,湖南省教育考试院公告 + 一分一段表反查
2022,历史类,本科特控线,499,27330,湖南省教育考试院公告 + 一分一段表反查
2022,物理类,专科批,200,253683,湖南省教育考试院公告 + 一分一段表反查
2022,历史类,专科批,200,172537,湖南省教育考试院公告 + 一分一段表反查
2023,物理类,本科批,415,169483,湖南省教育考试院公告 + 一分一段表反查
2023,历史类,本科批,428,57381,湖南省教育考试院公告 + 一分一段表反查
2023,物理类,本科特控线,477,103671,湖南省教育考试院公告 + 一分一段表反查
2023,历史类,本科特控线,482,27534,湖南省教育考试院公告 + 一分一段表反查
2023,物理类,专科批,200,275671,湖南省教育考试院公告 + 一分一段表反查
2023,历史类,专科批,200,157098,湖南省教育考试院公告 + 一分一段表反查
2024,物理类,本科批,422,190233,湖南省教育考试院公告 + 一分一段表反查
2024,历史类,本科批,438,55658,湖南省教育考试院公告 + 一分一段表反查
2024,物理类,本科特控线,481,111886,湖南省教育考试院公告 + 一分一段表反查
2024,历史类,本科特控线,496,26522,湖南省教育考试院公告 + 一分一段表反查
2024,物理类,专科批,200,311827,湖南省教育考试院公告 + 一分一段表反查
2024,历史类,专科批,200,146630,湖南省教育考试院公告 + 一分一段表反查
2025,物理类,本科批,405,211431,湖南省教育考试院公告 + 一分一段表反查
2025,历史类,本科批,446,53081,湖南省教育考试院公告 + 一分一段表反查
2025,物理类,本科特控线,476,119396,湖南省教育考试院公告 + 一分一段表反查
2025,历史类,本科特控线,503,25780,湖南省教育考试院公告 + 一分一段表反查
2025,物理类,专科批,200,317438,湖南省教育考试院公告 + 一分一段表反查
2025,历史类,专科批,200,140042,湖南省教育考试院公告 + 一分一段表反查
