年份,科类,批次,控制线分数,对应位次,数据来源
2021,物理类,本科批,417,150598,江苏省教育考试院公告 + 一分一段表反查
2021,历史类,本科批,476,55510,江苏省教育考试院公告 + 一分一段表反查
2021,物理类,本科特控线,501,85523,江苏省教育考试院公告 + 一分一段表反查
2021,历史类,本科特控线,533,22561,江苏省教育考试院公告 + 一分一段表反查
2021,物理类,专科批,220,166313,江苏省教育考试院公告 + 一分一段表反查
2021,历史类,专科批,260,94719,江苏省教育考试院公告 + 一分一段表反查
2022,物理类,本科批,429,164578,江苏省教育考试院公告 + 一分一段表反查
2022,历史类,本科批,471,56251,江苏省教育考试院公告 + 一分一段表反查
2022,物理类,本科特控线,516,90982,江苏省教育考试院公告 + 一分一段表反查
2022,历史类,本科特控线,525,22610,江苏省教育考试院公告 + 一分一段表反查
2022,物理类,专科批,220,195387,江苏省教育考试院公告 + 一分一段表反查
2022,历史类,专科批,220,103440,江苏省教育考试院公告 + 一分一段表反查
2023,物理类,本科批,448,173523,江苏省教育考试院公告 + 一分一段表反查
2023,历史类,本科批,474,53767,江苏省教育考试院公告 + 一分一段表反查
2023,物理类,本科特控线,512,115419,江苏省教育考试院公告 + 一分一段表反查
2023,历史类,本科特控线,527,27626,江苏省教育考试院公告 + 一分一段表反查
2023,物理类,专科批,220,220455,江苏省教育考试院公告 + 一分一段表反查
2023,历史类,专科批,220,98659,江苏省教育考试院公告 + 一分一段表反查
2024,物理类,本科批,462,187958,江苏省教育考试院公告 + 一分一段表反查
2024,历史类,本科批,478,50966,江苏省教育考试院公告 + 一分一段表反查
2024,物理类,本科特控线,516,124308,江苏省教育考试院公告 + 一分一段表反查
2024,历史类,本科特控线,530,26805,江苏省教育考试院公告 + 一分一段表反查
2024,物理类,专科批,220,245739,江苏省教育考试院公告 + 一分一段表反查
2024,历史类,专科批,220,92399,江苏省教育考试院公告 + 一分一段表反查
2025,物理类,本科批,463,205975,江苏省教育考试院公告 + 一分一段表反查
2025,历史类,本科批,482,56398,江苏省教育考试院公告 + 一分一段表反查
2025,物理类,本科特控线,519,136395,江苏省教育考试院公告 + 一分一段表反查
2025,历史类,本科特控线,537,29839,江苏省教育考试院公告 + 一分一段表反查
2025,物理类,专科批,220,,江苏省教育考试院公告(2025一分一段表仅公布至本科线 暂无)
2025,历史类,专科批,220,,江苏省教育考试院公告(2025一分一段表仅公布至本科线 暂无)
