年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,一本线,519,49117,江西省教育考试院公告 + 一分一段表反查
2021,文科,一本线,559,13684,江西省教育考试院公告 + 一分一段表反查
2021,理科,二本线,443,115105,江西省教育考试院公告 + 一分一段表反查
2021,文科,二本线,496,47533,江西省教育考试院公告 + 一分一段表反查
2021,理科,专科批,150,210841,江西省教育考试院公告 + 一分一段表反查
2021,文科,专科批,150,171680,江西省教育考试院公告 + 一分一段表反查
2022,理科,一本线,509,53252,江西省教育考试院公告 + 一分一段表反查
2022,文科,一本线,529,14829,江西省教育考试院公告 + 一分一段表反查
2022,理科,二本线,440,128851,江西省教育考试院公告 + 一分一段表反查
2022,文科,二本线,472,52344,江西省教育考试院公告 + 一分一段表反查
2022,理科,专科批,150,245758,江西省教育考试院公告 + 一分一段表反查
2022,文科,专科批,150,189721,江西省教育考试院公告 + 一分一段表反查
2023,理科,一本线,518,54155,江西省教育考试院公告 + 一分一段表反查
2023,文科,一本线,533,15073,江西省教育考试院公告 + 一分一段表反查
2023,理科,二本线,445,131118,江西省教育考试院公告 + 一分一段表反查
2023,文科,二本线,472,51972,江西省教育考试院公告 + 一分一段表反查
2023,理科,专科批,200,250503,江西省教育考试院公告 + 一分一段表反查
2023,文科,专科批,200,195032,江西省教育考试院公告 + 一分一段表反查
2024,物理类,本科批,448,150379,江西省教育考试院公告 + 一分一段表反查
2024,历史类,本科批,463,52744,江西省教育考试院公告 + 一分一段表反查
2024,物理类,本科特控线,520,65595,江西省教育考试院公告 + 一分一段表反查
2024,历史类,本科特控线,532,16460,江西省教育考试院公告 + 一分一段表反查
2024,物理类,专科批,200,261972,江西省教育考试院公告 + 一分一段表反查
2024,历史类,专科批,200,200869,江西省教育考试院公告 + 一分一段表反查
2025,物理类,本科批,429,172066,江西省教育考试院公告 + 一分一段表反查
2025,历史类,本科批,486,47572,江西省教育考试院公告 + 一分一段表反查
2025,物理类,本科特控线,505,78323,江西省教育考试院公告 + 一分一段表反查
2025,历史类,本科特控线,539,16877,江西省教育考试院公告 + 一分一段表反查
2025,物理类,专科批,240,259802,江西省教育考试院公告 + 一分一段表反查
2025,历史类,专科批,290,177218,江西省教育考试院公告 + 一分一段表反查
