年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,本科一批,482,18172,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2021,文科,本科一批,519,3581,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2021,理科,本科二批,305,58031,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2021,文科,本科二批,335,23072,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2021,理科,专科批,130,67803,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2021,文科,专科批,130,28519,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2022,理科,本科一批,488,19568,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2022,文科,本科一批,511,3024,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2022,理科,本科二批,327,63737,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2022,文科,本科二批,364,22120,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2022,理科,专科批,130,78610,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2022,文科,专科批,130,31526,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2023,理科,本科一批,463,19992,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2023,文科,本科一批,485,4027,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2023,理科,本科二批,292,63127,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2023,文科,本科二批,341,22642,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2023,理科,专科批,150,76551,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2023,文科,专科批,150,32034,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2024,物理类,本科批,345,68931,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2024,历史类,本科批,369,22619,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2024,物理类,本科特控线,483,31071,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2024,历史类,本科特控线,479,9402,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2024,物理类,专科批,160,83201,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2024,历史类,专科批,160,30853,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2025,物理类,本科批,340,69405,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2025,历史类,本科批,384,21618,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2025,物理类,本科特控线,479,32117,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2025,历史类,本科特控线,493,8829,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2025,物理类,专科批,150,79018,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
2025,历史类,专科批,150,29552,吉林省教育考试院 + 中国教育在线 + 一分一段表反查
