年份,科类,批次,控制线分数,对应位次,数据来源
2021,物理类,本科批,336,93737,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2021,历史类,本科批,456,31376,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2021,物理类,本科特控线,503,42647,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2021,历史类,本科特控线,534,13094,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2021,物理类,专科批,150,102737,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2021,历史类,专科批,150,63903,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2022,物理类,本科批,362,107134,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2022,历史类,本科批,404,31993,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2022,物理类,本科特控线,501,44915,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2022,历史类,本科特控线,500,13462,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2022,物理类,专科批,150,135352,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2022,历史类,专科批,150,50081,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2023,物理类,本科批,360,111452,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2023,历史类,本科批,404,29816,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2023,物理类,本科特控线,494,46623,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2023,历史类,本科特控线,495,12402,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2023,物理类,专科批,150,141322,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2023,历史类,专科批,150,51612,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2024,物理类,本科批,368,116198,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2024,历史类,本科批,400,25455,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2024,物理类,本科特控线,510,48415,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2024,历史类,本科特控线,510,10610,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2024,物理类,专科批,150,149645,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2024,历史类,专科批,150,43549,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2025,物理类,本科批,367,118109,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2025,历史类,本科批,437,26916,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2025,物理类,本科特控线,515,49156,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2025,历史类,本科特控线,522,11183,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2025,物理类,专科批,150,143368,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
2025,历史类,专科批,150,56324,辽宁招生考试之窗 + 教育厅公告 + 一分一段表反查
