年份,科类,批次,控制线分数,对应位次,数据来源
2021,文科,一本,488,7580,省教育考试院/省招办公告 + 一分一段表反查
2021,文科,二本,392,19651,省教育考试院/省招办公告 + 一分一段表反查
2021,文科,专科,160,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
2021,理科,一本,418,30349,省教育考试院/省招办公告 + 一分一段表反查
2021,理科,二本,301,58009,省教育考试院/省招办公告 + 一分一段表反查
2021,理科,专科,160,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
2022,文科,一本,459,7712,省教育考试院/省招办公告 + 一分一段表反查
2022,文科,二本,366,19155,省教育考试院/省招办公告 + 一分一段表反查
2022,文科,专科,160,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
2022,理科,一本,427,30419,省教育考试院/省招办公告 + 一分一段表反查
2022,理科,二本,323,58874,省教育考试院/省招办公告 + 一分一段表反查
2022,理科,专科,160,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
2023,文科,一本,468,6832,省教育考试院/省招办公告 + 一分一段表反查
2023,文科,二本,379,18670,省教育考试院/省招办公告 + 一分一段表反查
2023,文科,专科,230,28783,省教育考试院/省招办公告 + 一分一段表反查
2023,理科,一本,434,28969,省教育考试院/省招办公告 + 一分一段表反查
2023,理科,二本,333,60194,省教育考试院/省招办公告 + 一分一段表反查
2023,理科,专科,255,74996,省教育考试院/省招办公告 + 一分一段表反查
2024,文科,一本,478,7204,省教育考试院/省招办公告 + 一分一段表反查
2024,文科,二本,381,18875,省教育考试院/省招办公告 + 一分一段表反查
2024,文科,专科,160,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
2024,理科,一本,471,28884,省教育考试院/省招办公告 + 一分一段表反查
2024,理科,二本,360,62094,省教育考试院/省招办公告 + 一分一段表反查
2024,理科,专科,160,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
2025,物理类,本科批,375,68528,省教育考试院/省招办公告 + 一分一段表反查
2025,物理类,特控线,487,33612,省教育考试院/省招办公告 + 一分一段表反查
2025,物理类,专科批,160,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
2025,历史类,本科批,418,20570,省教育考试院/省招办公告 + 一分一段表反查
2025,历史类,特控线,523,7312,省教育考试院/省招办公告 + 一分一段表反查
2025,历史类,专科批,160,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
