年份,科类,批次,控制线分数,对应位次,数据来源
2021,文科,一本,505,1218,宁夏教育考试院公告 + 一分一段表反查
2021,文科,二本,430,9974,宁夏教育考试院公告 + 一分一段表反查
2021,文科,专科,200,,宁夏教育考试院公告
2021,理科,一本,412,13220,宁夏教育考试院公告 + 一分一段表反查
2021,理科,二本,345,24410,宁夏教育考试院公告 + 一分一段表反查
2021,理科,专科,200,,宁夏教育考试院公告
2022,文科,一本,487,3316,宁夏教育考试院公告 + 一分一段表反查
2022,文科,二本,425,9976,宁夏教育考试院公告 + 一分一段表反查
2022,文科,专科,200,,宁夏教育考试院公告
2022,理科,一本,412,13693,宁夏教育考试院公告 + 一分一段表反查
2022,理科,二本,350,23760,宁夏教育考试院公告 + 一分一段表反查
2022,理科,专科,200,,宁夏教育考试院公告
2023,文科,一本,488,3252,宁夏教育考试院公告 + 一分一段表反查
2023,文科,二本,421,10034,宁夏教育考试院公告 + 一分一段表反查
2023,文科,专科,200,,宁夏教育考试院公告
2023,理科,一本,397,13988,宁夏教育考试院公告 + 一分一段表反查
2023,理科,二本,340,26150,宁夏教育考试院公告 + 一分一段表反查
2023,理科,专科,200,,宁夏教育考试院公告
2024,文科,一本,496,3451,宁夏教育考试院公告 + 一分一段表反查
2024,文科,二本,419,10308,宁夏教育考试院公告 + 一分一段表反查
2024,文科,专科,200,,宁夏教育考试院公告
2024,理科,一本,432,14269,宁夏教育考试院公告 + 一分一段表反查
2024,理科,二本,371,27132,宁夏教育考试院公告 + 一分一段表反查
2024,理科,专科,200,,宁夏教育考试院公告
2025,物理类,本科批,372,30025,宁夏教育考试院公告 + 一分一段表反查
2025,物理类,本科特控线,441,16119,宁夏教育考试院公告 + 一分一段表反查
2025,物理类,专科批,150,44491,宁夏教育考试院公告 + 一分一段表反查
2025,历史类,本科批,404,12792,宁夏教育考试院公告 + 一分一段表反查
2025,历史类,本科特控线,482,5249,宁夏教育考试院公告 + 一分一段表反查
2025,历史类,专科批,150,25473,宁夏教育考试院公告 + 一分一段表反查
