年份,科类,批次,控制线分数,对应位次,数据来源
2021,文科,一本,405,4626,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2021,文科,二本,361,7663,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2021,文科,专科,150,17150,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2021,理科,一本,330,16961,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2021,理科,二本,310,19807,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2021,理科,专科,150,30321,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2022,文科,一本,409,4595,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2022,文科,二本,370,7800,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2022,文科,专科,150,16597,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2022,理科,一本,335,16153,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2022,理科,二本,308,20207,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2022,理科,专科,150,30475,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2023,文科,一本,406,4424,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2023,文科,二本,378,6889,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2023,文科,专科,150,17418,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2023,理科,一本,330,15451,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2023,理科,二本,309,18937,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2023,理科,专科,150,32433,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2024,文科,本科一段,411,4659,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2024,文科,本科二段,382,6660,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2024,文科,本科特控线,440,2988,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2024,文科,专科,120,18292,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2024,理科,本科一段,343,17580,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2024,理科,本科二段,325,20392,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2024,理科,本科特控线,398,9670,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2024,理科,专科,120,32516,青海省教育考试院公告 + 中国教育在线 + 一分一段表反查
2025,历史类,本科批,405,6239,青海省2025年高考录取分数线公告 + 一分一段表反查
2025,历史类,本科特控线,450,3203,青海省2025年高考录取分数线公告 + 一分一段表反查
2025,历史类,专科批,150,16163,青海省2025年高考录取分数线公告 + 一分一段表反查
2025,物理类,本科批,350,20164,青海省2025年高考录取分数线公告 + 一分一段表反查
2025,物理类,本科特控线,420,10443,青海省2025年高考录取分数线公告 + 一分一段表反查
2025,物理类,专科批,150,30158,青海省2025年高考录取分数线公告 + 一分一段表反查
