年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,一本,443,60249,陕西省教育考试院公告 + 一分一段表反查
2021,理科,二本,341,123902,陕西省教育考试院公告 + 一分一段表反查
2021,理科,专科,150,162605,陕西省教育考试院公告 + 一分一段表反查
2021,文科,一本,499,14114,陕西省教育考试院公告 + 一分一段表反查
2021,文科,二本,406,45518,陕西省教育考试院公告 + 一分一段表反查
2021,文科,专科,150,85476,陕西省教育考试院公告 + 一分一段表反查
2022,理科,一本,449,61474,陕西省教育考试院公告 + 一分一段表反查
2022,理科,二本,344,130844,陕西省教育考试院公告 + 一分一段表反查
2022,理科,专科,150,164623,陕西省教育考试院公告 + 一分一段表反查
2022,文科,一本,484,14928,陕西省教育考试院公告 + 一分一段表反查
2022,文科,二本,400,49752,陕西省教育考试院公告 + 一分一段表反查
2022,文科,专科,150,84419,陕西省教育考试院公告 + 一分一段表反查
2023,理科,一本,443,62218,陕西省教育考试院公告 + 一分一段表反查
2023,理科,二本,336,132360,陕西省教育考试院公告 + 一分一段表反查
2023,理科,专科,150,164353,陕西省教育考试院公告 + 一分一段表反查
2023,文科,一本,489,14042,陕西省教育考试院公告 + 一分一段表反查
2023,文科,二本,403,44234,陕西省教育考试院公告 + 一分一段表反查
2023,文科,专科,150,62572,陕西省教育考试院公告 + 一分一段表反查
2024,理科,一本,475,61286,陕西省教育考试院公告 + 一分一段表反查
2024,理科,二本,372,131737,陕西省教育考试院公告 + 一分一段表反查
2024,理科,专科,150,172150,陕西省教育考试院公告 + 一分一段表反查
2024,文科,一本,488,14303,陕西省教育考试院公告 + 一分一段表反查
2024,文科,二本,397,47954,陕西省教育考试院公告 + 一分一段表反查
2024,文科,专科,150,80530,陕西省教育考试院公告 + 一分一段表反查
2025,物理类,本科批,394,128434,陕西省教育考试院公告 + 一分一段表反查
2025,物理类,本科特控线,473,73886,陕西省教育考试院公告 + 一分一段表反查
2025,物理类,专科批,200,168847,陕西省教育考试院公告 + 一分一段表反查
2025,历史类,本科批,414,42525,陕西省教育考试院公告 + 一分一段表反查
2025,历史类,本科特控线,497,17994,陕西省教育考试院公告 + 一分一段表反查
2025,历史类,专科批,200,72820,陕西省教育考试院公告 + 一分一段表反查
