年份,科类,批次,控制线分数,对应位次,数据来源
2021,综合,特殊类型招生控制线,518,113638,山东省教育招生考试院 + 一分一段表反查
2021,综合,普通类一段,444,276904,山东省教育招生考试院 + 一分一段表反查
2021,综合,普通类二段,150,544424,山东省教育招生考试院 + 一分一段表反查
2022,综合,特殊类型招生控制线,513,122905,山东省教育招生考试院 + 一分一段表反查
2022,综合,普通类一段,437,301611,山东省教育招生考试院 + 一分一段表反查
2022,综合,普通类二段,150,594771,山东省教育招生考试院 + 一分一段表反查
2023,综合,特殊类型招生控制线,520,125938,山东省教育招生考试院 + 一分一段表反查
2023,综合,普通类一段,443,308701,山东省教育招生考试院 + 一分一段表反查
2023,综合,普通类二段,150,662199,山东省教育招生考试院 + 一分一段表反查
2024,综合,特殊类型招生控制线,521,131231,山东省教育招生考试院 + 一分一段表反查
2024,综合,普通类一段,444,318935,山东省教育招生考试院 + 一分一段表反查
2024,综合,普通类二段,150,666000,山东省教育招生考试院 + 一分一段表反查
2025,综合,特殊类型招生控制线,521,138878,山东省教育招生考试院 + 一分一段表反查
2025,综合,普通类一段,441,333469,山东省教育招生考试院 + 一分一段表反查
2025,综合,普通类二段,150,681127,山东省教育招生考试院 + 一分一段表反查
