年份,科类,批次,控制线分数,对应位次,数据来源
2021,文科,一本,543,6297,省教育考试院/省招办公告 + 一分一段表反查
2021,文科,二本,458,26756,省教育考试院/省招办公告 + 一分一段表反查
2021,文科,专科,130,91100,省教育考试院/省招办公告 + 一分一段表反查
2021,理科,一本,505,34766,省教育考试院/省招办公告 + 一分一段表反查
2021,理科,二本,410,93000,省教育考试院/省招办公告 + 一分一段表反查
2021,理科,专科,130,165878,省教育考试院/省招办公告 + 一分一段表反查
2022,文科,一本,517,6813,省教育考试院/省招办公告 + 一分一段表反查
2022,文科,二本,450,25733,省教育考试院/省招办公告 + 一分一段表反查
2022,文科,专科,130,96145,省教育考试院/省招办公告 + 一分一段表反查
2022,理科,一本,498,35905,省教育考试院/省招办公告 + 一分一段表反查
2022,理科,二本,417,93503,省教育考试院/省招办公告 + 一分一段表反查
2022,理科,专科,130,178163,省教育考试院/省招办公告 + 一分一段表反查
2023,文科,一本,490,7529,省教育考试院/省招办公告 + 一分一段表反查
2023,文科,二本,418,25171,省教育考试院/省招办公告 + 一分一段表反查
2023,文科,专科,180,93911,省教育考试院/省招办公告 + 一分一段表反查
2023,理科,一本,480,42972,省教育考试院/省招办公告 + 一分一段表反查
2023,理科,二本,396,94352,省教育考试院/省招办公告 + 一分一段表反查
2023,理科,专科,130,173806,省教育考试院/省招办公告 + 一分一段表反查
2024,文科,一本,516,7906,省教育考试院/省招办公告 + 一分一段表反查
2024,文科,二本,446,24672,省教育考试院/省招办公告 + 一分一段表反查
2024,文科,专科,180,93366,省教育考试院/省招办公告 + 一分一段表反查
2024,理科,一本,506,44176,省教育考试院/省招办公告 + 一分一段表反查
2024,理科,二本,418,100748,省教育考试院/省招办公告 + 一分一段表反查
2024,理科,专科,200,179332,省教育考试院/省招办公告 + 一分一段表反查
2025,物理类,本科批,419,120285,省教育考试院/省招办公告 + 一分一段表反查
2025,物理类,特控线,507,55564,省教育考试院/省招办公告 + 一分一段表反查
2025,物理类,专科批,100,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
2025,历史类,本科批,443,35877,省教育考试院/省招办公告 + 一分一段表反查
2025,历史类,特控线,534,11668,省教育考试院/省招办公告 + 一分一段表反查
2025,历史类,专科批,100,-,省教育考试院/省招办公告 (一分一段表只公布到本科线)
