年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,一本,521,82994,四川省教育考试院公告 + 一分一段表反查
2021,文科,一本,541,18278,四川省教育考试院公告 + 一分一段表反查
2021,理科,二本,430,176326,四川省教育考试院公告 + 一分一段表反查
2021,文科,二本,474,67553,四川省教育考试院公告 + 一分一段表反查
2021,理科,专科,150,258428,四川省教育考试院公告 + 一分一段表反查
2021,文科,专科,150,199866,四川省教育考试院公告 + 一分一段表反查
2022,理科,一本,515,83025,四川省教育考试院公告 + 一分一段表反查
2022,文科,一本,538,18985,四川省教育考试院公告 + 一分一段表反查
2022,理科,二本,426,186000,四川省教育考试院公告 + 一分一段表反查
2022,文科,二本,466,74577,四川省教育考试院公告 + 一分一段表反查
2022,理科,专科,150,284053,四川省教育考试院公告 + 一分一段表反查
2022,文科,专科,150,215646,四川省教育考试院公告 + 一分一段表反查
2023,理科,一本,520,84257,四川省教育考试院公告 + 一分一段表反查
2023,文科,一本,527,20831,四川省教育考试院公告 + 一分一段表反查
2023,理科,二本,433,189872,四川省教育考试院公告 + 一分一段表反查
2023,文科,二本,458,76994,四川省教育考试院公告 + 一分一段表反查
2023,理科,专科,150,295252,四川省教育考试院公告 + 一分一段表反查
2023,文科,专科,150,217320,四川省教育考试院公告 + 一分一段表反查
2024,理科,一本,539,83354,四川省教育考试院公告 + 一分一段表反查
2024,文科,一本,529,20373,四川省教育考试院公告 + 一分一段表反查
2024,理科,二本,459,194087,四川省教育考试院公告 + 一分一段表反查
2024,文科,二本,457,76813,四川省教育考试院公告 + 一分一段表反查
2024,理科,专科,150,301825,四川省教育考试院公告 + 一分一段表反查
2024,文科,专科,150,201953,四川省教育考试院公告 + 一分一段表反查
2025,物理类,本科批,438,207063,四川省教育考试院公告 + 一分一段表反查
2025,历史类,本科批,467,70656,四川省教育考试院公告 + 一分一段表反查
2025,物理类,特控线,518,103351,四川省教育考试院公告 + 一分一段表反查
2025,历史类,特控线,533,28339,四川省教育考试院公告 + 一分一段表反查
2025,物理类,专科批,150,284789,四川省教育考试院公告 + 一分一段表反查
2025,历史类,专科批,150,177978,四川省教育考试院公告 + 一分一段表反查
