年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,一本,405,17913,新疆教育考试院公告 + 智研咨询统计
2021,理科,二本,302,,新疆教育考试院公告
2021,理科,专科,140,,新疆教育考试院公告
2021,文科,一本,466,3845,新疆教育考试院公告 + 智研咨询统计
2021,文科,二本,350,12807,新疆教育考试院公告 + chyxx统计
2021,文科,专科,140,,新疆教育考试院公告
2022,理科,一本,400,17523,新疆教育考试院公告 + 一分一段表反查
2022,理科,二本,290,38821,新疆教育考试院公告 + 一分一段表反查
2022,理科,专科,140,,新疆教育考试院公告
2022,文科,一本,443,3884,新疆教育考试院公告 + 一分一段表反查
2022,文科,二本,334,13695,新疆教育考试院公告 + 一分一段表反查
2022,文科,专科,140,,新疆教育考试院公告
2023,理科,一本,396,18246,新疆教育考试院公告 + 一分一段表反查
2023,理科,二本,285,39617,新疆教育考试院公告 + 一分一段表反查
2023,理科,专科,140,,新疆教育考试院公告
2023,文科,一本,458,3795,新疆教育考试院公告 + 一分一段表反查
2023,文科,二本,354,13742,新疆教育考试院公告 + 一分一段表反查
2023,文科,专科,140,,新疆教育考试院公告
2024,理科,一本,390,18034,新疆教育考试院公告 + 一分一段表反查
2024,理科,二本,262,41847,新疆教育考试院公告 + 一分一段表反查
2024,理科,专科,140,,新疆教育考试院公告
2024,文科,一本,425,4073,新疆教育考试院公告 + 一分一段表反查
2024,文科,二本,304,14166,新疆教育考试院公告 + 一分一段表反查
2024,文科,专科,140,,新疆教育考试院公告
2025,理科,一本,421,18209,新疆教育考试院公告 + 一分一段表反查
2025,理科,二本,280,44093,新疆教育考试院公告 + 一分一段表反查
2025,理科,专科,140,52538,新疆教育考试院公告 + 一分一段表反查
2025,文科,一本,451,4108,新疆教育考试院公告 + 一分一段表反查
2025,文科,二本,330,14519,新疆教育考试院公告 + 一分一段表反查
2025,文科,专科,140,24010,新疆教育考试院公告 + 一分一段表反查
