年份,科类,批次,控制线分数,对应位次,数据来源
2021,理科,本科一批,520,38316,云南招办公告 + 一分一段表反查
2021,理科,本科二批,435,93066,云南招办公告 + 一分一段表反查
2021,理科,专科批,200,164232,云南招办公告 + 一分一段表反查
2021,文科,本科一批,565,11937,云南招办公告 + 一分一段表反查
2021,文科,本科二批,500,41170,云南招办公告 + 一分一段表反查
2021,文科,专科批,200,124262,云南招办公告 + 一分一段表反查
2022,理科,本科一批,515,40213,云南招办公告 + 一分一段表反查
2022,理科,本科二批,430,97472,云南招办公告 + 一分一段表反查
2022,理科,专科批,200,172919,云南招办公告 + 一分一段表反查
2022,文科,本科一批,575,12017,云南招办公告 + 一分一段表反查
2022,文科,本科二批,505,44468,云南招办公告 + 一分一段表反查
2022,文科,专科批,200,134151,云南招办公告 + 一分一段表反查
2023,理科,本科一批,485,48009,云南招办公告 + 一分一段表反查
2023,理科,本科二批,405,102609,云南招办公告 + 一分一段表反查
2023,理科,专科批,200,170969,云南招办公告 + 一分一段表反查
2023,文科,本科一批,530,13709,云南招办公告 + 一分一段表反查
2023,文科,本科二批,465,45404,云南招办公告 + 一分一段表反查
2023,文科,专科批,200,134697,云南招办公告 + 一分一段表反查
2024,理科,本科一批,505,47634,云南招办公告 + 一分一段表反查
2024,理科,本科二批,420,104989,云南招办公告 + 一分一段表反查
2024,理科,专科批,200,173146,云南招办公告 + 一分一段表反查
2024,文科,本科一批,550,14324,云南招办公告 + 一分一段表反查
2024,文科,本科二批,480,45033,云南招办公告 + 一分一段表反查
2024,文科,专科批,200,130092,云南招办公告 + 一分一段表反查
2025,物理类,本科批,430,115133,云南招办公告 + 一分一段表反查
2025,物理类,本科特控线,495,66730,云南招办公告 + 一分一段表反查
2025,物理类,专科批,200,173234,云南招办公告 + 一分一段表反查
2025,历史类,本科批,465,42449,云南招办公告 + 一分一段表反查
2025,历史类,本科特控线,535,15197,云南招办公告 + 一分一段表反查
2025,历史类,专科批,200,112361,云南招办公告 + 一分一段表反查
