年份,科类,批次,控制线分数,对应位次,数据来源
2021,综合,特控线,589,54061,浙江省教育考试院 + 一分一段表反查
2021,综合,普通类一段,495,160517,浙江省教育考试院 + 一分一段表反查
2021,综合,普通类二段,266,253437,浙江省教育考试院 + 一分一段表反查
2022,综合,特控线,592,57445,浙江省教育考试院 + 一分一段表反查
2022,综合,普通类一段,497,170295,浙江省教育考试院 + 一分一段表反查
2022,综合,普通类二段,280,268996,浙江省教育考试院 + 一分一段表反查
2023,综合,特控线,594,59126,浙江省教育考试院 + 一分一段表反查
2023,综合,普通类一段,488,175424,浙江省教育考试院 + 一分一段表反查
2023,综合,普通类二段,274,277524,浙江省教育考试院 + 一分一段表反查
2024,综合,特控线,595,59456,浙江省教育考试院 + 一分一段表反查
2024,综合,普通类一段,492,178059,浙江省教育考试院 + 一分一段表反查
2024,综合,普通类二段,269,281057,浙江省教育考试院 + 一分一段表反查
2025,综合,特控线,592,61619,浙江省教育考试院 + 一分一段表反查
2025,综合,普通类一段,490,184372,浙江省教育考试院 + 一分一段表反查
2025,综合,普通类二段,268,290790,浙江省教育考试院 + 一分一段表反查
