分数,本段人数,累计人数
656,2,2
632,101,101
631,14,115
630,8,123
629,18,141
628,18,159
627,13,172
626,25,197
625,21,218
624,25,243
623,26,269
622,31,300
621,19,319
620,32,351
619,34,385
618,41,426
617,29,455
616,44,499
615,30,529
614,44,573
613,51,624
612,53,677
611,60,737
610,57,794
609,71,865
608,85,950
607,76,1026
606,66,1092
605,83,1175
604,74,1249
603,91,1340
602,107,1447
601,111,1558
600,93,1651
599,98,1749
598,116,1865
597,114,1979
596,150,2129
595,165,2294
594,150,2444
593,139,2583
592,159,2742
591,154,2896
590,166,3062
589,181,3243
588,177,3420
587,161,3581
586,181,3762
585,193,3955
584,202,4157
583,220,4377
582,219,4596
581,200,4796
580,202,4998
579,236,5234
578,230,5464
577,249,5713
576,238,5951
575,257,6208
574,249,6457
573,268,6725
572,263,6988
571,272,7260
570,314,7574
569,282,7856
568,323,8179
567,334,8513
566,298,8811
565,349,9160
564,334,9494
563,357,9851
562,342,10193
561,356,10549
560,357,10906
559,379,11285
558,388,11673
557,372,12045
556,391,12436
555,369,12805
554,402,13207
553,388,13595
552,421,14016
551,380,14396
550,404,14800
549,405,15205
548,420,15625
547,391,16016
546,420,16436
545,456,16892
544,432,17324
543,492,17816
542,442,18258
541,470,18728
540,475,19203
539,446,19649
538,447,20096
537,487,20583
536,504,21087
535,506,21593
534,493,22086
533,475,22561
532,485,23046
531,532,23578
530,515,24093
529,498,24591
528,495,25086
527,491,25577
526,539,26116
525,517,26633
524,553,27186
523,513,27699
522,550,28249
521,520,28769
520,559,29328
519,581,29909
518,525,30434
517,566,31000
516,568,31568
515,614,32182
514,581,32763
513,549,33312
512,579,33891
511,597,34488
510,566,35054
509,562,35616
508,597,36213
507,557,36770
506,621,37391
505,616,38007
504,605,38612
503,626,39238
502,607,39845
501,589,40434
500,610,41044
499,591,41635
498,616,42251
497,623,42874
496,616,43490
495,600,44090
494,590,44680
493,621,45301
492,577,45878
491,584,46462
490,631,47093
489,604,47697
488,639,48336
487,591,48927
486,597,49524
485,602,50126
484,612,50738
483,618,51356
482,607,51963
481,616,52579
480,581,53160
479,577,53737
478,617,54354
477,565,54919
476,591,55510
475,500,56010
474,504,56514
473,524,57038
472,491,57529
471,467,57996
470,540,58536
469,497,59033
468,483,59516
467,481,59997
466,481,60478
465,496,60974
464,478,61452
463,472,61924
462,453,62377
461,432,62809
460,452,63261
459,437,63698
458,480,64178
457,411,64589
456,498,65087
455,449,65536
454,400,65936
453,419,66355
452,435,66790
451,396,67186
450,412,67598
449,384,67982
448,397,68379
447,390,68769
446,383,69152
445,401,69553
444,386,69939
443,357,70296
442,338,70634
441,326,70960
440,344,71304
439,339,71643
438,350,71993
437,314,72307
436,337,72644
435,332,72976
434,307,73283
433,333,73616
432,288,73904
431,302,74206
430,304,74510
429,294,74804
428,301,75105
427,307,75412
426,291,75703
425,258,75961
424,257,76218
423,265,76483
422,277,76760
421,257,77017
420,274,77291
419,253,77544
418,253,77797
417,243,78040
416,220,78260
415,220,78480
414,221,78701
413,250,78951
412,211,79162
411,196,79358
410,226,79584
409,193,79777
408,206,79983
407,238,80221
406,178,80399
405,196,80595
404,181,80776
403,182,80958
402,176,81134
401,176,81310
400,158,81468
399,170,81638
398,170,81808
397,158,81966
396,179,82145
395,179,82324
394,145,82469
393,161,82630
392,164,82794
391,126,82920
390,162,83082
389,166,83248
388,173,83421
387,159,83580
386,163,83743
385,127,83870
384,149,84019
383,147,84166
382,129,84295
381,154,84449
380,140,84589
379,138,84727
378,127,84854
377,148,85002
376,150,85152
375,136,85288
374,137,85425
373,106,85531
372,116,85647
371,138,85785
370,122,85907
369,125,86032
368,147,86179
367,126,86305
366,115,86420
365,138,86558
364,135,86693
363,125,86818
362,95,86913
361,131,87044
360,110,87154
359,115,87269
358,120,87389
357,106,87495
356,104,87599
355,114,87713
354,110,87823
353,114,87937
352,141,88078
351,123,88201
350,108,88309
349,120,88429
348,96,88525
347,109,88634
346,113,88747
345,108,88855
344,108,88963
343,97,89060
342,97,89157
341,110,89267
340,87,89354
339,92,89446
338,111,89557
337,93,89650
336,87,89737
335,98,89835
334,127,89962
333,122,90084
332,124,90208
331,108,90316
330,107,90423
329,103,90526
328,87,90613
327,113,90726
326,103,90829
325,122,90951
324,96,91047
323,92,91139
322,112,91251
321,97,91348
320,87,91435
319,90,91525
318,103,91628
317,104,91732
316,77,91809
315,82,91891
314,69,91960
313,88,92048
312,97,92145
311,73,92218
310,80,92298
309,83,92381
308,87,92468
307,76,92544
306,79,92623
305,97,92720
304,83,92803
303,78,92881
302,70,92951
301,77,93028
300,74,93102
299,68,93170
298,54,93224
297,62,93286
296,55,93341
295,57,93398
294,72,93470
293,48,93518
292,61,93579
291,54,93633
290,59,93692
289,45,93737
288,46,93783
287,54,93837
286,56,93893
285,43,93936
284,43,93979
283,43,94022
282,39,94061
281,45,94106
280,45,94151
279,35,94186
278,41,94227
277,27,94254
276,27,94281
275,38,94319
274,33,94352
273,28,94380
272,38,94418
271,31,94449
270,25,94474
269,26,94500
268,29,94529
267,16,94545
266,28,94573
265,34,94607
264,20,94627
263,22,94649
262,22,94671
261,31,94702
260,17,94719
