分数,本段人数,累计人数
691,1,1
680,2,3
678,1,4
677,1,5
676,3,8
675,2,10
674,2,12
673,1,13
672,3,16
671,2,18
670,3,21
669,5,26
668,2,28
667,2,30
666,5,35
665,2,37
664,9,46
663,7,53
662,7,60
661,7,67
660,8,75
659,7,82
658,6,88
657,5,93
656,9,102
655,11,113
654,10,123
653,6,129
652,8,137
651,5,142
650,9,151
649,8,159
648,21,180
647,22,202
646,17,219
645,14,233
644,22,255
643,21,276
642,25,301
641,25,326
640,16,342
639,14,356
638,27,383
637,28,411
636,27,438
635,28,466
634,32,498
633,30,528
632,35,563
631,26,589
630,36,625
629,44,669
628,50,719
627,41,760
626,34,794
625,51,845
624,46,891
623,54,945
622,44,989
621,46,1035
620,42,1077
619,37,1114
618,49,1163
617,58,1221
616,55,1276
615,57,1333
614,60,1393
613,61,1454
612,53,1507
611,63,1570
610,72,1642
609,68,1710
608,70,1780
607,80,1860
606,64,1924
605,92,2016
604,72,2088
603,74,2162
602,106,2268
601,83,2351
600,85,2436
599,98,2534
598,106,2640
597,115,2755
596,83,2838
595,114,2952
594,111,3063
593,129,3192
592,105,3297
591,113,3410
590,103,3513
589,131,3644
588,120,3764
587,119,3883
586,117,4000
585,128,4128
584,124,4252
583,123,4375
582,112,4487
581,131,4618
580,125,4743
579,142,4885
578,135,5020
577,129,5149
576,144,5293
575,153,5446
574,142,5588
573,133,5721
572,168,5889
571,162,6051
570,167,6218
569,166,6384
568,166,6550
567,173,6723
566,169,6892
565,166,7058
564,147,7205
563,194,7399
562,173,7572
561,195,7767
560,169,7936
559,183,8119
558,176,8295
557,182,8477
556,173,8650
555,197,8847
554,185,9032
553,200,9232
552,176,9408
551,222,9630
550,197,9827
549,197,10024
548,180,10204
547,178,10382
546,207,10589
545,205,10794
544,217,11011
543,225,11236
542,218,11454
541,197,11651
540,192,11843
539,225,12068
538,205,12273
537,216,12489
536,199,12688
535,199,12887
534,207,13094
533,223,13317
532,236,13553
531,224,13777
530,230,14007
529,210,14217
528,234,14451
527,223,14674
526,232,14906
525,210,15116
524,216,15332
523,228,15560
522,223,15783
521,224,16007
520,227,16234
519,223,16457
518,258,16715
517,218,16933
516,236,17169
515,243,17412
514,238,17650
513,218,17868
512,230,18098
511,212,18310
510,244,18554
509,211,18765
508,231,18996
507,233,19229
506,266,19495
505,221,19716
504,238,19954
503,208,20162
502,212,20374
501,244,20618
500,248,20866
499,235,21101
498,235,21336
497,221,21557
496,243,21800
495,237,22037
494,241,22278
493,204,22482
492,233,22715
491,264,22979
490,237,23216
489,247,23463
488,252,23715
487,231,23946
