分数,本段人数,累计人数
687,1,1
686,0,1
685,0,1
684,0,1
683,0,1
682,1,2
681,1,3
680,0,3
679,0,3
678,1,4
677,0,4
676,1,5
675,0,5
674,2,7
673,0,7
672,2,9
670,1,11
669,1,12
668,1,13
667,1,14
666,3,17
665,1,18
664,4,22
663,2,24
662,3,27
661,2,29
660,2,31
659,2,33
658,0,33
657,3,36
656,5,41
655,4,45
654,10,55
653,1,56
652,8,64
651,11,75
650,3,78
649,3,81
648,6,87
647,11,98
646,6,104
645,9,113
644,10,123
643,15,138
642,8,146
641,11,157
640,16,173
639,12,185
638,12,197
637,4,201
636,12,213
635,13,226
634,16,242
633,24,266
632,18,284
631,16,300
630,16,316
629,23,339
628,24,363
627,12,375
626,25,400
625,30,430
624,23,453
623,23,476
622,17,493
621,30,523
620,25,548
619,32,580
618,27,607
617,29,636
616,30,666
615,34,700
614,30,730
613,28,758
612,31,789
611,40,829
610,36,865
609,35,900
608,46,946
607,40,986
606,44,1030
605,42,1072
604,56,1128
603,56,1184
602,49,1233
601,53,1286
600,53,1339
599,54,1393
598,67,1460
597,60,1520
596,58,1578
595,51,1629
594,65,1694
593,56,1750
592,66,1816
591,67,1883
590,70,1953
589,67,2020
588,84,2104
587,95,2199
586,77,2276
585,83,2359
584,76,2435
583,97,2532
582,83,2615
581,82,2697
580,79,2776
579,106,2882
578,104,2986
577,105,3091
576,96,3187
575,98,3285
574,93,3378
573,96,3474
572,96,3570
571,96,3666
570,101,3767
569,136,3903
568,108,4011
567,122,4133
566,106,4239
565,130,4369
564,117,4486
563,121,4607
562,150,4757
561,144,4901
560,130,5031
559,127,5158
558,137,5295
557,131,5426
556,134,5560
555,146,5706
554,143,5849
553,150,5999
552,161,6160
551,170,6330
550,171,6501
549,165,6666
548,172,6838
547,164,7002
546,167,7169
545,162,7331
544,172,7503
543,175,7678
542,186,7864
541,194,8058
540,185,8243
539,166,8409
538,182,8591
537,186,8777
536,177,8954
535,180,9134
534,220,9354
533,196,9550
532,179,9729
531,224,9953
530,196,10149
529,202,10351
528,220,10571
527,218,10789
526,219,11008
525,233,11241
524,202,11443
523,236,11679
522,216,11895
521,216,12111
520,217,12328
519,239,12567
518,257,12824
517,234,13058
516,210,13268
515,237,13505
514,235,13740
513,247,13987
512,274,14261
511,256,14517
510,264,14781
509,267,15048
508,239,15287
507,248,15535
506,261,15796
505,245,16041
504,287,16328
503,286,16614
502,255,16869
501,259,17128
500,265,17393
499,288,17681
498,257,17938
497,315,18253
496,289,18542
495,289,18831
494,262,19093
493,259,19352
492,310,19662
491,327,19989
490,317,20306
489,293,20599
488,311,20910
487,315,21225
486,298,21523
485,290,21813
484,311,22124
483,324,22448
482,328,22776
481,334,23110
480,293,23403
479,303,23706
478,321,24027
477,351,24378
476,369,24747
475,326,25073
474,334,25407
473,329,25736
472,356,26092
471,379,26471
470,370,26841
469,373,27214
468,393,27607
467,335,27942
466,355,28297
465,395,28692
464,361,29053
463,371,29424
462,387,29811
461,394,30205
460,376,30581
459,367,30948
458,398,31346
457,363,31709
456,367,32076
455,385,32461
454,361,32822
453,400,33222
452,405,33627
451,402,34029
450,369,34398
449,410,34808
448,383,35191
447,410,35601
446,414,36015
445,404,36419
444,408,36827
443,425,37252
442,411,37663
441,418,38081
440,417,38498
439,429,38927
438,404,39331
437,450,39781
436,401,40182
435,409,40591
434,454,41045
433,457,41502
432,424,41926
431,459,42385
430,444,42829
429,444,43273
428,451,43724
427,452,44176
426,474,44650
425,426,45076
424,455,45531
423,422,45953
422,458,46411
421,462,46873
420,456,47329
419,466,47795
418,458,48253
417,482,48735
416,450,49185
415,473,49658
414,454,50112
413,463,50575
412,477,51052
411,473,51525
410,452,51977
409,481,52458
408,485,52943
407,489,53432
406,488,53920
405,517,54437
404,461,54898
403,534,55432
402,475,55907
401,502,56409
400,453,56862
399,496,57358
398,543,57901
397,544,58445
396,501,58946
395,488,59434
394,472,59906
393,509,60415
392,487,60902
391,532,61434
390,465,61899
389,502,62401
388,505,62906
387,493,63399
386,502,63901
385,513,64414
384,537,64951
383,513,65464
382,555,66019
381,479,66498
380,494,66992
379,525,67517
378,513,68030
377,524,68554
376,528,69082
375,522,69604
374,496,70100
373,562,70662
372,514,71176
371,527,71703
370,531,72234
369,513,72747
368,509,73256
367,587,73843
366,536,74379
365,555,74934
364,493,75427
363,566,75993
362,501,76494
361,478,76972
360,534,77506
359,518,78024
358,535,78559
357,535,79094
356,545,79639
355,540,80179
354,530,80709
353,557,81266
352,521,81787
351,515,82302
350,542,82844
349,567,83411
348,521,83932
347,561,84493
346,530,85023
345,535,85558
344,533,86091
343,523,86614
342,510,87124
341,542,87666
340,523,88189
339,528,88717
338,530,89247
337,564,89811
336,531,90342
335,553,90895
334,542,91437
333,521,91958
332,524,92482
331,498,92980
330,539,93519
329,518,94037
328,504,94541
327,515,95056
