分数,本段人数,累计人数
689,1,1
687,1,2
681,1,3
678,1,4
677,2,6
676,1,7
675,3,10
674,5,15
673,1,16
672,6,22
671,4,26
670,12,38
669,14,52
668,11,63
667,7,70
666,10,80
665,10,90
664,6,96
663,12,108
662,13,121
661,17,138
660,13,151
659,23,174
658,16,190
657,19,209
656,24,233
655,18,251
654,24,275
653,25,300
652,28,328
651,26,354
650,29,383
649,39,422
648,32,454
647,53,507
646,54,561
645,56,617
644,50,667
643,53,720
642,65,785
641,55,840
640,56,896
639,70,966
638,65,1031
637,78,1109
636,86,1195
635,78,1273
634,78,1351
633,74,1425
632,86,1511
631,99,1610
630,98,1708
629,94,1802
628,115,1917
627,109,2026
626,107,2133
625,117,2250
624,130,2380
623,139,2519
622,131,2650
621,148,2798
620,157,2955
619,170,3125
618,169,3294
617,183,3477
616,159,3636
615,162,3798
614,150,3948
613,160,4108
612,187,4295
611,179,4474
610,198,4672
609,162,4834
608,216,5050
607,191,5241
606,203,5444
605,214,5658
604,216,5874
603,233,6107
602,212,6319
601,225,6544
600,232,6776
599,235,7011
598,228,7239
597,267,7506
596,276,7782
595,261,8043
594,270,8313
593,291,8604
592,289,8893
591,299,9192
590,324,9516
589,323,9839
588,319,10158
587,340,10498
586,327,10825
585,340,11165
584,337,11502
583,331,11833
582,318,12151
581,369,12520
580,370,12890
579,387,13277
578,351,13628
577,388,14016
576,372,14388
575,427,14815
574,412,15227
573,419,15646
572,444,16090
571,427,16517
570,483,17000
569,492,17492
568,459,17951
567,463,18414
566,494,18908
565,502,19410
564,481,19891
563,498,20389
562,490,20879
561,506,21385
560,558,21943
559,524,22467
558,520,22987
557,576,23563
556,573,24136
555,553,24689
554,612,25301
553,566,25867
552,584,26451
551,595,27046
550,576,27622
549,622,28244
548,592,28836
547,581,29417
546,630,30047
545,602,30649
544,637,31286
543,640,31926
542,648,32574
541,645,33219
540,696,33915
539,712,34627
538,662,35289
537,711,36000
536,701,36701
535,676,37377
534,649,38026
533,672,38698
532,728,39426
531,731,40157
530,700,40857
529,705,41562
528,711,42273
527,730,43003
526,774,43777
525,735,44512
524,779,45291
523,810,46101
522,740,46841
521,767,47608
520,812,48420
519,764,49184
518,768,49952
517,844,50796
516,845,51641
515,802,52443
514,799,53242
513,826,54068
512,791,54859
511,811,55670
510,821,56491
509,834,57325
508,875,58200
507,825,59025
506,881,59906
505,844,60750
504,830,61580
503,833,62413
502,841,63254
501,846,64100
500,827,64927
499,907,65834
498,874,66708
497,881,67589
496,883,68472
495,898,69370
494,921,70291
493,899,71190
492,935,72125
491,899,73024
490,895,73919
489,875,74794
488,897,75691
487,925,76616
486,903,77519
485,886,78405
484,911,79316
483,934,80250
482,882,81132
481,890,82022
480,956,82978
479,880,83858
478,929,84787
477,894,85681
476,900,86581
475,933,87514
474,934,88448
473,975,89423
472,977,90400
471,979,91379
470,1013,92392
469,924,93316
468,980,94296
467,914,95210
466,902,96112
465,934,97046
464,884,97930
463,902,98832
462,937,99769
461,891,100660
460,961,101621
459,893,102514
458,932,103446
457,937,104383
456,886,105269
455,867,106136
454,888,107024
453,905,107929
452,880,108809
451,845,109654
450,938,110592
449,980,111572
448,919,112491
447,977,113468
446,936,114404
445,901,115305
444,907,116212
443,894,117106
442,934,118040
441,942,118982
440,906,119888
439,976,120864
438,961,121825
437,905,122730
436,980,123710
435,877,124587
434,957,125544
433,957,126501
432,957,127458
431,867,128325
430,952,129277
429,917,130194
428,919,131113
427,921,132034
426,948,132982
425,897,133879
424,945,134824
423,931,135755
422,976,136731
421,996,137727
420,873,138600
419,965,139565
418,954,140519
417,922,141441
416,1012,142453
415,909,143362
414,932,144294
413,950,145244
412,955,146199
411,976,147175
410,934,148109
409,931,149040
408,954,149994
407,947,150941
406,941,151882
405,1013,152895
404,952,153847
403,963,154810
402,944,155754
401,1004,156758
400,968,157726
399,983,158709
398,997,159706
397,991,160697
396,922,161619
395,1006,162625
394,988,163613
393,1017,164630
392,978,165608
391,943,166551
390,975,167526
389,986,168512
388,1004,169516
387,1065,170581
386,1005,171586
385,996,172582
384,976,173558
383,920,174478
382,978,175456
381,995,176451
380,1025,177476
379,1025,178501
378,980,179481
377,1009,180490
376,988,181478
375,986,182464
374,1020,183484
373,1063,184547
372,932,185479
371,981,186460
370,1009,187469
369,940,188409
368,1067,189476
367,1009,190485
366,1069,191554
365,1018,192572
364,1019,193591
363,1046,194637
362,987,195624
361,1033,196657
360,967,197624
359,1026,198650
358,994,199644
357,1013,200657
356,1012,201669
355,1024,202693
354,1001,203694
353,995,204689
352,994,205683
351,1039,206722
350,1012,207734
349,1019,208753
348,1005,209758
347,969,210727
346,985,211712
345,1009,212721
344,996,213717
343,1014,214731
342,1071,215802
341,991,216793
340,996,217789
339,1005,218794
338,999,219793
337,1014,220807
336,1001,221808
335,983,222791
334,976,223767
333,997,224764
332,960,225724
331,982,226706
330,942,227648
329,944,228592
328,999,229591
327,933,230524
326,972,231496
325,948,232444
324,936,233380
323,931,234311
322,908,235219
321,930,236149
320,889,237038
319,938,237976
318,892,238868
317,897,239765
316,923,240688
315,871,241559
314,879,242438
313,940,243378
312,857,244235
311,872,245107
310,859,245966
309,853,246819
308,870,247689
307,884,248573
306,882,249455
305,866,250321
304,900,251221
303,848,252069
302,816,252885
301,834,253719
300,848,254567
299,792,255359
298,812,256171
297,828,256999
296,820,257819
295,814,258633
294,774,259407
293,824,260231
292,730,260961
291,850,261811
290,739,262550
289,727,263277
288,781,264058
287,698,264756
286,753,265509
285,732,266241
284,719,266960
283,742,267702
282,749,268451
281,722,269173
280,671,269844
279,721,270565
278,736,271301
277,673,271974
276,668,272642
275,691,273333
274,673,274006
273,706,274712
272,655,275367
271,606,275973
270,588,276561
269,582,277143
268,653,277796
267,559,278355
266,613,278968
265,590,279558
264,601,280159
263,556,280715
262,579,281294
261,564,281858
260,560,282418
259,521,282939
258,535,283474
257,532,284006
256,557,284563
255,517,285080
254,520,285600
253,519,286119
252,515,286634
251,502,287136
250,507,287643
249,501,288144
248,496,288640
247,465,289105
246,466,289571
245,493,290064
244,481,290545
243,463,291008
242,462,291470
241,400,291870
240,403,292273
239,436,292709
238,415,293124
237,410,293534
236,386,293920
235,424,294344
234,373,294717
233,382,295099
232,353,295452
231,370,295822
230,332,296154
229,354,296508
228,387,296895
227,328,297223
226,309,297532
225,310,297842
224,304,298146
223,314,298460
222,313,298773
221,274,299047
220,263,299310
219,276,299586
218,270,299856
217,295,300151
216,290,300441
215,294,300735
214,273,301008
213,241,301249
212,273,301522
211,236,301758
210,234,301992
209,245,302237
208,225,302462
207,236,302698
206,210,302908
205,218,303126
204,214,303340
203,205,303545
202,204,303749
201,182,303931
200,179,304110
199,174,304284
198,200,304484
197,168,304652
196,162,304814
195,177,304991
194,151,305142
193,160,305302
192,190,305492
191,146,305638
190,144,305782
189,148,305930
188,124,306054
187,139,306193
186,129,306322
185,150,306472
184,117,306589
183,118,306707
182,123,306830
181,112,306942
180,120,307062
179,119,307181
178,116,307297
177,106,307403
176,78,307481
175,100,307581
174,98,307679
173,94,307773
172,85,307858
171,75,307933
170,84,308017
169,71,308088
168,80,308168
167,69,308237
166,70,308307
165,79,308386
164,69,308455
163,69,308524
162,58,308582
161,55,308637
160,64,308701
159,56,308757
158,49,308806
157,49,308855
156,60,308915
155,52,308967
154,36,309003
153,37,309040
152,28,309068
151,35,309103
150,33,309136
149,31,309167
148,40,309207
147,43,309250
146,28,309278
145,35,309313
144,36,309349
143,45,309394
142,29,309423
141,30,309453
140,17,309470
139,33,309503
138,27,309530
137,37,309567
136,26,309593
135,23,309616
134,26,309642
133,27,309669
132,16,309685
131,25,309710
130,17,309727
129,20,309747
128,18,309765
127,17,309782
126,19,309801
125,17,309818
124,16,309834
123,18,309852
122,18,309870
121,16,309886
120,11,309897
119,15,309912
118,8,309920
117,10,309930
116,13,309943
115,12,309955
114,12,309967
113,10,309977
112,9,309986
111,7,309993
110,4,309997
109,13,310010
108,6,310016
107,5,310021
106,19,310040
105,7,310047
104,5,310052
103,6,310058
102,12,310070
101,9,310079
100,9,310088
