分数,本段人数,累计人数
668,1,1
666,1,2
664,1,3
660,1,4
657,1,5
656,1,6
655,4,10
654,1,11
653,2,13
651,1,13
650,2,15
649,3,18
648,1,19
647,1,20
646,3,23
645,2,25
644,2,27
643,3,30
642,4,34
641,3,37
640,4,41
639,5,46
638,3,49
637,5,54
636,4,58
635,6,64
634,6,70
633,6,76
632,8,84
631,3,87
630,5,92
629,4,96
628,11,107
627,8,115
626,5,120
625,10,130
624,6,136
623,6,142
622,14,156
621,10,166
620,8,174
619,6,180
618,9,189
617,16,205
616,9,214
615,16,230
614,13,243
613,9,252
612,10,262
611,12,274
610,17,291
609,16,307
608,11,318
607,9,327
606,20,347
605,12,359
604,26,385
603,23,408
602,11,419
601,28,447
600,20,467
599,21,488
598,27,515
597,26,541
596,22,563
595,31,594
594,22,616
593,15,631
592,21,652
591,30,682
590,30,712
589,29,741
588,40,781
587,29,810
586,23,833
585,31,864
584,29,893
583,39,932
582,32,964
581,39,1003
580,37,1040
579,40,1080
578,43,1123
577,29,1152
576,42,1194
575,38,1232
574,52,1284
573,39,1323
572,44,1367
571,34,1401
570,49,1450
569,47,1497
568,37,1534
567,47,1581
566,49,1630
565,51,1681
564,51,1732
563,42,1774
562,53,1827
561,50,1877
560,51,1928
559,47,1975
558,55,2030
557,58,2088
556,49,2137
555,49,2186
554,46,2232
553,65,2297
552,55,2352
551,58,2410
550,66,2476
549,42,2518
548,69,2587
547,59,2646
546,69,2715
545,63,2778
544,65,2843
543,53,2896
542,61,2957
541,78,3035
540,65,3100
539,74,3174
538,52,3226
537,65,3291
536,61,3352
535,75,3427
534,61,3488
533,81,3569
532,89,3658
531,81,3739
530,60,3799
529,70,3869
528,84,3953
527,77,4030
526,69,4099
525,64,4163
524,78,4241
523,67,4308
522,78,4386
521,76,4462
520,74,4536
519,89,4625
518,78,4703
517,95,4798
516,82,4880
515,97,4977
514,74,5051
513,85,5136
512,101,5237
511,97,5334
510,77,5411
509,108,5519
508,86,5605
507,105,5710
506,104,5814
505,85,5899
504,90,5989
503,84,6073
502,84,6157
501,114,6271
500,93,6364
499,117,6481
498,99,6580
497,87,6667
496,82,6749
495,106,6855
494,103,6958
493,103,7061
492,108,7169
491,110,7279
490,103,7382
489,90,7472
488,108,7580
487,103,7683
486,120,7803
485,125,7928
484,92,8020
483,88,8108
482,121,8229
481,88,8317
480,122,8439
479,108,8547
478,112,8659
477,108,8767
476,110,8877
475,91,8968
474,130,9098
473,131,9229
472,118,9347
471,123,9470
470,109,9579
469,111,9690
468,131,9821
467,146,9967
466,121,10088
465,113,10201
464,135,10336
463,121,10457
462,114,10571
461,133,10704
460,132,10836
459,149,10985
458,150,11135
457,150,11285
456,120,11405
455,112,11517
454,121,11638
453,120,11758
452,120,11878
451,133,12011
450,133,12144
449,138,12282
448,131,12413
447,132,12545
446,152,12697
445,126,12823
444,111,12934
443,153,13087
442,146,13233
441,126,13359
440,122,13481
439,127,13608
438,131,13739
437,138,13877
436,145,14022
435,130,14152
434,129,14281
433,136,14417
432,158,14575
431,135,14710
430,121,14831
429,135,14966
428,128,15094
427,137,15231
426,148,15379
425,121,15500
424,127,15627
423,124,15751
422,108,15859
421,102,15961
420,113,16074
419,119,16193
418,141,16334
417,113,16447
416,126,16573
415,139,16712
414,132,16844
413,125,16969
412,117,17086
411,131,17217
410,136,17353
409,120,17473
408,134,17607
407,135,17742
406,126,17868
405,120,17988
404,133,18121
403,144,18265
402,108,18373
401,137,18510
400,119,18629
399,137,18766
398,139,18905
397,141,19046
396,116,19162
395,114,19276
394,126,19402
393,135,19537
392,114,19651
391,99,19750
390,118,19868
389,121,19989
388,123,20112
387,136,20248
386,128,20376
385,105,20481
384,148,20629
383,104,20733
382,110,20843
381,101,20944
380,98,21042
379,127,21169
378,105,21274
377,119,21393
376,120,21513
375,103,21616
374,119,21735
373,134,21869
372,124,21993
371,116,22109
370,114,22223
369,124,22347
368,122,22469
367,130,22599
366,96,22695
365,126,22821
364,118,22939
363,118,23057
362,97,23154
361,111,23265
360,113,23378
359,102,23480
358,111,23591
357,107,23698
356,112,23810
355,106,23916
354,119,24035
353,106,24141
352,95,24236
351,125,24361
350,92,24453
349,113,24566
348,92,24658
347,124,24782
346,109,24891
345,101,24992
344,89,25081
343,104,25185
342,85,25270
341,115,25385
340,110,25495
339,100,25595
338,97,25692
337,108,25800
336,105,25905
335,91,25996
334,124,26120
333,97,26217
332,105,26322
331,102,26424
330,94,26518
329,90,26608
328,100,26708
327,95,26803
326,91,26894
325,106,27000
324,109,27109
323,90,27199
322,92,27291
321,100,27391
320,76,27467
319,103,27570
318,105,27675
317,75,27750
316,91,27841
315,94,27935
314,80,28015
313,72,28087
312,81,28168
311,88,28256
310,83,28339
309,77,28416
308,97,28513
307,82,28595
306,86,28681
305,92,28773
304,87,28860
303,80,28940
302,82,29022
301,74,29096
300,77,29173
299,71,29244
298,73,29317
297,75,29392
296,81,29473
295,87,29560
294,75,29635
293,62,29697
292,78,29775
291,73,29848
290,71,29919
289,77,29996
288,76,30072
287,68,30140
286,74,30214
285,78,30292
284,72,30364
283,61,30425
282,70,30495
281,67,30562
280,55,30617
279,69,30686
278,68,30754
277,70,30824
276,59,30883
275,57,30940
274,50,30990
273,60,31050
272,60,31110
271,51,31161
270,52,31213
269,47,31260
268,58,31318
267,48,31366
266,59,31425
265,46,31471
264,60,31531
263,62,31593
262,43,31636
261,57,31693
260,66,31759
259,63,31822
258,44,31866
257,55,31921
256,41,31962
255,48,32010
254,53,32063
253,44,32107
252,63,32170
251,47,32217
250,49,32266
249,46,32312
248,39,32351
247,50,32401
246,50,32451
245,38,32489
244,43,32532
243,36,32568
242,61,32629
241,37,32666
240,33,32699
239,36,32735
238,24,32759
237,24,32783
236,34,32817
235,28,32845
234,26,32871
233,38,32909
232,30,32939
231,29,32968
230,22,32990
229,35,33025
228,27,33052
227,27,33079
226,28,33107
225,35,33142
224,27,33169
223,30,33199
222,21,33220
221,18,33238
220,21,33259
219,24,33283
218,28,33311
217,25,33336
216,21,33357
215,16,33373
214,25,33398
213,18,33416
212,17,33433
211,17,33450
210,20,33470
209,15,33485
208,21,33506
207,23,33529
206,12,33541
205,12,33553
204,15,33568
203,15,33583
202,20,33603
201,9,33612
