score,count,cumulative
674,0,0
673,0,0
672,0,0
671,0,0
670,0,0
669,0,0
668,0,0
667,0,0
666,0,0
665,0,0
664,0,0
663,0,0
662,0,0
661,0,0
660,0,0
659,0,0
658,0,0
657,0,0
656,0,0
655,0,0
654,0,0
653,0,0
652,0,0
651,0,0
650,0,0
649,0,0
648,0,0
647,0,0
646,0,0
645,0,0
644,0,0
643,0,0
642,0,0
641,0,0
640,0,0
639,0,0
638,0,0
637,0,0
636,0,0
635,0,0
634,0,0
633,0,0
632,0,0
631,0,0
630,0,0
629,10,10
628,11,21
615,2,23
614,1,24
613,1,25
612,2,27
611,1,28
610,1,29
609,1,30
608,0,30
607,1,31
606,3,34
605,0,34
604,1,35
603,3,38
602,0,38
601,4,42
600,0,42
599,1,43
598,2,45
597,5,50
596,3,53
595,0,53
594,3,56
593,4,60
592,1,61
591,4,65
590,3,68
589,0,68
588,5,73
587,4,77
586,4,81
585,4,85
584,2,87
583,6,93
582,3,96
581,4,100
580,3,103
579,6,109
578,6,115
577,3,118
576,4,122
575,5,127
574,4,131
573,3,134
572,1,135
571,4,139
570,5,144
569,4,148
568,9,157
567,4,161
566,5,166
565,3,169
564,2,171
563,4,175
562,2,177
561,3,180
560,8,188
559,9,197
558,7,204
557,9,213
556,6,219
555,6,225
554,7,232
553,6,238
552,7,245
551,4,249
550,12,261
549,11,272
548,11,283
547,6,289
546,11,300
545,15,315
544,10,325
543,12,337
542,11,348
541,8,356
540,7,363
539,9,372
538,15,387
537,13,400
536,9,409
535,9,418
534,11,429
533,7,436
532,10,446
531,13,459
530,14,473
529,7,480
528,12,492
527,11,503
526,15,518
525,11,529
524,16,545
523,19,564
522,18,582
521,11,593
520,16,609
519,9,618
518,9,627
517,16,643
516,19,662
515,21,683
514,18,701
513,10,711
512,21,732
511,15,747
510,22,769
509,15,784
508,10,794
507,25,819
506,16,835
505,19,854
504,15,869
503,17,886
502,13,899
501,16,915
500,14,929
499,20,949
498,13,962
497,28,990
496,19,1009
495,29,1038
494,18,1056
493,21,1077
492,19,1096
491,25,1121
490,25,1146
489,22,1168
488,19,1187
487,23,1210
486,23,1233
485,22,1255
484,30,1285
483,19,1304
482,29,1333
481,29,1362
480,29,1391
479,24,1415
478,30,1445
477,24,1469
476,34,1503
475,27,1530
474,30,1560
473,31,1591
472,25,1616
471,35,1651
470,29,1680
469,29,1709
468,32,1741
467,23,1764
466,35,1799
465,33,1832
464,37,1869
463,22,1891
462,32,1923
461,40,1963
460,43,2006
459,30,2036
458,39,2075
457,38,2113
456,45,2158
455,48,2206
454,31,2237
453,27,2264
452,31,2295
451,45,2340
450,35,2375
449,48,2423
448,37,2460
447,45,2505
446,45,2550
445,40,2590
444,42,2632
443,42,2674
442,44,2718
441,41,2759
440,40,2799
439,43,2842
438,35,2877
437,49,2926
436,50,2976
435,45,3021
434,53,3074
433,40,3114
432,48,3162
431,42,3204
430,67,3271
429,38,3309
428,46,3355
427,40,3395
426,58,3453
425,48,3501
424,53,3554
423,57,3611
422,36,3647
421,56,3703
420,63,3766
419,54,3820
418,54,3874
417,56,3930
416,53,3983
415,54,4037
414,44,4081
413,52,4133
412,50,4183
411,61,4244
410,52,4296
409,61,4357
408,68,4425
407,68,4493
406,57,4550
405,76,4626
404,54,4680
403,59,4739
402,62,4801
401,33,4834
400,66,4900
399,71,4971
398,62,5033
397,55,5088
396,66,5154
395,66,5220
394,72,5292
393,74,5366
392,73,5439
391,62,5501
390,65,5566
389,61,5627
388,68,5695
387,65,5760
386,68,5828
385,64,5892
384,60,5952
383,61,6013
382,67,6080
381,55,6135
380,85,6220
379,75,6295
378,73,6368
377,87,6455
376,83,6538
375,81,6619
374,80,6699
373,73,6772
372,79,6851
371,71,6922
370,69,6991
369,64,7055
368,81,7136
367,73,7209
366,77,7286
365,79,7365
364,72,7437
363,71,7508
362,75,7583
361,80,7663
360,93,7756
359,83,7839
358,83,7922
357,74,7996
356,74,8070
355,79,8149
354,83,8232
353,76,8308
352,96,8404
351,86,8490
350,78,8568
349,86,8654
348,77,8731
347,97,8828
346,77,8905
345,69,8974
344,75,9049
343,91,9140
342,94,9234
341,75,9309
340,88,9397
339,76,9473
338,71,9544
337,90,9634
336,78,9712
335,56,9768
334,84,9852
333,81,9933
332,92,10025
331,79,10104
330,75,10179
329,82,10261
328,62,10323
327,68,10391
326,83,10474
325,71,10545
324,92,10637
323,69,10706
322,75,10781
321,78,10859
320,69,10928
319,62,10990
318,67,11057
317,81,11138
316,75,11213
315,73,11286
314,78,11364
313,84,11448
312,79,11527
311,70,11597
310,71,11668
309,86,11754
308,81,11835
307,76,11911
306,71,11982
305,78,12060
304,57,12117
303,64,12181
302,62,12243
301,61,12304
300,77,12381
299,55,12436
298,64,12500
297,66,12566
296,62,12628
295,67,12695
294,56,12751
293,62,12813
292,58,12871
291,63,12934
290,49,12983
289,53,13036
288,49,13085
287,54,13139
286,60,13199
285,66,13265
284,62,13327
283,54,13381
282,58,13439
281,46,13485
280,45,13530
279,55,13585
278,54,13639
277,44,13683
276,48,13731
275,45,13776
274,47,13823
273,32,13855
272,54,13909
271,37,13946
270,47,13993
269,51,14044
268,40,14084
267,43,14127
266,48,14175
265,43,14218
264,51,14269
263,40,14309
262,34,14343
261,41,14384
260,47,14431
259,39,14470
258,39,14509
257,45,14554
256,42,14596
255,40,14636
254,39,14675
253,19,14694
252,41,14735
251,45,14780
250,38,14818
249,41,14859
248,35,14894
247,38,14932
246,39,14971
245,36,15007
244,27,15034
243,37,15071
242,32,15103
241,27,15130
240,37,15167
239,28,15195
238,35,15230
237,29,15259
236,33,15292
235,44,15336
234,33,15369
233,37,15406
232,33,15439
231,28,15467
230,29,15496
229,41,15537
228,37,15574
227,37,15611
226,44,15655
225,43,15698
224,32,15730
223,39,15769
222,36,15805
221,30,15835
220,44,15879
219,20,15899
218,43,15942
217,34,15976
216,48,16024
215,33,16057
214,26,16083
213,33,16116
212,41,16157
211,36,16193
210,33,16226
209,25,16251
208,36,16287
207,28,16315
206,27,16342
205,20,16362
204,29,16391
203,30,16421
202,35,16456
201,37,16493
200,28,16521
199,26,16547
198,18,16565
197,22,16587
196,36,16623
195,13,16636
194,18,16654
193,27,16681
192,24,16705
191,19,16724
190,19,16743
189,17,16760
188,18,16778
187,19,16797
186,16,16813
185,15,16828
184,17,16845
183,12,16857
182,13,16870
181,21,16891
180,14,16905
179,13,16918
178,15,16933
177,12,16945
176,19,16964
175,10,16974
174,10,16984
173,8,16992
172,9,17001
171,21,17022
170,10,17032
169,5,17037
168,8,17045
167,6,17051
166,9,17060
165,12,17072
164,6,17078
163,14,17092
162,8,17100
161,8,17108
160,5,17113
159,5,17118
158,2,17120
157,6,17126
156,7,17133
155,4,17137
154,2,17139
153,2,17141
152,4,17145
151,3,17148
150,2,17150
149,0,17150
148,5,17155
147,3,17158
146,1,17159
145,5,17164
144,3,17167
143,1,17168
142,4,17172
141,1,17173
140,2,17175
139,2,17177
138,1,17178
137,3,17181
136,0,17181
135,1,17182
134,5,17187
133,1,17188
132,0,17188
131,2,17190
130,3,17193
129,2,17195
128,1,17196
127,1,17197
126,0,17197
125,0,17197
124,1,17198
123,0,17198
122,5,17203
121,0,17203
120,3,17206
119,0,17206
118,0,17206
117,0,17206
116,2,17208
115,0,17208
114,0,17208
113,1,17209
112,1,17210
111,0,17210
110,1,17211
109,0,17211
108,0,17211
107,0,17211
106,0,17211
105,0,17211
104,1,17212
103,0,17212
102,1,17213
101,0,17213
100,0,17213
99,1,17214
98,1,17215
97,0,17215
96,0,17215
95,0,17215
94,0,17215
93,0,17215
92,0,17215
91,0,17215
90,0,17215
89,1,17216
88,0,17216
87,0,17216
86,0,17216
85,1,17217
84,1,17218
83,0,17218
82,0,17218
81,0,17218
80,0,17218
79,0,17218
78,0,17218
77,0,17218
76,0,17218
75,1,17219
74,1,17220
73,0,17220
72,0,17220
71,0,17220
70,0,17220
69,0,17220
68,0,17220
67,0,17220
66,0,17220
65,0,17220
64,0,17220
63,0,17220
62,0,17220
61,0,17220
60,0,17220
59,0,17220
58,1,17221
57,0,17221
56,0,17221
55,0,17221
54,0,17221
53,0,17221
52,1,17222
51,0,17222
50,1,17223
49,0,17223
48,0,17223
47,0,17223
46,0,17223
45,0,17223
44,0,17223
43,0,17223
42,0,17223
41,0,17223
40,1,17224
