分数,本段人数,累计人数
710,1,1
709,0,1
708,0,1
707,0,1
706,0,1
705,0,1
704,0,1
703,0,1
702,0,1
701,0,1
700,2,3
699,1,4
698,0,4
697,0,4
696,0,4
695,3,7
694,1,8
693,0,8
692,4,12
691,1,13
690,2,15
689,3,18
688,6,24
687,5,29
686,10,39
685,4,43
684,4,47
683,16,63
682,13,76
681,10,86
680,7,93
679,11,104
678,8,112
677,16,128
676,12,140
675,15,155
674,15,170
673,24,194
672,19,213
671,29,242
670,28,270
669,32,302
668,28,330
667,26,356
666,30,386
665,42,428
664,35,463
663,40,503
662,33,536
661,44,580
660,53,633
659,54,687
658,59,746
657,57,803
656,61,864
655,58,922
654,78,1000
653,82,1082
652,75,1157
651,71,1228
650,74,1302
649,90,1392
648,85,1477
647,99,1576
646,82,1658
645,104,1762
644,104,1866
643,115,1981
642,114,2095
641,144,2239
640,119,2358
639,154,2512
638,126,2638
637,141,2779
636,129,2908
635,124,3032
634,169,3201
633,164,3365
632,187,3552
631,191,3743
630,179,3922
629,181,4103
628,174,4277
627,184,4461
626,196,4657
625,203,4860
624,194,5054
623,221,5275
622,244,5519
621,226,5745
620,227,5972
619,254,6226
618,241,6467
617,244,6711
616,273,6984
615,283,7267
614,271,7538
613,276,7814
612,299,8113
611,287,8400
610,310,8710
609,319,9029
608,326,9355
607,347,9702
606,336,10038
605,347,10385
604,357,10742
603,355,11097
602,348,11445
601,335,11780
600,385,12165
599,385,12550
598,383,12933
597,367,13300
596,394,13694
595,359,14053
594,409,14462
593,416,14878
592,435,15313
591,457,15770
590,456,16226
589,422,16648
588,442,17090
587,459,17549
586,487,18036
585,482,18518
584,467,18985
583,497,19482
582,488,19970
581,507,20477
580,483,20960
579,556,21516
578,480,21996
577,559,22555
576,523,23078
575,605,23683
574,522,24205
573,539,24744
572,548,25292
571,562,25854
570,594,26448
569,582,27030
568,655,27685
567,622,28307
566,596,28903
565,601,29504
564,617,30121
563,621,30742
562,623,31365
561,670,32035
560,640,32675
559,635,33310
558,647,33957
557,647,34604
556,665,35269
555,712,35981
554,710,36691
553,734,37425
552,698,38123
551,695,38818
550,733,39551
549,703,40254
548,686,40940
547,805,41745
546,684,42429
545,784,43213
544,730,43943
543,768,44711
542,784,45495
541,740,46235
540,834,47069
539,795,47864
538,736,48600
537,798,49398
536,795,50193
535,787,50980
534,830,51810
533,791,52601
532,837,53438
531,789,54227
530,827,55054
529,830,55884
528,847,56731
527,840,57571
526,853,58424
525,838,59262
524,880,60142
523,863,61005
522,844,61849
521,889,62738
520,862,63600
519,913,64513
518,956,65469
517,909,66378
516,865,67243
515,912,68155
514,947,69102
513,923,70025
512,916,70941
511,894,71835
510,921,72756
509,939,73695
508,903,74598
507,975,75573
506,871,76444
505,945,77389
504,983,78372
503,869,79241
502,946,80187
501,902,81089
500,987,82076
499,972,83048
498,897,83945
497,958,84903
496,902,85805
495,970,86775
494,905,87680
493,964,88644
492,976,89620
491,912,90532
490,920,91452
489,930,92382
