分数,本段人数,累计人数
711,2,2
707,4,6
706,4,10
705,2,12
704,5,17
703,2,19
702,6,25
701,6,31
700,7,38
699,1,39
698,5,44
697,4,48
696,7,55
695,12,67
694,9,76
693,16,92
692,15,107
691,14,121
690,16,137
689,16,153
688,17,170
687,18,188
686,23,211
685,24,235
684,23,258
683,22,280
682,23,303
681,24,327
680,32,359
679,40,399
678,28,427
677,42,469
676,39,508
675,27,535
674,31,566
673,45,611
672,39,650
671,47,697
670,50,747
669,56,803
668,41,844
667,48,892
666,50,942
665,56,998
664,67,1065
663,80,1145
662,61,1206
661,68,1274
660,62,1336
659,77,1413
658,78,1491
657,71,1562
656,84,1646
655,85,1731
654,85,1816
653,94,1910
652,100,2010
651,99,2109
650,107,2216
649,85,2301
648,110,2411
647,96,2507
646,119,2626
645,125,2751
644,107,2858
643,133,2991
642,100,3091
641,137,3228
640,126,3354
639,124,3478
638,126,3604
637,124,3728
636,146,3874
635,135,4009
634,133,4142
633,140,4282
632,134,4416
631,157,4573
630,163,4736
629,149,4885
628,152,5037
627,173,5210
626,145,5355
625,176,5531
624,177,5708
623,182,5890
622,159,6049
621,191,6240
620,198,6438
619,200,6638
618,188,6826
617,173,6999
616,187,7186
615,207,7393
614,190,7583
613,230,7813
612,168,7981
611,189,8170
610,233,8403
609,198,8601
608,238,8839
607,187,9026
606,219,9245
605,222,9467
604,208,9675
603,241,9916
602,219,10135
601,230,10365
600,242,10607
599,212,10819
598,233,11052
597,252,11304
596,214,11518
595,221,11739
594,253,11992
593,258,12250
592,269,12519
591,246,12765
590,235,13000
589,287,13287
588,257,13544
587,274,13818
586,272,14090
585,268,14358
584,269,14627
583,273,14900
582,264,15164
581,281,15445
580,273,15718
579,282,16000
578,319,16319
577,303,16622
576,276,16898
575,289,17187
574,297,17484
573,294,17778
572,268,18046
571,310,18356
570,292,18648
569,313,18961
568,335,19296
567,316,19612
566,322,19934
565,318,20252
564,311,20563
563,340,20903
562,327,21230
561,315,21545
560,290,21835
559,285,22120
558,328,22448
557,316,22764
556,311,23075
555,346,23421
554,317,23738
553,330,24068
552,342,24410
551,334,24744
550,356,25100
549,326,25426
548,353,25779
547,393,26172
546,326,26498
545,363,26861
544,331,27192
543,366,27558
542,333,27891
541,344,28235
540,357,28592
539,371,28963
538,371,29334
537,391,29725
536,400,30125
535,349,30474
534,360,30834
533,355,31189
532,384,31573
531,359,31932
530,370,32302
529,402,32704
528,362,33066
527,364,33430
526,373,33803
525,388,34191
524,363,34554
523,378,34932
522,396,35328
521,374,35702
520,359,36061
519,385,36446
518,351,36797
517,399,37196
516,378,37574
515,382,37956
514,398,38354
513,369,38723
512,377,39100
511,394,39494
510,378,39872
509,416,40288
508,386,40674
507,399,41073
506,408,41481
505,403,41884
504,401,42285
503,362,42647
502,393,43040
501,400,43440
500,430,43870
499,430,44300
498,363,44663
497,343,45006
496,387,45393
495,413,45806
494,414,46220
493,406,46626
492,397,47023
491,385,47408
490,401,47809
489,392,48201
488,402,48603
487,379,48982
486,396,49378
485,389,49767
484,385,50152
483,394,50546
482,427,50973
481,414,51387
480,376,51763
479,399,52162
478,403,52565
477,429,52994
476,408,53402
475,407,53809
474,411,54220
473,418,54638
472,369,55007
471,401,55408
470,381,55789
469,380,56169
468,409,56578
467,393,56971
466,379,57350
465,391,57741
464,386,58127
463,397,58524
462,378,58902
461,389,59291
460,379,59670
459,395,60065
458,386,60451
457,372,60823
456,381,61204
455,355,61559
454,383,61942
453,341,62283
