分数,本段人数,累计人数
706,1,1
691,1,2
690,2,4
689,1,5
688,3,8
687,1,9
686,2,11
683,2,13
682,2,15
681,1,16
680,1,17
679,3,20
678,2,22
677,3,25
676,1,26
675,2,28
674,5,33
673,3,36
672,5,41
671,6,47
670,4,51
669,5,56
668,8,64
667,6,70
666,4,74
665,7,81
664,7,88
663,8,96
662,13,109
661,8,117
660,8,125
659,5,130
658,14,144
657,13,157
656,19,176
655,12,188
654,6,194
653,12,206
652,18,224
651,15,239
650,7,246
649,11,257
648,22,279
647,20,299
646,13,312
645,20,332
644,15,347
643,16,363
642,23,386
641,17,403
640,28,431
639,23,454
638,25,479
637,21,500
636,27,527
635,32,559
634,29,588
633,33,621
632,32,653
631,32,685
630,38,723
629,39,762
628,36,798
627,37,835
626,49,884
625,39,923
624,40,963
623,35,998
622,46,1044
621,42,1086
620,36,1122
619,46,1168
618,54,1222
617,71,1293
616,53,1346
615,62,1408
614,65,1473
613,70,1543
612,69,1612
611,54,1666
610,72,1738
609,69,1807
608,73,1880
607,70,1950
606,76,2026
605,82,2108
604,72,2180
603,93,2273
602,80,2353
601,80,2433
600,83,2516
599,97,2613
598,86,2699
597,101,2800
596,88,2888
595,99,2987
594,98,3085
593,108,3193
592,95,3288
591,95,3383
590,93,3476
589,114,3590
588,123,3713
587,112,3825
586,124,3949
585,123,4072
584,135,4207
583,147,4354
582,124,4478
581,125,4603
580,131,4734
579,137,4871
578,124,4995
577,146,5141
576,155,5296
575,151,5447
574,148,5595
573,162,5757
572,172,5929
571,157,6086
570,161,6247
569,164,6411
568,183,6594
567,180,6774
566,195,6969
565,184,7153
564,153,7306
563,189,7495
562,195,7690
561,204,7894
560,184,8078
559,190,8268
558,214,8482
557,183,8665
556,213,8878
555,188,9066
554,211,9277
553,238,9515
552,223,9738
551,216,9954
550,254,10208
549,239,10447
548,209,10656
547,236,10892
546,223,11115
545,235,11350
544,245,11595
543,251,11846
542,257,12103
541,260,12363
540,265,12628
539,277,12905
538,254,13159
537,249,13408
536,287,13695
535,316,14011
534,288,14299
533,289,14588
532,283,14871
531,308,15179
530,291,15470
529,302,15772
528,291,16063
527,304,16367
526,329,16696
525,345,17041
524,304,17345
523,318,17663
522,333,17996
521,353,18349
520,358,18707
519,337,19044
518,350,19394
517,336,19730
516,331,20061
515,382,20443
514,353,20796
513,390,21186
512,356,21542
511,348,21890
510,389,22279
509,374,22653
508,358,23011
507,378,23389
506,413,23802
505,405,24207
504,417,24624
503,438,25062
502,391,25453
501,425,25878
500,430,26308
499,417,26725
498,459,27184
497,410,27594
496,436,28030
495,440,28470
494,442,28912
493,472,29384
492,460,29844
491,437,30281
490,446,30727
489,468,31195
488,448,31643
487,450,32093
486,482,32575
485,491,33066
484,496,33562
483,490,34052
482,470,34522
481,494,35016
480,519,35535
479,498,36033
478,513,36546
477,524,37070
476,507,37577
475,523,38100
474,531,38631
473,557,39188
472,556,39744
471,539,40283
470,595,40878
469,565,41443
468,565,42008
467,564,42572
466,588,43160
465,556,43716
464,585,44301
463,572,44873
462,612,45485
461,638,46123
460,607,46730
459,612,47342
458,609,47951
457,627,48578
456,684,49262
455,651,49913
454,620,50533
453,652,51185
452,639,51824
451,635,52459
450,697,53156
449,712,53868
448,654,54522
447,660,55182
446,698,55880
445,694,56574
444,716,57290
443,689,57979
442,701,58680
441,740,59420
440,703,60123
439,692,60815
438,760,61575
437,793,62368
436,781,63149
435,840,63989
434,797,64786
433,744,65530
432,812,66342
431,789,67131
430,820,67951
429,812,68763
428,798,69561
427,834,70395
426,841,71236
425,851,72087
424,837,72924
423,858,73782
422,891,74673
421,908,75581
420,844,76425
419,892,77317
418,856,78173
417,843,79016
416,919,79935
415,871,80806
414,918,81724
413,909,82633
412,967,83600
411,962,84562
410,975,85537
409,964,86501
408,915,87416
407,946,88362
406,1017,89379
405,963,90342
404,973,91315
403,923,92238
402,938,93176
401,1006,94182
400,1040,95222
399,1036,96258
398,969,97227
397,994,98221
396,1015,99236
395,978,100214
394,1011,101225
393,932,102157
392,1019,103176
391,995,104171
390,1004,105175
389,1022,106197
388,1022,107219
387,996,108215
386,1017,109232
385,993,110225
384,1006,111231
383,1025,112256
382,1031,113287
381,999,114286
380,955,115241
379,1044,116285
378,1016,117301
377,1031,118332
376,1006,119338
375,973,120311
374,1020,121331
373,1012,122343
372,1041,123384
371,983,124367
370,982,125349
369,1021,126370
368,1023,127393
367,1050,128443
366,1011,129454
365,977,130431
364,962,131393
363,965,132358
362,1031,133389
361,945,134334
360,941,135275
359,978,136253
358,964,137217
357,924,138141
356,903,139044
355,919,139963
354,915,140878
353,1003,141881
352,897,142778
351,973,143751
350,903,144654
349,868,145522
348,894,146416
347,915,147331
346,856,148187
345,908,149095
344,823,149918
343,891,150809
342,849,151658
