分数,本段人数,累计人数
732,1,1
713,1,2
712,2,4
710,4,8
709,5,13
708,2,15
707,3,18
706,2,20
705,6,26
704,7,33
703,6,39
702,10,49
701,10,59
700,9,68
699,15,83
698,14,97
697,14,111
696,11,122
695,21,143
694,16,159
693,20,179
692,24,203
691,24,227
690,28,255
689,31,286
688,29,315
687,33,348
686,35,383
685,43,426
684,46,472
683,41,513
682,38,551
681,53,604
680,55,659
679,57,716
678,58,774
677,62,836
676,66,902
675,80,982
674,64,1046
673,69,1115
672,69,1184
671,106,1290
670,100,1390
669,110,1500
668,106,1606
667,124,1730
666,109,1839
665,106,1945
664,110,2055
663,116,2171
662,144,2315
661,132,2447
660,135,2582
659,168,2750
658,178,2928
657,143,3071
656,161,3232
655,195,3427
654,191,3618
653,197,3815
652,207,4022
651,197,4219
650,209,4428
649,204,4632
648,234,4866
647,247,5113
646,224,5337
645,249,5586
644,279,5865
643,250,6115
642,259,6374
641,247,6621
640,275,6896
639,329,7225
638,276,7501
637,290,7791
636,316,8107
635,314,8421
634,309,8730
633,337,9067
632,387,9454
631,361,9815
630,366,10181
629,354,10535
628,384,10919
627,375,11294
626,405,11699
625,436,12135
624,399,12534
623,418,12952
622,424,13376
621,469,13845
620,464,14309
619,458,14767
618,462,15229
617,468,15697
616,469,16166
615,540,16706
614,542,17248
613,549,17797
612,561,18358
611,569,18927
610,554,19481
609,600,20081
608,579,20660
607,594,21254
606,612,21866
605,694,22560
604,672,23232
603,664,23896
602,651,24547
601,679,25226
600,715,25941
599,704,26645
598,696,27341
597,768,28109
596,745,28854
595,719,29573
594,746,30319
593,817,31136
592,757,31893
591,771,32664
590,798,33462
589,803,34265
588,812,35077
587,881,35958
586,861,36819
585,857,37676
584,850,38526
583,894,39420
582,884,40304
581,903,41207
580,907,42114
579,913,43027
578,950,43977
577,948,44925
576,972,45897
575,1050,46947
574,960,47907
573,954,48861
572,966,49827
571,1015,50842
570,1053,51895
569,1030,52925
568,1001,53926
567,1023,54949
566,1010,55959
565,1088,57047
564,1045,58092
563,1103,59195
562,1105,60300
561,1108,61408
560,1119,62527
559,1117,63644
558,1177,64821
557,1195,66016
556,1103,67119
555,1195,68314
554,1257,69571
553,1200,70771
552,1227,71998
551,1200,73198
550,1268,74466
549,1197,75663
548,1230,76893
547,1273,78166
546,1264,79430
545,1304,80734
544,1244,81978
543,1195,83173
542,1211,84384
541,1249,85633
540,1309,86942
539,1296,88238
538,1282,89520
537,1263,90783
536,1292,92075
535,1373,93448
534,1315,94763
533,1345,96108
532,1284,97392
531,1294,98686
530,1298,99984
529,1335,101319
528,1354,102673
527,1367,104040
526,1391,105431
525,1415,106846
524,1356,108202
523,1390,109592
522,1446,111038
521,1408,112446
520,1434,113880
519,1427,115307
518,1405,116712
517,1424,118136
516,1436,119572
515,1481,121053
514,1443,122496
513,1460,123956
512,1383,125339
511,1427,126766
510,1513,128279
509,1471,129750
508,1450,131200
507,1497,132697
506,1454,134151
505,1446,135597
504,1456,137053
503,1457,138510
502,1394,139904
501,1457,141361
500,1520,142881
499,1510,144391
498,1484,145875
497,1475,147350
496,1519,148869
495,1512,150381
494,1484,151865
493,1516,153381
492,1467,154848
491,1542,156390
490,1530,157920
489,1543,159463
488,1520,160983
487,1500,162483
486,1572,164055
485,1530,165585
484,1551,167136
483,1535,168671
482,1471,170142
481,1514,171656
480,1563,173219
479,1623,174842
478,1633,176475
477,1645,178120
476,1545,179665
475,1597,181262
474,1523,182785
473,1564,184349
472,1626,185975
471,1590,187565
470,1518,189083
469,1548,190631
468,1562,192193
467,1605,193798
466,1612,195410
465,1644,197054
464,1583,198637
463,1619,200256
462,1598,201854
461,1550,203404
460,1596,205000
459,1643,206643
458,1640,208283
457,1607,209890
456,1592,211482
455,1603,213085
454,1649,214734
453,1603,216337
452,1570,217907
451,1625,219532
450,1585,221117
449,1654,222771
448,1567,224338
447,1650,225988
446,1602,227590
445,1602,229192
444,1594,230786
443,1539,232325
442,1602,233927
441,1588,235515
440,1617,237132
439,1561,238693
438,1628,240321
437,1619,241940
436,1592,243532
435,1533,245065
434,1652,246717
433,1578,248295
432,1573,249868
431,1625,251493
430,1549,253042
429,1566,254608
428,1551,256159
427,1588,257747
426,1583,259330
425,1521,260851
424,1510,262361
423,1531,263892
422,1540,265432
421,1533,266965
420,1528,268493
419,1475,269968
418,1567,271535
417,1547,273082
416,1448,274530
415,1479,276009
414,1496,277505
413,1508,279013
412,1627,280640
411,1485,282125
410,1475,283600
409,1388,284988
408,1467,286455
407,1465,287920
406,1462,289382
405,1418,290800
404,1389,292189
403,1494,293683
402,1440,295123
401,1441,296564
400,1426,297990
399,1474,299464
398,1396,300860
397,1379,302239
396,1439,303678
395,1388,305066
394,1446,306512
393,1446,307958
392,1401,309359
391,1395,310754
390,1373,312127
389,1263,313390
388,1322,314712
387,1305,316017
386,1320,317337
385,1351,318688
384,1248,319936
383,1362,321298
382,1321,322619
381,1297,323916
380,1285,325201
379,1300,326501
378,1238,327739
377,1217,328956
376,1196,330152
375,1297,331449
374,1186,332635
373,1202,333837
372,1266,335103
371,1239,336342
370,1220,337562
369,1212,338774
368,1210,339984
367,1276,341260
366,1183,342443
365,1152,343595
364,1197,344792
363,1118,345910
362,1166,347076
361,1161,348237
360,1126,349363
359,1149,350512
358,1104,351616
357,1143,352759
356,1166,353925
355,1131,355056
354,1144,356200
353,1142,357342
352,1108,358450
351,1066,359516
350,1136,360652
349,1053,361705
348,1115,362820
347,1076,363896
346,1081,364977
345,1043,366020
344,1101,367121
343,998,368119
342,987,369106
341,1042,370148
340,986,371134
339,1005,372139
338,1063,373202
337,1009,374211
336,995,375206
335,989,376195
334,987,377182
333,964,378146
332,1033,379179
331,1100,380279
330,985,381264
329,1029,382293
328,988,383281
327,929,384210
326,943,385153
325,916,386069
324,910,386979
323,918,387897
322,931,388828
321,901,389729
320,891,390620
319,904,391524
318,906,392430
317,912,393342
316,897,394239
315,940,395179
314,926,396105
313,900,397005
312,802,397807
311,831,398638
310,876,399514
309,860,400374
308,855,401229
307,814,402043
306,805,402848
305,830,403678
304,821,404499
303,813,405312
302,801,406113
301,827,406940
300,792,407732
299,831,408563
298,777,409340
297,754,410094
296,772,410866
295,787,411653
294,763,412416
293,747,413163
292,739,413902
291,733,414635
290,777,415412
289,732,416144
288,741,416885
287,720,417605
286,696,418301
