score,count,cumulative
686,49,381
685,52,433
684,72,505
683,49,554
682,72,626
681,80,706
680,78,784
679,74,858
678,110,968
677,96,1064
676,113,1177
675,123,1300
674,128,1428
673,141,1569
672,120,1689
671,159,1848
670,162,2010
669,155,2165
668,177,2342
667,186,2528
666,212,2740
665,231,2971
664,197,3168
663,224,3392
662,245,3637
661,250,3887
660,253,4140
659,266,4406
658,296,4702
657,269,4971
656,325,5296
655,332,5628
654,328,5956
653,334,6290
652,368,6658
651,339,6997
650,368,7365
649,372,7737
648,396,8133
647,418,8551
646,440,8991
645,446,9437
644,469,9906
643,473,10379
642,456,10835
641,477,11312
640,488,11800
639,522,12322
638,558,12880
637,553,13433
636,530,13963
635,562,14525
634,613,15138
633,614,15752
632,597,16349
631,637,16986
630,635,17621
629,677,18298
628,686,18984
627,699,19683
626,711,20394
625,685,21079
624,734,21813
623,730,22543
622,764,23307
621,756,24063
620,747,24810
619,747,25557
618,771,26328
617,810,27138
616,849,27987
615,850,28837
614,824,29661
613,847,30508
612,860,31368
611,883,32251
610,885,33136
609,868,34004
608,934,34938
607,975,35913
606,908,36821
605,891,37712
604,899,38611
603,973,39584
602,964,40548
601,1000,41548
600,1062,42610
599,1014,43624
598,1010,44634
597,1010,45644
596,1010,46654
595,1041,47695
594,1081,48776
593,1030,49806
592,1105,50911
591,1020,51931
590,1035,52966
589,1095,54061
588,1092,55153
587,1131,56284
586,1120,57404
585,1109,58513
584,1123,59636
583,1125,60761
582,1148,61909
581,1101,63010
580,1118,64128
579,1177,65305
578,1186,66491
577,1142,67633
576,1119,68752
575,1169,69921
574,1159,71080
573,1075,72155
572,1147,73302
571,1176,74478
570,1127,75605
569,1115,76720
568,1180,77900
567,1140,79040
566,1164,80204
565,1108,81312
564,1188,82500
563,1148,83648
562,1233,84881
561,1145,86026
560,1180,87206
559,1120,88326
558,1214,89540
557,1140,90680
556,1188,91868
555,1173,93041
554,1184,94225
553,1242,95467
552,1181,96648
551,1147,97795
550,1136,98931
549,1216,100147
548,1172,101319
547,1196,102515
546,1199,103714
545,1162,104876
544,1157,106033
543,1191,107224
542,1168,108392
541,1049,109441
540,1143,110584
539,1138,111722
538,1154,112876
537,1090,113966
536,1189,115155
535,1089,116244
534,1124,117368
533,1167,118535
532,1170,119705
531,1172,120877
530,1196,122073
529,1091,123164
528,1172,124336
527,1153,125489
526,1175,126664
525,1138,127802
524,1114,128916
523,1148,130064
522,1184,131248
521,1150,132398
520,1163,133561
519,1189,134750
518,1061,135811
517,1048,136859
516,1083,137942
515,1150,139092
514,1096,140188
513,1151,141339
512,1077,142416
511,1091,143507
510,1141,144648
509,1105,145753
508,1113,146866
507,1109,147975
506,1057,149032
505,1072,150104
504,1082,151186
503,1037,152223
502,1071,153294
501,1074,154368
500,1019,155387
499,1022,156409
498,1055,157464
497,999,158463
496,998,159461
495,1056,160517
494,1008,161525
493,968,162493
492,976,163469
491,939,164408
490,955,165363
489,1007,166370
488,984,167354
487,979,168333
486,929,169262
485,936,170198
484,927,171125
483,931,172056
482,917,172973
481,900,173873
480,866,174739
479,839,175578
478,920,176498
477,858,177356
476,894,178250
475,877,179127
474,879,180006
473,834,180840
472,825,181665
471,834,182499
470,880,183379
469,815,184194
468,827,185021
467,830,185851
466,805,186656
465,815,187471
464,792,188263
463,830,189093
462,767,189860
461,759,190619
460,763,191382
459,733,192115
458,702,192817
457,754,193571
456,705,194276
455,792,195068
454,708,195776
453,717,196493
452,706,197199
451,680,197879
450,701,198580
449,695,199275
448,661,199936
447,682,200618
446,638,201256
445,657,201913
444,669,202582
443,667,203249
442,650,203899
441,661,204560
440,605,205165
439,620,205785
438,601,206386
437,633,207019
436,623,207642
435,643,208285
434,592,208877
433,610,209487
432,626,210113
431,586,210699
430,590,211289
429,580,211869
428,577,212446
427,574,213020
426,532,213552
425,551,214103
424,516,214619
423,527,215146
422,587,215733
421,487,216220
420,482,216702
419,532,217234
418,538,217772
417,535,218307
416,537,218844
415,483,219327
414,508,219835
413,526,220361
412,466,220827
411,488,221315
410,493,221808
409,476,222284
408,402,222686
407,463,223149
406,486,223635
405,464,224099
404,482,224581
403,418,224999
402,435,225434
401,406,225840
400,427,226267
399,437,226704
398,422,227126
397,426,227552
396,401,227953
395,412,228365
394,370,228735
393,426,229161
392,390,229551
391,401,229952
390,341,230293
389,393,230686
388,381,231067
387,362,231429
386,367,231796
385,339,232135
384,354,232489
383,359,232848
382,341,233189
381,317,233506
380,372,233878
379,312,234190
378,363,234553
377,325,234878
376,312,235190
375,289,235479
374,311,235790
373,325,236115
372,299,236414
371,297,236711
370,285,236996
369,300,237296
368,284,237580
367,290,237870
366,283,238153
365,269,238422
364,272,238694
363,258,238952
362,285,239237
361,233,239470
360,266,239736
359,269,240005
358,240,240245
357,250,240495
356,216,240711
355,243,240954
354,280,241234
353,237,241471
352,243,241714
351,231,241945
350,204,242149
349,248,242397
348,208,242605
347,218,242823
346,210,243033
345,201,243234
344,220,243454
343,201,243655
342,175,243830
341,190,244020
340,196,244216
339,170,244386
338,191,244577
337,166,244743
336,199,244942
335,163,245105
334,162,245267
333,191,245458
332,160,245618
331,168,245786
330,154,245940
329,170,246110
328,142,246252
327,147,246399
326,128,246527
325,149,246676
324,137,246813
323,136,246949
322,146,247095
321,147,247242
320,141,247383
319,124,247507
318,130,247637
317,133,247770
