分数,本段人数,累计人数
689,1,1
677,1,1
674,1,2
673,1,3
670,1,4
669,1,5
667,2,7
666,1,8
665,2,10
664,1,11
662,2,13
661,1,14
660,3,17
659,1,18
658,2,20
657,1,21
656,5,26
655,3,29
654,1,30
653,2,32
652,3,35
651,6,41
650,5,46
649,3,49
648,4,53
647,5,58
646,4,63
645,4,67
644,6,73
643,10,83
642,7,90
641,5,95
640,8,103
639,14,117
638,12,129
637,7,136
636,5,141
635,5,146
634,10,156
633,8,164
632,10,174
631,15,189
630,14,203
629,12,215
628,20,235
627,7,242
626,14,256
625,15,271
624,13,284
623,18,302
622,19,321
621,15,336
620,18,354
619,14,368
618,24,392
617,23,415
616,17,432
615,21,453
614,29,482
613,26,508
612,24,532
611,27,559
610,27,586
609,24,610
608,25,635
607,28,663
606,22,685
605,31,716
604,35,751
603,33,784
602,34,818
601,40,858
600,29,887
599,41,928
598,34,962
597,40,1002
596,36,1038
595,50,1088
594,49,1137
593,50,1187
592,57,1244
591,43,1287
590,46,1333
589,51,1384
588,55,1439
587,56,1495
586,46,1541
585,50,1591
584,53,1644
583,53,1697
582,62,1759
581,71,1830
580,67,1897
579,65,1962
578,82,2044
577,67,2111
576,63,2174
575,63,2237
574,69,2306
573,69,2375
572,68,2443
571,95,2538
570,86,2624
569,69,2693
568,89,2782
567,100,2882
566,83,2965
565,96,3061
564,88,3149
563,72,3221
562,102,3323
561,98,3421
560,120,3541
559,96,3637
558,95,3732
557,108,3840
556,103,3943
555,117,4060
554,95,4155
553,94,4249
552,131,4380
551,133,4513
550,105,4618
549,110,4728
548,120,4848
547,130,4978
546,128,5106
545,129,5235
544,143,5378
543,124,5502
542,146,5648
541,138,5786
540,145,5931
539,141,6072
538,157,6229
537,174,6403
536,143,6546
535,151,6697
534,186,6883
533,166,7049
532,180,7229
531,174,7403
530,166,7569
529,155,7724
528,155,7879
527,170,8049
526,199,8248
525,164,8412
524,184,8596
523,182,8778
522,197,8975
521,202,9177
520,205,9382
519,181,9563
518,169,9732
517,198,9930
516,201,10131
515,225,10356
514,211,10567
513,189,10756
512,205,10961
511,193,11154
510,206,11360
509,195,11555
508,198,11753
507,237,11990
506,202,12192
505,228,12420
504,212,12632
503,212,12844
502,205,13049
501,243,13292
500,218,13510
499,226,13736
498,223,13959
497,251,14210
496,263,14473
495,238,14711
494,230,14941
493,253,15194
492,215,15409
491,219,15628
490,240,15868
489,265,16133
488,259,16392
487,265,16657
486,271,16928
485,253,17181
484,272,17453
483,249,17702
482,254,17956
481,250,18206
480,244,18450
479,276,18726
478,264,18990
477,224,19214
476,266,19480
475,277,19757
474,281,20038
473,280,20318
472,277,20595
471,252,20847
470,281,21128
469,314,21442
468,291,21733
467,296,22029
466,255,22284
465,290,22574
464,272,22846
463,248,23094
462,258,23352
461,266,23618
460,261,23879
459,274,24153
458,253,24406
457,288,24694
456,250,24944
455,260,25204
454,269,25473
453,304,25777
452,259,26036
451,282,26318
450,255,26573
449,297,26870
448,307,27177
447,293,27470
446,291,27761
445,297,28058
444,277,28335
443,308,28643
442,285,28928
441,271,29199
440,268,29467
439,260,29727
438,243,29970
437,287,30257
436,311,30568
435,280,30848
434,274,31122
433,265,31387
432,292,31679
431,275,31954
430,287,32241
429,287,32528
428,276,32804
427,327,33131
426,261,33392
425,289,33681
424,273,33954
423,255,34209
422,270,34479
421,281,34760
420,275,35035
419,255,35290
418,260,35550
417,291,35841
416,278,36119
415,273,36392
414,260,36652
413,277,36929
412,266,37195
411,287,37482
410,257,37739
409,293,38032
408,280,38312
407,268,38580
406,252,38832
405,269,39101
404,279,39380
403,272,39652
402,276,39928
401,290,40218
400,285,40503
399,292,40795
398,260,41055
397,288,41343
396,290,41633
395,253,41886
394,261,42147
393,268,42415
392,262,42677
391,282,42959
390,254,43213
389,287,43500
388,282,43782
387,277,44059
386,266,44325
385,299,44624
384,258,44882
383,273,45155
382,260,45415
381,234,45649
380,235,45884
379,236,46120
378,285,46405
377,240,46645
376,289,46934
375,252,47186
374,265,47451
373,262,47713
372,282,47995
371,260,48255
370,256,48511
369,265,48776
368,252,49028
367,243,49271
366,228,49499
365,236,49735
364,259,49994
363,247,50241
362,261,50502
361,243,50745
360,224,50969
359,236,51205
358,268,51473
357,261,51734
356,239,51973
355,236,52209
354,232,52441
353,238,52679
352,244,52923
351,221,53144
350,211,53355
349,226,53581
348,253,53834
347,214,54048
346,238,54286
345,223,54509
344,224,54733
343,231,54964
342,198,55162
341,213,55375
340,224,55599
339,225,55824
338,200,56024
337,209,56233
336,227,56460
335,234,56694
334,223,56917
333,205,57122
332,243,57365
331,222,57587
330,181,57768
329,217,57985
328,198,58183
327,219,58402
326,202,58604
325,182,58786
324,182,58968
323,195,59163
322,208,59371
321,187,59558
320,207,59765
319,187,59952
318,196,60148
317,200,60348
316,185,60533
315,159,60692
314,189,60881
313,192,61073
312,189,61262
311,190,61452
310,150,61602
309,161,61763
308,158,61921
307,161,62082
306,181,62263
305,180,62443
304,148,62591
303,167,62758
302,144,62902
301,156,63058
300,154,63212
299,150,63362
298,158,63520
297,146,63666
296,154,63820
295,136,63956
294,131,64087
293,126,64213
292,151,64364
291,118,64482
290,133,64615
289,135,64750
288,111,64861
287,112,64973
286,108,65081
285,121,65202
284,103,65305
283,114,65419
282,105,65524
281,113,65637
280,97,65734
279,94,65828
278,117,65945
277,101,66046
276,100,66146
275,99,66245
274,93,66338
273,99,66437
272,98,66535
271,88,66623
270,100,66723
269,80,66803
268,89,66892
267,79,66971
266,87,67058
265,84,67142
264,73,67215
263,105,67320
262,77,67397
261,74,67471
260,75,67546
259,68,67614
258,72,67686
257,68,67754
256,72,67826
255,67,67893
254,54,67947
253,53,68000
252,59,68059
251,57,68116
250,47,68163
249,60,68223
248,51,68274
247,42,68316
246,49,68365
245,54,68419
244,51,68470
243,35,68505
242,49,68554
241,43,68597
240,52,68649
239,47,68696
238,45,68741
237,37,68778
236,31,68809
235,62,68871
234,31,68902
233,32,68934
232,35,68969
231,29,68998
230,32,69030
229,38,69068
228,30,69098
227,32,69130
226,37,69167
225,25,69192
224,24,69216
223,17,69233
222,21,69254
221,25,69279
220,23,69302
219,17,69319
218,33,69352
217,20,69372
216,21,69393
215,15,69408
214,19,69427
213,20,69447
212,19,69466
211,15,69481
210,16,69497
209,13,69510
208,11,69521
207,15,69536
206,10,69546
205,16,69562
204,14,69576
203,15,69591
202,8,69599
201,12,69611
200,7,69618
199,11,69629
198,7,69636
197,6,69642
196,9,69651
195,11,69662
194,7,69669
193,5,69674
192,11,69685
191,4,69689
190,10,69699
