分数,本段人数,累计人数
672,1,1
659,2,3
655,1,4
654,1,5
653,1,6
650,1,7
649,1,8
648,3,11
647,1,12
646,2,14
645,3,17
644,5,22
643,4,26
642,3,29
641,7,36
640,9,45
639,6,51
638,9,60
637,4,64
636,9,73
635,4,77
634,5,82
633,12,94
632,14,108
631,9,117
630,11,128
629,7,135
628,12,147
627,21,168
626,13,181
625,16,197
624,12,209
623,12,221
622,20,241
621,19,260
620,19,279
619,27,306
618,14,320
617,24,344
616,19,363
615,26,389
614,25,414
613,26,440
612,34,474
611,31,505
610,27,532
609,42,574
608,40,614
607,36,650
606,42,692
605,39,731
604,60,791
603,48,839
602,51,890
601,42,932
600,49,981
599,62,1043
598,69,1112
597,65,1177
596,71,1248
595,69,1317
594,66,1383
593,67,1450
592,86,1536
591,74,1610
590,77,1687
589,93,1780
588,85,1865
587,86,1951
586,94,2045
585,85,2130
584,97,2227
583,100,2327
582,92,2419
581,93,2512
580,112,2624
579,100,2724
578,94,2818
577,109,2927
576,124,3051
575,116,3167
574,128,3295
573,130,3425
572,144,3569
571,155,3724
570,132,3856
569,149,4005
568,150,4155
567,140,4295
566,156,4451
565,169,4620
564,164,4784
563,187,4971
562,189,5160
561,203,5363
560,183,5546
559,183,5729
558,166,5895
557,207,6102
556,210,6312
555,203,6515
554,211,6726
553,226,6952
552,222,7174
551,218,7392
550,223,7615
549,252,7867
548,261,8128
547,231,8359
546,289,8648
545,252,8900
544,259,9159
543,282,9441
542,291,9732
541,263,9995
540,285,10280
539,276,10556
538,261,10817
537,312,11129
536,315,11444
535,340,11784
534,282,12066
533,336,12402
532,331,12733
531,319,13052
530,329,13381
529,360,13741
528,359,14100
527,327,14427
526,381,14808
525,387,15195
524,407,15602
523,443,16045
522,374,16419
521,401,16820
520,414,17234
519,401,17635
518,417,18052
517,430,18482
516,429,18911
515,418,19329
514,408,19737
513,462,20199
512,431,20630
511,464,21094
510,474,21568
509,507,22075
508,514,22589
507,456,23045
506,526,23571
505,552,24123
504,501,24624
503,539,25163
502,560,25723
501,542,26265
500,534,26799
499,531,27330
498,545,27875
497,550,28425
496,522,28947
495,587,29534
494,544,30078
493,591,30669
492,529,31198
491,562,31760
490,577,32337
489,603,32940
488,605,33545
487,592,34137
486,610,34747
485,607,35354
484,628,35982
483,642,36624
482,648,37272
481,670,37942
480,679,38621
479,648,39269
478,652,39921
477,693,40614
476,681,41295
475,670,41965
474,685,42650
473,691,43341
472,702,44043
471,697,44740
470,678,45418
469,703,46121
468,686,46807
467,729,47536
466,720,48256
465,717,48973
464,674,49647
463,706,50353
462,726,51079
461,678,51757
460,708,52465
459,719,53184
458,686,53870
457,708,54578
456,692,55270
455,679,55949
454,687,56636
453,711,57347
452,690,58037
451,680,58717
450,695,59412
449,694,60106
448,721,60827
447,651,61478
446,675,62153
445,723,62876
444,633,63509
443,665,64174
442,673,64847
441,677,65524
440,654,66178
