score,count,cumulative
604,43,43
603,6,49
602,5,54
601,3,57
600,4,61
599,6,67
598,5,72
597,2,74
596,9,83
595,9,92
594,5,97
593,3,100
592,7,107
591,7,114
590,5,119
589,5,124
588,10,134
587,11,145
586,8,153
585,6,159
584,12,171
583,14,185
582,6,191
581,9,200
580,12,212
579,9,221
578,7,228
577,16,244
576,7,251
575,19,270
574,8,278
573,13,291
572,20,311
571,18,329
570,8,337
569,15,352
568,24,376
567,12,388
566,14,402
565,22,424
564,36,460
563,18,478
562,28,506
561,18,524
560,17,541
559,24,565
558,26,591
557,24,615
556,32,647
555,30,677
554,30,707
553,36,743
552,23,766
551,32,798
550,50,848
549,35,883
548,44,927
547,41,968
546,37,1005
545,45,1050
544,44,1094
543,55,1149
542,53,1202
541,40,1242
540,52,1294
539,58,1352
538,51,1403
537,56,1459
536,53,1512
535,59,1571
534,57,1628
533,62,1690
532,62,1752
531,53,1805
530,63,1868
529,63,1931
528,74,2005
527,78,2083
526,67,2150
525,88,2238
524,84,2322
523,87,2409
522,92,2501
521,105,2606
520,92,2698
519,87,2785
518,84,2869
517,85,2954
516,106,3060
515,108,3168
514,101,3269
513,113,3382
512,110,3492
511,111,3603
510,126,3729
509,123,3852
508,116,3968
507,133,4101
506,138,4239
505,114,4353
504,125,4478
503,123,4601
502,132,4733
501,150,4883
500,142,5025
499,154,5179
498,153,5332
497,148,5480
496,174,5654
495,164,5818
494,187,6005
493,179,6184
492,175,6359
491,200,6559
490,184,6743
489,186,6929
488,193,7122
487,219,7341
486,207,7548
485,210,7758
484,226,7984
483,212,8196
482,190,8386
481,248,8634
480,227,8861
479,222,9083
478,219,9302
477,271,9573
476,273,9846
475,242,10088
474,240,10328
473,237,10565
472,228,10793
471,257,11050
470,283,11333
469,268,11601
468,274,11875
467,277,12152
466,279,12431
465,267,12698
464,304,13002
463,278,13280
462,285,13565
461,303,13868
460,284,14152
459,329,14481
458,326,14807
457,340,15147
456,304,15451
455,332,15783
454,340,16123
453,332,16455
452,344,16799
451,329,17128
450,342,17470
449,314,17784
448,356,18140
447,309,18449
446,391,18840
445,350,19190
444,339,19529
443,350,19879
442,371,20250
441,358,20608
440,362,20970
439,376,21346
438,324,21670
437,325,21995
436,380,22375
435,360,22735
434,354,23089
433,356,23445
432,381,23826
431,328,24154
430,384,24538
429,351,24889
428,371,25260
427,362,25622
426,373,25995
425,372,26367
424,337,26704
423,358,27062
422,372,27434
421,367,27801
420,325,28126
419,363,28489
418,337,28826
417,362,29188
416,373,29561
415,337,29898
414,318,30216
413,345,30561
412,351,30912
411,353,31265
410,333,31598
409,344,31942
408,345,32287
407,365,32652
406,338,32990
405,334,33324
404,346,33670
403,332,34002
402,360,34362
401,344,34706
400,349,35055
399,343,35398
398,299,35697
397,320,36017
396,341,36358
395,318,36676
394,333,37009
393,301,37310
392,328,37638
391,352,37990
390,337,38327
389,325,38652
388,278,38930
387,327,39257
386,347,39604
385,295,39899
384,320,40219
383,315,40534
382,323,40857
381,335,41192
380,316,41508
379,297,41805
378,343,42148
377,324,42472
376,327,42799
375,299,43098
374,299,43397
373,291,43688
372,325,44013
371,338,44351
370,290,44641
369,289,44930
368,336,45266
367,303,45569
366,284,45853
365,312,46165
364,289,46454
363,326,46780
362,297,47077
361,331,47408
360,310,47718
359,272,47990
358,347,48337
357,316,48653
356,308,48961
355,318,49279
354,331,49610
353,301,49911
352,288,50199
351,303,50502
350,300,50802
349,333,51135
348,300,51435
347,322,51757
346,316,52073
345,304,52377
344,329,52706
343,293,52999
342,296,53295
341,312,53607
340,270,53877
339,309,54186
338,347,54533
337,304,54837
336,335,55172
335,270,55442
334,309,55751
333,311,56062
332,310,56372
331,305,56677
330,312,56989
329,307,57296
328,301,57597
327,270,57867
326,283,58150
325,299,58449
324,289,58738
323,297,59035
322,298,59333
321,297,59630
320,287,59917
319,262,60179
318,302,60481
317,305,60786
316,294,61080
315,303,61383
314,267,61650
313,328,61978
312,269,62247
311,299,62546
310,293,62839
309,302,63141
308,310,63451
307,279,63730
306,287,64017
305,252,64269
304,286,64555
303,275,64830
302,243,65073
301,268,65341
300,261,65602
299,258,65860
298,263,66123
297,287,66410
296,261,66671
295,250,66921
294,243,67164
293,254,67418
292,252,67670
291,271,67941
290,260,68201
289,252,68453
288,228,68681
287,244,68925
286,241,69166
285,211,69377
284,256,69633
283,227,69860
282,239,70099
281,237,70336
280,221,70557
279,201,70758
278,222,70980
277,186,71166
276,226,71392
275,222,71614
274,215,71829
273,196,72025
272,201,72226
271,216,72442
270,209,72651
269,194,72845
268,188,73033
267,167,73200
266,183,73383
265,186,73569
264,184,73753
263,182,73935
262,163,74098
261,167,74265
260,168,74433
259,169,74602
258,173,74775
257,149,74924
256,155,75079
255,153,75232
254,153,75385
253,126,75511
252,124,75635
251,131,75766
250,143,75909
249,127,76036
248,150,76186
247,144,76330
246,135,76465
245,130,76595
244,141,76736
243,133,76869
242,129,76998
241,118,77116
240,119,77235
239,104,77339
238,99,77438
237,123,77561
236,106,77667
235,90,77757
234,93,77850
233,97,77947
232,83,78030
231,81,78111
230,95,78206
229,68,78274
228,83,78357
227,87,78444
226,76,78520
225,80,78600
224,62,78662
223,78,78740
222,78,78818
221,65,78883
220,80,78963
219,59,79022
218,56,79078
217,71,79149
216,54,79203
215,59,79262
214,74,79336
213,61,79397
212,52,79449
211,65,79514
210,48,79562
209,59,79621
208,61,79682
207,39,79721
206,58,79779
205,39,79818
204,49,79867
203,39,79906
202,45,79951
201,35,79986
200,40,80026
199,34,80060
198,29,80089
197,34,80123
196,36,80159
195,36,80195
194,27,80222
193,26,80248
192,27,80275
191,27,80302
190,33,80335
189,23,80358
188,19,80377
187,25,80402
186,22,80424
185,25,80449
184,21,80470
183,18,80488
182,27,80515
181,24,80539
180,20,80559
179,16,80575
178,14,80589
177,16,80605
176,20,80625
175,16,80641
174,20,80661
173,18,80679
172,11,80690
171,10,80700
170,10,80710
169,14,80724
168,21,80745
167,15,80760
166,10,80770
165,14,80784
164,11,80795
163,5,80800
162,17,80817
161,11,80828
160,14,80842
