分数,本段人数,累计人数
591,104,104
589,109,109
588,10,119
587,8,127
586,7,134
585,12,146
584,4,150
583,8,158
582,6,164
581,11,175
580,11,186
579,13,199
578,10,209
577,10,219
576,10,229
575,20,249
574,9,258
573,19,277
572,18,295
571,15,310
570,21,331
569,13,344
568,14,358
567,20,378
566,13,391
565,30,421
564,23,444
563,17,461
562,26,487
561,13,500
560,23,523
559,26,549
558,21,570
557,30,600
556,30,630
555,16,646
554,37,683
553,27,710
552,24,734
551,38,772
550,26,798
549,31,829
548,42,871
547,40,911
546,35,946
545,47,993
544,39,1032
543,35,1067
542,44,1111
541,50,1161
540,44,1205
539,58,1263
538,58,1321
537,47,1368
536,69,1437
535,52,1489
534,55,1544
533,45,1589
532,48,1637
531,60,1697
530,55,1752
529,64,1816
528,53,1869
527,71,1940
526,59,1999
525,57,2056
524,64,2120
523,78,2198
522,64,2262
521,55,2317
520,76,2393
519,56,2449
518,78,2527
517,67,2594
516,60,2654
515,76,2730
514,86,2816
513,70,2886
512,78,2964
511,60,3024
510,77,3101
509,78,3179
508,82,3261
507,88,3349
506,98,3447
505,99,3546
504,93,3639
503,98,3737
502,74,3811
501,101,3912
500,88,4000
499,84,4084
498,91,4175
497,103,4278
496,91,4369
495,98,4467
494,100,4567
493,108,4675
492,87,4762
491,83,4845
490,83,4928
489,109,5037
488,105,5142
487,111,5253
486,119,5372
485,100,5472
484,105,5577
483,112,5689
482,127,5816
481,101,5917
480,98,6015
479,92,6107
478,120,6227
477,117,6344
476,104,6448
475,118,6566
474,114,6680
473,118,6798
472,109,6907
471,121,7028
470,107,7135
469,115,7250
468,111,7361
467,107,7468
466,127,7595
465,105,7700
464,136,7836
463,128,7964
462,106,8070
461,118,8188
460,115,8303
459,136,8439
458,133,8572
457,136,8708
456,130,8838
455,149,8987
454,123,9110
453,143,9253
452,147,9400
451,127,9527
450,142,9669
449,148,9817
448,147,9964
447,142,10106
446,122,10228
445,136,10364
444,142,10506
443,151,10657
442,152,10809
441,139,10948
440,139,11087
439,147,11234
438,133,11367
437,137,11504
436,134,11638
435,145,11783
434,160,11943
433,185,12128
432,138,12266
431,165,12431
430,159,12590
429,152,12742
428,135,12877
427,169,13046
426,161,13207
425,148,13355
424,160,13515
423,162,13677
422,151,13828
421,148,13976
420,145,14121
419,142,14263
418,165,14428
417,139,14567
416,115,14682
415,139,14821
414,158,14979
413,138,15117
412,159,15276
411,139,15415
410,121,15536
409,161,15697
408,182,15879
407,172,16051
406,174,16225
405,121,16346
404,175,16521
403,146,16667
402,154,16821
401,132,16953
400,126,17079
399,175,17254
398,139,17393
397,143,17536
396,143,17679
395,158,17837
394,148,17985
393,134,18119
392,149,18268
391,159,18427
390,155,18582
389,148,18730
388,141,18871
387,115,18986
386,167,19153
385,146,19299
384,123,19422
383,135,19557
382,145,19702
381,135,19837
380,152,19989
379,120,20109
378,143,20252
377,129,20381
376,141,20522
375,141,20663
374,138,20801
373,163,20964
372,126,21090
371,142,21232
370,134,21366
369,130,21496
368,126,21622
367,120,21742
366,119,21861
365,138,21999
364,121,22120
363,132,22252
362,140,22392
361,122,22514
360,125,22639
359,122,22761
358,127,22888
357,129,23017
356,124,23141
355,124,23265
354,119,23384
353,114,23498
352,114,23612
351,129,23741
350,115,23856
349,127,23983
348,118,24101
347,127,24228
346,107,24335
345,104,24439
344,119,24558
343,107,24665
342,123,24788
341,84,24872
340,102,24974
339,100,25074
338,99,25173
337,88,25261
336,102,25363
335,76,25439
334,107,25546
333,85,25631
332,89,25720
331,98,25818
330,98,25916
329,84,26000
328,83,26083
327,82,26165
326,104,26269
325,78,26347
324,78,26425
323,70,26495
322,88,26583
321,72,26655
320,75,26730
319,96,26826
318,89,26915
317,85,27000
316,78,27078
315,68,27146
314,81,27227
313,74,27301
312,72,27373
311,64,27437
310,79,27516
309,86,27602
308,80,27682
307,65,27747
306,62,27809
305,73,27882
304,82,27964
303,51,28015
302,51,28066
301,54,28120
300,64,28184
299,52,28236
298,55,28291
297,61,28352
296,60,28412
295,54,28466
294,54,28520
293,58,28578
292,53,28631
291,55,28686
290,58,28744
289,49,28793
288,53,28846
287,46,28892
286,49,28941
285,57,28998
284,46,29044
283,46,29090
282,50,29140
281,33,29173
