分数,本段人数,累计人数
646,1,1
637,1,2
635,1,3
634,1,4
633,1,5
628,1,6
627,2,8
626,1,9
625,1,10
624,3,13
623,4,17
622,2,19
621,5,24
620,2,26
618,4,30
617,3,33
616,2,35
615,3,38
614,7,45
613,7,52
612,5,57
611,2,59
610,7,66
609,3,69
608,6,75
607,5,80
606,5,85
605,4,89
604,11,100
603,10,110
602,7,117
601,4,121
600,14,135
599,14,149
598,12,161
597,5,166
596,13,179
595,21,200
594,16,216
593,19,235
592,22,257
591,23,280
590,12,292
589,22,314
588,19,333
587,23,356
586,23,379
585,30,409
584,25,434
583,24,458
582,31,489
581,33,522
580,32,554
579,44,598
578,31,629
577,38,667
576,35,702
575,40,742
574,37,779
573,41,820
572,39,859
571,46,905
570,53,958
569,48,1006
568,52,1058
567,64,1122
566,44,1166
565,61,1227
564,65,1292
563,57,1349
562,61,1410
561,68,1478
560,71,1549
559,86,1635
558,69,1704
557,73,1777
556,68,1845
555,86,1931
554,83,2014
553,71,2085
552,72,2157
551,92,2249
550,94,2343
549,97,2440
548,91,2531
547,94,2625
546,102,2727
545,108,2835
544,104,2939
543,118,3057
542,102,3159
541,100,3259
540,108,3367
539,146,3513
538,121,3634
537,115,3749
536,121,3870
535,140,4010
534,136,4146
533,122,4268
532,151,4419
531,129,4548
530,148,4696
529,137,4833
528,136,4969
527,139,5108
526,172,5280
525,138,5418
524,183,5601
523,174,5775
522,177,5952
521,170,6122
520,173,6295
519,145,6440
518,168,6608
517,205,6813
516,193,7006
515,171,7177
514,193,7370
513,203,7573
512,174,7747
511,208,7955
510,195,8150
509,206,8356
508,185,8541
507,250,8791
506,197,8988
505,213,9201
504,239,9440
503,245,9685
502,234,9919
501,247,10166
500,227,10393
499,242,10635
498,233,10868
497,272,11140
496,242,11382
495,251,11633
494,261,11894
493,272,12166
492,293,12459
491,262,12721
490,239,12960
489,261,13221
488,271,13492
487,256,13748
486,286,14034
485,300,14334
484,286,14620
483,319,14939
482,310,15249
481,297,15546
480,312,15858
479,323,16181
478,328,16509
477,321,16830
476,288,17118
475,308,17426
474,343,17769
473,336,18105
472,361,18466
471,300,18766
470,325,19091
469,330,19421
468,345,19766
467,296,20062
466,362,20424
465,300,20724
464,322,21046
463,354,21400
462,339,21739
461,342,22081
460,348,22429
459,355,22784
458,346,23130
457,356,23486
456,301,23787
455,294,24081
454,342,24423
453,311,24734
452,331,25065
451,342,25407
450,326,25733
449,377,26110
448,331,26441
447,351,26792
446,333,27125
445,354,27479
444,335,27814
443,325,28139
442,371,28510
441,362,28872
440,335,29207
439,338,29545
438,329,29874
437,350,30224
436,349,30573
435,384,30957
434,298,31255
433,329,31584
432,334,31918
431,327,32245
430,323,32568
429,306,32874
428,331,33205
427,320,33525
426,325,33850
425,317,34167
424,308,34475
423,304,34779
422,370,35149
421,292,35441
420,335,35776
419,347,36123
418,340,36463
417,306,36769
416,313,37082
415,323,37405
414,312,37717
413,344,38061
412,308,38369
411,306,38675
410,298,38973
409,305,39278
408,300,39578
407,293,39871
406,331,40202
405,303,40505
404,252,40757
403,286,41043
402,296,41339
401,313,41652
400,302,41954
399,262,42216
398,289,42505
397,323,42828
396,313,43141
395,273,43414
394,285,43699
393,285,43984
392,276,44260
391,273,44533
390,272,44805
389,279,45084
388,289,45373
387,287,45660
386,276,45936
385,286,46222
384,278,46500
383,256,46756
382,255,47011
381,270,47281
380,274,47555
379,280,47835
378,247,48082
377,305,48387
376,266,48653
375,282,48935
374,290,49225
373,249,49474
372,282,49756
371,275,50031
370,247,50278
369,266,50544
368,276,50820
367,293,51113
366,251,51364
365,268,51632
364,272,51904
363,259,52163
362,283,52446
361,286,52732
360,253,52985
359,291,53276
358,292,53568
357,260,53828
356,297,54125
355,296,54421
354,321,54742
353,283,55025
352,283,55308
351,301,55609
350,302,55911
349,306,56217
348,280,56497
347,280,56777
346,310,57087
345,277,57364
344,253,57617
343,270,57887
342,276,58163
341,291,58454
340,267,58721
339,280,59001
338,280,59281
337,429,59710
336,411,60121
335,416,60537
334,403,60940
333,415,61355
332,405,61760
331,407,62167
330,406,62573
329,403,62976
328,404,63380
327,418,63798
326,359,64157
325,428,64585
324,406,64991
323,409,65400
322,389,65789
321,356,66145
320,394,66539
319,391,66930
318,388,67318
317,385,67703
316,342,68045
315,371,68416
314,366,68782
313,358,69140
312,352,69492
311,338,69830
310,361,70191
309,331,70522
308,356,70878
307,341,71219
306,307,71526
305,324,71850
304,326,72176
303,357,72533
302,308,72841
301,328,73169
300,333,73502
299,307,73809
298,288,74097
297,297,74394
296,276,74670
295,328,74998
294,297,75295
293,286,75581
292,309,75890
291,298,76188
290,276,76464
289,287,76751
288,289,77040
287,306,77346
286,261,77607
285,246,77853
