score,count,cumulative
716,1,1
709,2,3
705,1,4
702,1,5
701,1,6
700,1,7
699,3,10
698,2,12
697,3,15
696,1,16
695,2,18
694,3,21
693,8,29
692,4,33
691,8,41
690,8,49
689,6,55
688,4,59
687,10,69
686,9,78
685,5,83
684,12,95
683,12,107
682,7,114
681,18,132
680,17,149
679,11,160
678,14,174
677,13,187
676,15,202
675,23,225
674,22,247
673,15,262
672,21,283
671,28,311
670,35,346
669,24,370
668,30,400
667,34,434
666,32,466
665,32,498
664,44,542
663,36,578
662,44,622
661,46,668
660,41,709
659,51,760
658,55,815
657,63,878
656,48,926
655,60,986
654,57,1043
653,61,1104
652,75,1179
651,78,1257
650,75,1332
649,75,1407
648,75,1482
647,76,1558
646,81,1639
645,92,1731
644,85,1816
643,107,1923
642,100,2023
641,106,2129
640,94,2223
639,130,2353
638,135,2488
637,119,2607
636,147,2754
635,144,2898
634,129,3027
633,159,3186
632,134,3320
631,165,3485
630,156,3641
629,160,3801
628,157,3958
627,180,4138
626,197,4335
625,179,4514
624,177,4691
623,204,4895
622,208,5103
621,230,5333
620,217,5550
619,202,5752
618,214,5966
617,254,6220
616,227,6447
615,253,6700
614,249,6949
613,252,7201
612,242,7443
611,288,7731
610,282,8013
609,280,8293
608,306,8599
607,314,8913
606,323,9236
605,344,9580
604,324,9904
603,320,10224
602,327,10551
601,341,10892
600,350,11242
599,375,11617
598,351,11968
597,398,12366
596,404,12770
595,410,13180
594,411,13591
593,390,13981
592,407,14388
591,422,14810
590,400,15210
589,429,15639
588,453,16092
587,440,16532
586,476,17008
585,456,17464
584,484,17948
583,459,18407
582,485,18892
581,522,19414
580,492,19906
579,521,20427
578,551,20978
577,529,21507
576,528,22035
575,598,22633
574,536,23169
573,611,23780
572,527,24307
571,556,24863
570,592,25455
569,644,26099
568,552,26651
567,580,27231
566,599,27830
565,685,28515
564,648,29163
563,680,29843
562,633,30476
561,739,31215
560,685,31900
559,664,32564
558,686,33250
557,684,33934
556,773,34707
555,702,35409
554,646,36055
553,769,36824
552,749,37573
551,716,38289
550,752,39041
549,819,39860
548,759,40619
547,778,41397
546,822,42219
545,755,42974
544,825,43799
543,856,44655
542,808,45463
541,856,46319
540,843,47162
539,843,48005
538,857,48862
537,878,49740
536,865,50605
535,855,51460
534,934,52394
533,895,53289
532,923,54212
531,912,55124
530,929,56053
529,892,56945
528,969,57914
527,912,58826
526,960,59786
525,927,60713
524,947,61660
523,986,62646
522,983,63629
521,961,64590
520,972,65562
519,1015,66577
518,1008,67585
517,993,68578
516,953,69531
515,976,70507
514,947,71454
513,1017,72471
512,1045,73516
511,1069,74585
510,1012,75597
509,1014,76611
508,1050,77661
507,1068,78729
506,1075,79804
505,1062,80866
504,1041,81907
503,1160,83067
502,1100,84167
501,1087,85254
500,1104,86358
499,1092,87450
498,1099,88549
497,1120,89669
496,1157,90826
495,1183,92009
494,1120,93129
493,1150,94279
492,1122,95401
491,1175,96576
490,1170,97746
489,1170,98916
488,1166,100082
487,1124,101206
486,1150,102356
485,1122,103478
484,1136,104614
483,1204,105818
482,1210,107028
481,1171,108199
480,1189,109388
479,1218,110606
478,1157,111763
477,1209,112972
476,1226,114198
475,1140,115338
474,1264,116602
473,1239,117841
472,1208,119049
471,1192,120241
470,1243,121484
469,1202,122686
468,1201,123887
467,1250,125137
466,1197,126334
465,1272,127606
464,1224,128830
463,1221,130051
462,1273,131324
461,1229,132553
460,1205,133758
459,1263,135021
458,1309,136330
457,1191,137521
456,1160,138681
455,1274,139955
454,1197,141152
453,1296,142448
452,1278,143726
451,1239,144965
450,1245,146210
449,1243,147453
448,1187,148640
447,1250,149890
446,1202,151092
445,1258,152350
444,1186,153536
443,1205,154741
442,1236,155977
441,1213,157190
440,1174,158364
439,1162,159526
438,1236,160762
437,1218,161980
436,1206,163186
435,1227,164413
434,1197,165610
433,1186,166796
432,1121,167917
431,1186,169103
430,1096,170199
429,1128,171327
428,1089,172416
427,1167,173583
426,1128,174711
425,1145,175856
424,1191,177047
423,1099,178146
422,1091,179237
421,1032,180269
420,1071,181340
419,1042,182382
418,1089,183471
417,1016,184487
416,1135,185622
415,994,186616
414,1009,187625
413,1024,188649
412,1038,189687
411,967,190654
410,983,191637
409,1038,192675
408,974,193649
407,1002,194651
406,962,195613
405,929,196542
404,868,197410
403,1009,198419
402,912,199331
401,984,200315
400,902,201217
399,944,202161
398,882,203043
397,928,203971
396,872,204843
395,874,205717
394,889,206606
393,863,207469
392,831,208300
391,853,209153
390,838,209991
389,890,210881
388,858,211739
387,830,212569
386,835,213404
385,839,214243
384,801,215044
383,773,215817
382,750,216567
381,788,217355
380,769,218124
379,771,218895
378,694,219589
377,765,220354
376,684,221038
375,735,221773
374,719,222492
373,707,223199
372,712,223911
371,702,224613
370,698,225311
369,677,225988
368,681,226669
367,674,227343
366,638,227981
365,677,228658
364,654,229312
363,698,230010
362,645,230655
361,639,231294
360,642,231936
359,617,232553
358,692,233245
357,577,233822
356,613,234435
355,590,235025
354,593,235618
353,573,236191
352,536,236727
351,532,237259
350,616,237875
349,546,238421
348,553,238974
347,561,239535
346,532,240067
345,563,240630
344,551,241181
343,559,241740
342,530,242270
341,528,242798
340,507,243305
339,535,243840
338,526,244366
337,514,244880
336,510,245390
335,483,245873
334,431,246304
333,498,246802
332,509,247311
331,493,247804
330,489,248293
329,449,248742
328,453,249195
327,473,249668
326,481,250149
325,444,250593
324,431,251024
323,459,251483
322,402,251885
321,395,252280
320,413,252693
319,403,253096
318,391,253487
317,403,253890
316,363,254253
315,427,254680
314,414,255094
313,376,255470
312,379,255849
311,392,256241
310,335,256576
309,379,256955
308,375,257330
307,357,257687
306,363,258050
305,334,258384
304,351,258735
303,328,259063
302,332,259395
301,338,259733
300,325,260058
299,323,260381
298,326,260707
297,325,261032
296,296,261328
295,323,261651
294,286,261937
293,318,262255
292,300,262555
291,276,262831
290,285,263116
289,309,263425
288,282,263707
287,271,263978
286,290,264268
285,304,264572
284,267,264839
283,272,265111
282,273,265384
281,271,265655
280,218,265873
279,270,266143
278,243,266386
277,259,266645
276,259,266904
275,232,267136
274,189,267325
273,207,267532
272,234,267766
271,247,268013
270,239,268252
269,225,268477
268,208,268685
267,196,268881
266,210,269091
265,190,269281
264,201,269482
263,196,269678
262,185,269863
261,209,270072
260,178,270250
259,192,270442
258,194,270636
257,172,270808
256,176,270984
255,185,271169
254,173,271342
253,182,271524
252,180,271704
251,174,271878
250,157,272035
249,150,272185
248,157,272342
247,138,272480
246,150,272630
245,136,272766
244,151,272917
243,165,273082
242,139,273221
241,144,273365
240,125,273490
239,134,273624
238,146,273770
237,125,273895
236,108,274003
235,130,274133
234,143,274276
233,106,274382
232,109,274491
231,124,274615
230,119,274734
229,102,274836
228,110,274946
227,103,275049
226,102,275151
225,95,275246
224,101,275347
223,103,275450
222,104,275554
221,101,275655
220,102,275757
219,90,275847
218,106,275953
217,70,276023
216,82,276105
215,80,276185
214,97,276282
213,76,276358
212,78,276436
211,83,276519
210,80,276599
209,65,276664
208,70,276734
207,61,276795
206,72,276867
205,70,276937
204,78,277015
203,61,277076
202,67,277143
201,47,277190
0,8872,286062
