score,count,cumulative
648,39,39
647,11,50
646,5,55
645,5,60
644,6,66
643,5,71
642,5,76
641,9,85
640,5,90
639,8,98
638,4,102
637,10,112
636,5,117
635,6,123
634,7,130
633,8,138
632,8,146
631,7,153
630,11,164
629,7,171
628,11,182
627,10,192
626,15,207
625,12,219
624,17,236
623,14,250
622,13,263
621,14,277
620,6,283
619,12,295
618,12,307
617,15,322
616,19,341
615,23,364
614,18,382
613,20,402
612,13,415
611,22,437
610,18,455
609,25,480
608,23,503
607,25,528
606,29,557
605,20,577
604,25,602
603,32,634
602,33,667
601,45,712
600,43,755
599,34,789
598,26,815
597,37,852
596,31,883
595,36,919
594,36,955
593,35,990
592,41,1031
591,57,1088
590,46,1134
589,44,1178
588,34,1212
587,54,1266
586,28,1294
585,49,1343
584,63,1406
583,55,1461
582,72,1533
581,56,1589
580,60,1649
579,65,1714
578,49,1763
577,69,1832
576,63,1895
575,55,1950
574,60,2010
573,82,2092
572,59,2151
571,72,2223
570,82,2305
569,67,2372
568,87,2459
567,82,2541
566,93,2634
565,87,2721
564,78,2799
563,86,2885
562,88,2973
561,84,3057
560,109,3166
559,71,3237
558,93,3330
557,118,3448
556,108,3556
555,107,3663
554,105,3768
553,118,3886
552,104,3990
551,95,4085
550,124,4209
549,104,4313
548,116,4429
547,128,4557
546,137,4694
545,130,4824
544,146,4970
543,128,5098
542,146,5244
541,123,5367
540,149,5516
539,146,5662
538,134,5796
537,140,5936
536,147,6083
535,139,6222
534,159,6381
533,150,6531
532,161,6692
531,165,6857
530,155,7012
529,149,7161
528,162,7323
527,172,7495
526,193,7688
525,187,7875
524,185,8060
523,154,8214
522,184,8398
521,186,8584
520,191,8775
519,194,8969
518,196,9165
517,178,9343
516,197,9540
515,201,9741
514,172,9913
513,233,10146
512,208,10354
511,214,10568
510,182,10750
509,227,10977
508,261,11238
507,251,11489
506,230,11719
505,239,11958
504,252,12210
503,224,12434
502,241,12675
501,280,12955
500,272,13227
499,264,13491
498,241,13732
497,262,13994
496,251,14245
495,267,14512
494,260,14772
493,302,15074
492,274,15348
491,274,15622
490,283,15905
489,323,16228
488,322,16550
487,287,16837
486,314,17151
485,331,17482
484,317,17799
483,312,18111
482,318,18429
481,283,18712
480,340,19052
479,297,19349
478,352,19701
477,329,20030
476,358,20388
475,339,20727
474,335,21062
473,347,21409
472,334,21743
471,379,22122
470,344,22466
469,320,22786
468,334,23120
467,379,23499
466,367,23866
465,372,24238
464,380,24618
463,397,25015
462,379,25394
461,400,25794
460,348,26142
459,428,26570
458,455,27025
457,392,27417
456,388,27805
455,436,28241
454,399,28640
453,422,29062
452,429,29491
451,478,29969
450,446,30415
449,436,30851
448,425,31276
447,422,31698
446,406,32104
445,418,32522
444,430,32952
443,438,33390
442,473,33863
441,436,34299
440,431,34730
439,459,35189
438,461,35650
437,463,36113
436,499,36612
435,490,37102
434,480,37582
433,459,38041
432,513,38554
431,476,39030
430,486,39516
429,483,39999
428,473,40472
427,502,40974
426,493,41467
425,508,41975
424,518,42493
423,463,42956
422,528,43484
421,535,44019
420,510,44529
419,542,45071
418,544,45615
417,535,46150
416,501,46651
415,489,47140
414,538,47678
413,557,48235
412,522,48757
411,553,49310
410,512,49822
409,558,50380
408,581,50961
407,539,51500
406,544,52044
405,592,52636
404,544,53180
403,507,53687
402,557,54244
401,570,54814
400,557,55371
399,538,55909
398,527,56436
397,558,56994
396,542,57536
395,550,58086
394,565,58651
393,585,59236
392,574,59810
391,523,60333
390,514,60847
389,584,61431
388,503,61934
387,562,62496
386,549,63045
385,565,63610
384,573,64183
383,545,64728
382,537,65265
381,506,65771
380,539,66310
379,499,66809
378,527,67336
377,551,67887
376,533,68420
375,500,68920
374,474,69394
373,506,69900
372,524,70424
371,540,70964
370,555,71519
369,509,72028
368,540,72568
367,551,73119
366,526,73645
365,514,74159
364,496,74655
363,510,75165
362,503,75668
361,488,76156
360,482,76638
359,509,77147
358,497,77644
357,493,78137
356,465,78602
355,528,79130
354,507,79637
353,429,80066
352,456,80522
351,469,80991
350,471,81462
349,443,81905
348,447,82352
347,448,82800
346,496,83296
345,463,83759
344,408,84167
343,419,84586
342,420,85006
341,416,85422
340,415,85837
339,401,86238
338,466,86704
337,406,87110
336,411,87521
335,439,87960
334,386,88346
333,406,88752
332,412,89164
331,374,89538
330,373,89911
329,402,90313
328,384,90697
327,366,91063
326,385,91448
325,377,91825
324,348,92173
323,361,92534
322,348,92882
321,355,93237
320,299,93536
319,342,93878
318,320,94198
317,323,94521
316,334,94855
315,313,95168
314,312,95480
313,297,95777
312,276,96053
311,293,96346
310,269,96615
309,301,96916
308,333,97249
307,250,97499
306,301,97800
305,272,98072
304,271,98343
303,242,98585
302,278,98863
301,269,99132
300,272,99404
299,260,99664
298,292,99956
297,255,100211
296,236,100447
295,241,100688
294,213,100901
293,242,101143
292,201,101344
291,249,101593
290,216,101809
289,236,102045
288,212,102257
287,249,102506
286,200,102706
285,238,102944
284,210,103154
283,196,103350
282,209,103559
281,205,103764
280,188,103952
279,190,104142
278,173,104315
277,184,104499
276,167,104666
275,150,104816
274,191,105007
273,179,105186
272,155,105341
271,166,105507
270,151,105658
269,171,105829
268,162,105991
267,145,106136
266,159,106295
265,136,106431
264,136,106567
263,158,106725
262,137,106862
261,116,106978
260,135,107113
259,150,107263
258,140,107403
257,121,107524
256,118,107642
255,122,107764
254,109,107873
253,132,108005
252,118,108123
251,110,108233
250,97,108330
249,118,108448
248,109,108557
247,99,108656
246,95,108751
245,87,108838
244,99,108937
243,92,109029
242,89,109118
241,100,109218
240,87,109305
239,94,109399
238,86,109485
237,96,109581
236,83,109664
235,88,109752
234,77,109829
233,86,109915
232,79,109994
231,82,110076
230,87,110163
229,87,110250
228,64,110314
227,60,110374
226,54,110428
225,64,110492
224,70,110562
223,47,110609
222,66,110675
221,68,110743
220,64,110807
219,74,110881
218,68,110949
217,53,111002
216,52,111054
215,43,111097
214,56,111153
213,58,111211
212,45,111256
211,44,111300
210,56,111356
209,47,111403
208,49,111452
207,61,111513
206,55,111568
205,53,111621
204,38,111659
203,43,111702
202,39,111741
201,32,111773
200,32,111805
199,40,111845
198,31,111876
197,38,111914
196,39,111953
195,32,111985
194,21,112006
193,37,112043
192,27,112070
191,28,112098
190,42,112140
189,21,112161
188,28,112189
187,24,112213
186,28,112241
185,32,112273
184,23,112296
183,24,112320
182,29,112349
181,15,112364
180,18,112382
179,14,112396
178,16,112412
177,16,112428
176,22,112450
175,24,112474
174,26,112500
173,18,112518
172,11,112529
171,13,112542
170,11,112553
169,21,112574
168,11,112585
167,12,112597
166,9,112606
165,11,112617
164,16,112633
163,15,112648
162,14,112662
161,10,112672
160,15,112687
