分数,本段人数,累计人数
697,3,13
696,3,16
693,1,17
692,1,18
691,3,21
690,2,23
689,3,26
688,3,29
687,1,30
686,3,33
685,4,37
684,5,42
683,6,48
682,6,54
681,8,62
680,6,68
679,2,70
678,5,75
677,3,78
676,14,92
675,7,99
674,10,109
673,11,120
672,10,130
671,6,136
670,5,141
669,9,150
668,13,163
667,13,176
666,14,190
665,17,207
664,11,218
663,17,235
662,10,245
661,15,260
660,18,278
659,23,301
658,16,317
657,17,334
656,21,355
655,25,380
654,30,410
653,21,431
652,33,464
651,23,487
650,34,521
649,36,557
648,27,584
647,31,615
646,28,643
645,41,684
644,33,717
643,43,760
642,44,804
641,43,847
640,50,897
639,34,931
638,48,979
637,42,1021
636,46,1067
635,49,1116
634,55,1171
633,60,1231
632,62,1293
631,51,1344
630,49,1393
629,58,1451
628,60,1511
627,67,1578
626,59,1637
625,70,1707
624,66,1773
623,64,1837
622,75,1912
621,71,1983
620,77,2060
619,73,2133
618,96,2229
617,76,2305
616,89,2394
615,94,2488
614,83,2571
613,71,2642
612,90,2732
611,99,2831
610,125,2956
609,133,3089
608,125,3214
607,116,3330
606,109,3439
605,108,3547
604,134,3681
603,121,3802
602,137,3939
601,124,4063
600,116,4179
599,152,4331
598,132,4463
597,126,4589
596,167,4756
595,134,4890
594,138,5028
593,163,5191
592,145,5336
591,154,5490
590,173,5663
589,133,5796
588,165,5961
587,174,6135
586,175,6310
585,157,6467
584,207,6674
583,192,6866
582,168,7034
581,191,7225
580,167,7392
579,202,7594
578,200,7794
577,211,8005
576,211,8216
575,196,8412
574,189,8601
573,194,8795
572,233,9028
571,193,9221
570,241,9462
569,217,9679
568,213,9892
567,251,10143
566,216,10359
565,206,10565
564,231,10796
563,251,11047
562,244,11291
561,244,11535
560,245,11780
559,239,12019
558,282,12301
557,282,12583
556,256,12839
555,248,13087
554,293,13380
553,270,13650
552,258,13908
551,298,14206
550,281,14487
549,263,14750
548,269,15019
547,318,15337
546,290,15627
545,286,15913
544,316,16229
543,315,16544
542,305,16849
541,359,17208
540,322,17530
539,319,17849
538,325,18174
537,361,18535
536,307,18842
535,317,19159
534,339,19498
533,330,19828
532,383,20211
531,358,20569
530,364,20933
529,368,21301
528,396,21697
527,367,22064
526,380,22444
525,325,22769
524,375,23144
523,369,23513
522,393,23906
521,389,24295
520,413,24708
519,404,25112
518,427,25539
517,438,25977
516,443,26420
515,422,26842
514,399,27241
513,458,27699
512,386,28085
511,425,28510
510,460,28970
509,452,29422
508,466,29888
507,464,30352
506,460,30812
505,462,31274
504,490,31764
503,504,32268
502,477,32745
501,466,33211
500,473,33684
