分数,本段人数,累计人数
663,106,106
662,5,111
661,9,120
660,9,129
659,9,138
658,10,148
657,15,163
656,5,168
655,12,180
654,14,194
653,15,209
652,11,220
651,17,237
650,13,250
649,11,261
648,9,270
647,18,288
646,12,300
645,14,314
644,24,338
643,10,348
642,18,366
641,19,385
640,12,397
639,14,411
638,29,440
637,18,458
636,13,471
635,22,493
634,22,515
633,24,539
632,24,563
631,21,584
630,32,616
629,30,646
628,30,676
627,27,703
626,21,724
625,33,757
624,35,792
623,30,822
622,34,856
621,42,898
620,26,924
619,30,954
618,43,997
617,37,1034
616,29,1063
615,37,1100
614,45,1145
613,37,1182
612,46,1228
611,38,1266
610,46,1312
609,58,1370
608,58,1428
607,47,1475
606,57,1532
605,52,1584
604,55,1639
603,79,1718
602,57,1775
601,60,1835
600,59,1894
599,60,1954
598,88,2042
597,80,2122
596,63,2185
595,69,2254
594,77,2331
593,83,2414
592,66,2480
591,77,2557
590,85,2642
589,88,2730
588,77,2807
587,85,2892
586,88,2980
585,87,3067
584,67,3134
583,80,3214
582,89,3303
581,116,3419
580,102,3521
579,75,3596
578,91,3687
577,111,3798
576,110,3908
575,85,3993
574,109,4102
573,105,4207
572,91,4298
571,105,4403
570,107,4510
569,116,4626
568,109,4735
567,117,4852
566,111,4963
565,121,5084
564,134,5218
563,125,5343
562,126,5469
561,129,5598
560,130,5728
559,113,5841
558,141,5982
557,154,6136
556,167,6303
555,141,6444
554,147,6591
553,146,6737
552,140,6877
551,144,7021
550,163,7184
549,139,7323
548,158,7481
547,159,7640
546,157,7797
545,144,7941
544,168,8109
543,171,8280
542,162,8442
541,203,8645
540,197,8842
539,161,9003
538,182,9185
537,169,9354
536,160,9514
535,164,9678
534,175,9853
533,175,10028
532,182,10210
531,185,10395
530,184,10579
529,202,10781
528,178,10959
527,172,11131
526,188,11319
525,216,11535
524,199,11734
523,190,11924
522,193,12117
521,187,12304
520,190,12494
519,186,12680
518,206,12886
517,198,13084
516,200,13284
515,196,13480
514,226,13706
513,209,13915
512,221,14136
511,203,14339
510,239,14578
509,238,14816
508,207,15023
507,202,15225
506,209,15434
505,217,15651
504,230,15881
503,229,16110
502,218,16328
501,234,16562
500,227,16789
499,228,17017
498,243,17260
497,225,17485
496,237,17722
495,226,17948
494,244,18192
493,230,18422
492,210,18632
491,241,18873
490,225,19098
489,233,19331
488,237,19568
487,240,19808
486,203,20011
485,227,20238
484,250,20488
483,255,20743
482,255,20998
481,256,21254
480,247,21501
479,247,21748
478,258,22006
477,259,22265
476,218,22483
475,259,22742
474,244,22986
473,222,23208
472,217,23425
471,261,23686
470,258,23944
469,268,24212
468,253,24465
467,259,24724
466,270,24994
465,263,25257
464,239,25496
463,266,25762
462,265,26027
461,263,26290
460,294,26584
459,250,26834
458,301,27135
457,279,27414
456,293,27707
455,268,27975
454,281,28256
453,247,28503
452,309,28812
451,293,29105
450,282,29387
449,263,29650
448,290,29940
447,279,30219
446,262,30481
445,296,30777
444,292,31069
443,289,31358
442,291,31649
441,291,31940
440,281,32221
439,277,32498
438,271,32769
437,290,33059
436,275,33334
435,286,33620
434,275,33895
433,295,34190
432,269,34459
431,275,34734
430,320,35054
429,292,35346
428,287,35633
427,297,35930
426,282,36212
425,285,36497
424,299,36796
423,317,37113
422,289,37402
421,310,37712
420,288,38000
419,308,38308
418,304,38612
417,283,38895
416,300,39195
415,295,39490
414,327,39817
413,306,40123
412,298,40421
411,292,40713
410,319,41032
409,295,41327
408,292,41619
407,329,41948
406,289,42237
405,287,42524
404,297,42821
403,306,43127
402,307,43434
401,321,43755
400,329,44084
399,332,44416
398,293,44709
397,315,45024
396,308,45332
395,322,45654
394,288,45942
393,305,46247
392,298,46545
391,295,46840
390,307,47147
389,278,47425
388,318,47743
387,308,48051
386,302,48353
385,302,48655
384,276,48931
383,316,49247
382,283,49530
381,299,49829
380,303,50132
379,280,50412
378,298,50710
377,284,50994
376,271,51265
375,306,51571
374,290,51861
373,300,52161
372,276,52437
371,316,52753
370,259,53012
369,256,53268
368,304,53572
367,310,53882
366,282,54164
365,288,54452
364,288,54740
363,270,55010
362,267,55277
361,267,55544
360,250,55794
359,256,56050
358,292,56342
357,283,56625
356,251,56876
355,268,57144
354,269,57413
353,281,57694
352,248,57942
351,276,58218
350,247,58465
349,223,58688
348,251,58939
347,262,59201
346,268,59469
345,219,59688
344,243,59931
343,258,60189
342,203,60392
341,214,60606
340,234,60840
339,221,61061
338,259,61320
337,208,61528
336,235,61763
335,254,62017
334,217,62234
333,223,62457
332,228,62685
331,184,62869
330,231,63100
329,212,63312
328,223,63535
327,202,63737
326,204,63941
325,204,64145
324,237,64382
323,177,64559
322,211,64770
321,187,64957
320,206,65163
319,202,65365
318,205,65570
317,190,65760
316,195,65955
315,203,66158
314,190,66348
313,182,66530
312,175,66705
311,175,66880
310,173,67053
309,171,67224
308,160,67384
307,197,67581
306,178,67759
305,174,67933
304,168,68101
303,153,68254
302,161,68415
301,165,68580
300,161,68741
299,165,68906
298,180,69086
297,190,69276
296,170,69446
295,158,69604
294,152,69756
293,155,69911
292,143,70054
291,122,70176
290,153,70329
289,159,70488
288,136,70624
287,161,70785
286,145,70930
285,111,71041
284,134,71175
283,128,71303
282,126,71429
281,133,71562
280,146,71708
279,149,71857
278,136,71993
277,129,72122
276,123,72245
275,120,72365
274,127,72492
273,115,72607
272,120,72727
271,117,72844
270,112,72956
269,101,73057
268,121,73178
267,101,73279
266,91,73370
265,108,73478
264,92,73570
263,101,73671
262,113,73784
261,98,73882
260,100,73982
259,107,74089
258,91,74180
257,91,74271
256,96,74367
255,87,74454
254,93,74547
253,86,74633
252,96,74729
251,81,74810
250,66,74876
249,87,74963
248,86,75049
247,79,75128
246,86,75214
245,78,75292
244,78,75370
243,55,75425
242,70,75495
241,80,75575
240,69,75644
239,76,75720
238,73,75793
237,79,75872
236,68,75940
235,62,76002
234,54,76056
233,64,76120
232,69,76189
231,57,76246
230,66,76312
229,69,76381
228,52,76433
227,54,76487
226,61,76548
225,65,76613
224,45,76658
223,61,76719
222,55,76774
221,62,76836
220,48,76884
219,38,76922
218,47,76969
217,45,77014
216,52,77066
215,41,77107
214,34,77141
213,47,77188
212,39,77227
211,42,77269
210,41,77310
209,37,77347
208,24,77371
207,40,77411
206,34,77445
205,29,77474
204,40,77514
203,37,77551
202,31,77582
201,31,77613
200,34,77647
199,22,77669
198,25,77694
197,36,77730
196,29,77759
195,21,77780
194,22,77802
193,27,77829
192,27,77856
191,18,77874
190,28,77902
189,22,77924
188,21,77945
187,22,77967
186,19,77986
185,25,78011
184,25,78036
183,18,78054
182,25,78079
181,22,78101
180,21,78122
179,19,78141
178,22,78163
177,12,78175
176,14,78189
175,9,78198
174,18,78216
173,9,78225
172,14,78239
171,23,78262
170,15,78277
169,13,78290
168,13,78303
167,23,78326
166,20,78346
165,15,78361
164,8,78369
163,11,78380
162,9,78389
161,10,78399
160,15,78414
159,15,78429
158,9,78438
157,6,78444
156,8,78452
155,5,78457
154,13,78470
153,6,78476
152,5,78481
151,8,78489
150,7,78496
149,13,78509
148,6,78515
147,7,78522
146,8,78530
145,8,78538
144,8,78546
143,7,78553
142,6,78559
141,5,78564
140,6,78570
139,8,78578
138,3,78581
137,2,78583
136,3,78586
135,5,78591
134,6,78597
133,2,78599
132,5,78604
131,3,78607
130,3,78610
129,2,78612
128,1,78613
127,1,78614
126,3,78617
125,1,78618
124,4,78622
123,3,78625
122,5,78630
121,3,78633
120,2,78635
119,3,78638
118,2,78640
117,1,78641
116,3,78644
115,3,78647
114,1,78648
113,1,78649
112,1,78650
111,2,78652
110,0,78652
109,5,78657
108,1,78658
107,0,78658
106,2,78660
105,1,78661
104,0,78661
103,2,78663
102,2,78665
101,0,78665
100,2,78667
99,1,78668
98,1,78669
97,1,78670
96,1,78671
95,1,78672
94,0,78672
93,1,78673
92,2,78675
91,0,78675
90,3,78678
89,1,78679
