分数,本段人数,累计人数
695,1,1
692,1,2
691,1,3
690,1,4
686,2,6
685,1,7
684,1,8
682,1,9
681,5,14
680,2,16
679,3,19
677,3,22
676,2,24
675,1,25
673,2,27
672,2,29
671,3,32
670,5,37
669,4,41
668,1,42
667,1,43
665,7,50
664,4,54
663,6,60
662,2,62
661,6,68
660,5,73
659,5,78
658,5,83
657,5,88
656,5,93
655,6,99
654,9,108
653,10,118
652,9,127
651,10,137
650,4,141
649,8,149
648,10,159
647,10,169
646,10,179
645,7,186
644,9,195
643,12,207
642,12,219
641,14,233
640,14,247
639,13,260
638,14,274
637,16,290
636,13,303
635,24,327
634,21,348
633,24,372
632,11,383
631,22,405
630,17,422
629,24,446
628,21,467
627,22,489
626,21,510
625,13,523
624,25,548
623,24,572
622,28,600
621,30,630
620,18,648
619,21,669
618,31,700
617,37,737
616,50,787
615,43,830
614,29,859
613,34,893
612,36,929
611,28,957
610,36,993
609,36,1029
608,33,1062
607,26,1088
606,36,1124
605,32,1156
604,32,1188
603,41,1229
602,37,1266
601,55,1321
600,63,1384
599,57,1441
598,51,1492
597,45,1537
596,62,1599
595,52,1651
594,48,1699
593,49,1748
592,44,1792
591,69,1861
590,78,1939
589,57,1996
588,54,2050
587,69,2119
586,78,2197
585,71,2268
584,67,2335
583,79,2414
582,75,2489
581,73,2562
580,76,2638
579,66,2704
578,79,2783
577,87,2870
576,64,2934
575,77,3011
574,91,3102
573,78,3180
572,97,3277
571,81,3358
570,92,3450
569,98,3548
568,90,3638
567,81,3719
566,106,3825
565,111,3936
564,83,4019
563,90,4109
562,86,4195
561,116,4311
560,114,4425
559,114,4539
558,113,4652
557,108,4760
556,103,4863
555,94,4957
554,132,5089
553,98,5187
552,118,5305
551,114,5419
550,120,5539
549,107,5646
548,108,5754
547,120,5874
546,120,5994
545,121,6115
544,116,6231
543,138,6369
542,144,6513
541,143,6656
540,152,6808
539,169,6977
538,141,7118
537,147,7265
536,154,7419
535,156,7575
534,151,7726
533,168,7894
532,173,8067
531,165,8232
530,144,8376
529,150,8526
528,138,8664
527,144,8808
526,146,8954
525,160,9114
524,147,9261
523,175,9436
522,164,9600
521,162,9762
520,150,9912
519,172,10084
518,165,10249
517,159,10408
516,167,10575
515,157,10732
514,175,10907
513,176,11083
512,170,11253
511,174,11427
510,167,11594
509,210,11804
508,169,11973
507,193,12166
506,201,12367
505,194,12561
504,213,12774
503,193,12967
502,176,13143
501,176,13319
500,191,13510
499,207,13717
498,215,13932
497,198,14130
496,218,14348
495,234,14582
494,203,14785
493,187,14972
492,207,15179
491,202,15381
490,185,15566
489,204,15770
488,225,15995
487,219,16214
486,215,16429
485,206,16635
484,211,16846
483,213,17059
482,228,17287
481,210,17497
480,190,17687
479,217,17904
478,203,18107
477,202,18309
476,236,18545
475,208,18753
474,220,18973
473,231,19204
472,232,19436
471,218,19654
470,214,19868
469,231,20099
468,212,20311
467,255,20566
466,218,20784
465,204,20988
464,235,21223
463,218,21441
462,217,21658
