分数,本段人数,累计人数
600,135,135
599,9,144
598,4,148
597,5,153
596,2,155
595,5,160
594,8,168
593,2,170
592,7,177
591,8,185
590,14,199
589,11,210
588,4,214
587,7,221
586,15,236
585,14,250
584,17,267
583,10,277
582,8,285
581,10,295
580,8,303
579,15,318
578,20,338
577,16,354
576,10,364
575,11,375
574,13,388
573,22,410
572,10,420
571,13,433
570,13,446
569,20,466
568,18,484
567,15,499
566,8,507
565,16,523
564,6,529
563,12,541
562,28,569
561,20,589
560,23,612
559,15,627
558,20,647
557,23,670
556,17,687
555,22,709
554,29,738
553,21,759
552,35,794
551,23,817
550,30,847
549,28,875
548,28,903
547,31,934
546,35,969
545,32,1001
544,45,1046
543,34,1080
542,27,1107
541,39,1146
540,35,1181
539,20,1201
538,31,1232
537,43,1275
536,40,1315
535,33,1348
534,39,1387
533,36,1423
532,36,1459
531,27,1486
530,27,1513
529,47,1560
528,44,1604
527,44,1648
526,41,1689
525,40,1729
524,49,1778
523,43,1821
522,46,1867
521,56,1923
520,51,1974
519,48,2022
518,41,2063
517,49,2112
516,50,2162
515,55,2217
514,49,2266
513,56,2322
512,53,2375
511,53,2428
510,47,2475
509,45,2520
508,56,2576
507,63,2639
506,53,2692
505,56,2748
504,50,2798
503,63,2861
502,69,2930
501,62,2992
500,68,3060
499,63,3123
498,60,3183
497,70,3253
496,58,3311
495,61,3372
494,72,3444
493,87,3531
492,68,3599
491,57,3656
490,75,3731
489,73,3804
488,85,3889
487,80,3969
486,77,4046
485,86,4132
484,89,4221
483,81,4302
482,81,4383
481,101,4484
480,82,4566
479,88,4654
478,97,4751
477,79,4830
476,87,4917
475,90,5007
474,84,5091
473,89,5180
472,99,5279
471,89,5368
470,93,5461
469,91,5552
468,95,5647
467,96,5743
466,105,5848
465,118,5966
464,100,6066
463,106,6172
462,103,6275
461,105,6380
460,142,6522
459,101,6623
458,107,6730
457,103,6833
456,115,6948
455,127,7075
454,106,7181
453,118,7299
452,148,7447
451,134,7581
450,124,7705
449,135,7840
448,129,7969
447,148,8117
446,129,8246
445,156,8402
444,129,8531
443,158,8689
442,153,8842
441,122,8964
440,161,9125
439,153,9278
438,145,9423
437,134,9557
436,127,9684
435,165,9849
434,134,9983
433,161,10144
432,183,10327
431,158,10485
430,156,10641
429,171,10812
428,162,10974
427,190,11164
426,149,11313
425,159,11472
424,152,11624
423,155,11779
422,166,11945
421,165,12110
420,168,12278
419,177,12455
418,162,12617
417,160,12777
416,172,12949
415,205,13154
414,151,13305
413,172,13477
412,216,13693
411,168,13861
410,200,14061
409,165,14226
408,178,14404
407,191,14595
406,187,14782
405,185,14967
404,191,15158
403,194,15352
402,200,15552
401,208,15760
400,194,15954
399,200,16154
398,194,16348
397,217,16565
396,203,16768
395,193,16961
394,165,17126
393,194,17320
392,200,17520
391,184,17704
390,189,17893
389,186,18079
388,190,18269
387,206,18475
386,201,18676
385,212,18888
384,216,19104
383,194,19298
382,189,19487
381,205,19692
380,204,19896
379,192,20088
378,197,20285
377,173,20458
376,170,20628
375,211,20839
374,220,21059
373,188,21247
372,212,21459
371,198,21657
370,202,21859
369,184,22043
368,196,22239
367,177,22416
366,197,22613
365,189,22802
364,193,22995
363,182,23177
362,208,23385
361,173,23558
360,202,23760
359,167,23927
358,181,24108
357,193,24301
356,192,24493
355,209,24702
354,179,24881
353,172,25053
352,174,25227
351,204,25431
350,172,25603
349,201,25804
348,205,26009
347,159,26168
346,198,26366
345,154,26520
344,187,26707
343,172,26879
342,175,27054
341,192,27246
340,169,27415
339,157,27572
338,153,27725
337,188,27913
336,172,28085
335,184,28269
334,172,28441
333,150,28591
332,152,28743
331,148,28891
330,158,29049
329,155,29204
328,175,29379
327,161,29540
326,151,29691
325,151,29842
324,166,30008
323,153,30161
322,150,30311
321,133,30444
320,140,30584
319,147,30731
318,161,30892
317,154,31046
316,155,31201
315,163,31364
314,157,31521
313,121,31642
312,152,31794
311,132,31926
310,138,32064
309,143,32207
308,132,32339
307,141,32480
306,129,32609
305,139,32748
304,154,32902
303,150,33052
302,148,33200
301,136,33336
300,143,33479
299,138,33617
298,134,33751
297,124,33875
296,123,33998
295,124,34122
294,120,34242
293,146,34388
292,122,34510
291,130,34640
290,129,34769
289,112,34881
288,106,34987
287,142,35129
286,104,35233
285,101,35334
284,123,35457
283,110,35567
282,115,35682
281,126,35808
280,99,35907
279,98,36005
278,110,36115
277,91,36206
276,114,36320
275,104,36424
274,118,36542
273,103,36645
272,106,36751
271,94,36845
270,105,36950
269,112,37062
268,106,37168
267,96,37264
266,107,37371
265,98,37469
264,105,37574
263,125,37699
262,83,37782
261,103,37885
260,96,37981
259,94,38075
258,98,38173
257,92,38265
256,92,38357
255,74,38431
254,88,38519
253,73,38592
252,79,38671
251,80,38751
250,71,38822
249,72,38894
248,75,38969
247,66,39035
246,58,39093
245,75,39168
244,74,39242
243,73,39315
242,78,39393
241,53,39446
240,66,39512
239,74,39586
238,55,39641
237,72,39713
236,70,39783
235,59,39842
234,53,39895
233,68,39963
232,73,40036
231,55,40091
230,55,40146
229,59,40205
228,53,40258
227,50,40308
226,34,40342
225,48,40390
224,46,40436
223,52,40488
222,42,40530
221,42,40572
220,41,40613
219,49,40662
218,49,40711
217,41,40752
216,46,40798
215,50,40848
214,28,40876
213,32,40908
212,31,40939
211,40,40979
210,43,41022
209,35,41057
208,31,41088
207,32,41120
206,34,41154
205,27,41181
204,28,41209
203,22,41231
202,32,41263
201,28,41291
200,26,41317
199,27,41344
198,20,41364
197,26,41390
196,24,41414
195,21,41435
194,16,41451
193,20,41471
192,25,41496
191,22,41518
190,11,41529
189,20,41549
188,16,41565
187,15,41580
186,14,41594
185,11,41605
184,12,41617
183,17,41634
182,10,41644
181,20,41664
180,13,41677
179,7,41684
178,8,41692
177,14,41706
176,8,41714
175,11,41725
174,17,41742
173,8,41750
172,4,41754
171,16,41770
170,14,41784
169,2,41786
168,10,41796
167,9,41805
166,6,41811
165,10,41821
164,5,41826
163,11,41837
162,2,41839
161,4,41843
160,5,41848
159,9,41857
158,3,41860
157,8,41868
156,6,41874
155,6,41880
154,6,41886
153,3,41889
152,4,41893
151,3,41896
150,3,41899
