score,count,cumulative
630,10,10
621,12,22
620,1,23
617,2,25
616,3,28
615,2,30
614,1,31
613,2,33
612,2,35
611,2,37
610,1,38
609,3,41
608,4,45
607,4,49
606,3,52
605,1,53
604,5,58
603,5,63
602,1,64
601,1,65
600,2,67
599,1,68
598,4,72
597,2,74
596,7,81
595,3,84
594,3,87
593,5,92
592,2,94
591,2,96
590,2,98
589,3,101
588,5,106
587,4,110
586,5,115
585,6,121
584,5,126
583,4,130
582,3,133
581,7,140
580,8,148
579,9,157
578,7,164
577,6,170
576,7,177
575,8,185
574,8,193
573,7,200
571,6,206
570,5,211
569,4,215
568,7,222
567,13,235
566,12,247
565,3,250
564,11,261
563,9,270
562,9,279
561,8,287
560,16,303
559,11,314
558,8,322
557,7,329
556,6,335
555,9,344
554,8,352
553,12,364
552,18,382
551,4,386
550,13,399
549,12,411
548,16,427
547,9,436
546,13,449
545,16,465
544,9,474
543,14,488
542,16,504
541,16,520
540,18,538
539,18,556
538,15,571
537,22,593
536,20,613
535,17,630
534,23,653
533,9,662
532,17,679
531,22,701
530,19,720
529,20,740
528,24,764
527,24,788
526,18,806
525,16,822
524,20,842
523,17,859
522,13,872
521,24,896
520,23,919
519,20,939
518,16,955
517,29,984
516,20,1004
515,25,1029
514,16,1045
513,21,1066
512,22,1088
511,27,1115
510,31,1146
509,28,1174
508,24,1198
507,19,1217
506,31,1248
505,33,1281
504,31,1312
503,26,1338
502,36,1374
501,33,1407
500,33,1440
499,23,1463
498,33,1496
497,25,1521
496,33,1554
495,27,1581
494,34,1615
493,24,1639
492,43,1682
491,30,1712
490,42,1754
489,47,1801
488,37,1838
487,42,1880
486,45,1925
485,44,1969
484,48,2017
483,35,2052
482,42,2094
481,64,2158
480,43,2201
479,39,2240
478,48,2288
477,39,2327
476,48,2375
475,39,2414
474,43,2457
473,41,2498
472,43,2541
471,54,2595
470,49,2644
469,59,2703
468,51,2754
467,50,2804
466,45,2849
465,50,2899
464,52,2951
463,51,3002
462,57,3059
461,46,3105
460,49,3154
459,64,3218
458,48,3266
457,59,3325
456,51,3376
455,45,3421
454,43,3464
453,75,3539
452,59,3598
451,56,3654
450,76,3730
449,67,3797
448,76,3873
447,65,3938
446,61,3999
445,80,4079
444,56,4135
443,64,4199
442,67,4266
441,79,4345
440,64,4409
439,61,4470
438,72,4542
437,71,4613
436,61,4674
435,66,4740
434,66,4806
433,75,4881
432,85,4966
431,87,5053
430,81,5134
429,84,5218
428,81,5299
427,72,5371
426,85,5456
425,88,5544
424,70,5614
423,80,5694
422,85,5779
421,80,5859
420,97,5956
419,76,6032
418,83,6115
417,92,6207
416,91,6298
415,86,6384
414,81,6465
413,93,6558
412,88,6646
411,104,6750
410,87,6837
409,87,6924
408,106,7030
407,113,7143
406,87,7230
405,103,7333
404,94,7427
403,115,7542
402,119,7661
401,92,7753
400,112,7865
399,96,7961
398,105,8066
397,114,8180
396,108,8288
395,90,8378
394,121,8499
393,110,8609
392,104,8713
391,139,8852
390,97,8949
389,108,9057
388,105,9162
387,92,9254
386,101,9355
385,99,9454
