分数,本段人数,累计人数
709,1,1
692,1,2
691,1,3
690,1,4
689,2,6
688,1,7
686,1,8
683,2,10
682,4,14
681,2,16
680,1,17
679,2,19
678,2,21
676,3,24
675,3,27
674,4,31
673,6,37
672,3,40
671,3,43
670,4,47
669,9,56
668,5,61
667,9,70
666,6,76
665,4,80
664,5,85
663,6,91
662,9,100
661,6,106
660,10,116
659,8,124
658,9,133
657,12,145
656,13,158
655,10,168
654,8,176
653,11,187
652,9,196
651,18,214
650,14,228
649,17,245
648,10,255
647,12,267
646,12,279
645,20,299
644,23,322
643,18,340
642,18,358
641,21,379
640,32,411
639,27,438
638,28,466
637,32,498
636,30,528
635,24,552
634,28,580
633,26,606
632,34,640
631,29,669
630,41,710
629,36,746
628,49,795
627,40,835
626,43,878
625,41,919
624,47,966
623,50,1016
622,41,1057
621,33,1090
620,60,1150
619,48,1198
618,58,1256
617,56,1312
616,61,1373
615,77,1450
614,70,1520
613,50,1570
612,70,1640
611,68,1708
610,81,1789
609,75,1864
608,71,1935
607,78,2013
606,73,2086
605,87,2173
604,96,2269
603,92,2361
602,103,2464
601,96,2560
600,92,2652
599,81,2733
598,113,2846
597,119,2965
596,130,3095
595,117,3212
594,137,3349
593,121,3470
592,127,3597
591,136,3733
590,133,3866
589,126,3992
588,137,4129
587,154,4283
586,158,4441
585,155,4596
584,175,4771
583,142,4913
582,167,5080
581,170,5250
580,160,5410
579,169,5579
578,182,5761
577,194,5955
576,199,6154
575,182,6336
574,217,6553
573,207,6760
572,221,6981
571,217,7198
570,223,7421
569,227,7648
568,222,7870
567,229,8099
566,241,8340
565,239,8579
564,266,8845
563,267,9112
562,277,9389
561,277,9666
560,294,9960
559,261,10221
558,279,10500
557,257,10757
556,311,11068
555,289,11357
554,294,11651
553,283,11934
552,328,12262
551,337,12599
550,323,12922
549,321,13243
548,368,13611
547,337,13948
546,333,14281
545,331,14612
544,352,14964
543,357,15321
542,338,15659
541,355,16014
540,376,16390
539,351,16741
538,393,17134
537,377,17511
536,404,17915
535,402,18317
534,371,18688
533,403,19091
532,375,19466
531,435,19901
530,418,20319
529,411,20730
528,409,21139
527,415,21554
526,416,21970
525,421,22391
524,455,22846
523,443,23289
522,451,23740
521,455,24195
520,477,24672
519,441,25113
518,527,25640
517,463,26103
516,464,26567
515,433,27000
514,453,27453
513,501,27954
512,486,28440
511,488,28928
510,505,29433
509,513,29946
508,537,30483
507,520,31003
506,545,31548
505,533,32081
504,566,32647
503,522,33169
502,524,33693
501,545,34238
500,542,34780
499,541,35321
498,584,35905
497,589,36494
496,566,37060
495,579,37639
494,543,38182
493,566,38748
492,623,39371
491,591,39962
490,623,40585
489,577,41162
488,591,41753
487,669,42422
486,553,42975
485,594,43569
484,634,44203
483,601,44804
482,596,45400
481,657,46057
480,613,46670
479,641,47311
478,649,47960
477,680,48640
476,609,49249
475,640,49889
474,641,50530
473,685,51215
472,694,51909
471,662,52571
470,678,53249
469,651,53900
468,676,54576
467,641,55217
466,739,55956
465,729,56685
464,704,57389
463,725,58114
462,724,58838
461,738,59576
460,737,60313
459,769,61082
458,671,61753
457,757,62510
456,730,63240
455,763,64003
454,730,64733
453,729,65462
452,781,66243
451,798,67041
450,712,67753
449,740,68493
448,790,69283
447,791,70074
446,810,70884
445,762,71646
444,757,72403
443,767,73170
442,806,73976
441,779,74755
440,799,75554
439,727,76281
438,787,77068
437,780,77848
436,831,78679
435,812,79491
434,805,80296
433,797,81093
432,774,81867
431,777,82644
430,832,83476
429,776,84252
428,776,85028
427,802,85830
426,792,86622
425,733,87355
424,808,88163
423,800,88963
422,771,89734
421,771,90505
420,746,91251
419,729,91980
418,739,92719
417,784,93503
416,750,94253
415,823,95076
414,796,95872
413,773,96645
412,793,97438
411,770,98208
410,799,99007
409,760,99767
408,773,100540
407,738,101278
406,722,102000
405,743,102743
404,738,103481
403,745,104226
402,728,104954
401,664,105618
400,711,106329
399,647,106976
398,733,107709
397,681,108390
396,711,109101
395,711,109812
394,613,110425
393,630,111055
392,616,111671
391,657,112328
390,660,112988
389,647,113635
388,673,114308
387,636,114944
386,636,115580
385,627,116207
384,624,116831
383,635,117466
382,644,118110
381,641,118751
380,605,119356
379,608,119964
378,565,120529
377,608,121137
376,599,121736
375,599,122335
374,614,122949
373,560,123509
372,546,124055
371,622,124677
370,583,125260
369,550,125810
368,558,126368
367,558,126926
366,544,127470
365,516,127986
364,521,128507
363,522,129029
362,521,129550
361,522,130072
360,501,130573
359,496,131069
358,483,131552
357,482,132034
356,504,132538
355,507,133045
354,501,133546
353,494,134040
352,493,134533
351,489,135022
350,495,135517
349,451,135968
348,490,136458
347,492,136950
346,438,137388
345,471,137859
344,448,138307
343,473,138780
342,434,139214
341,434,139648
340,417,140065
339,464,140529
338,421,140950
337,429,141379
336,435,141814
335,469,142283
334,434,142717
333,414,143131
332,396,143527
331,412,143939
330,420,144359
329,382,144741
328,394,145135
327,382,145517
326,428,145945
325,397,146342
324,404,146746
323,350,147096
322,348,147444
321,366,147810
320,371,148181
319,411,148592
318,388,148980
317,362,149342
316,377,149719
315,349,150068
314,339,150407
313,352,150759
312,403,151162
311,402,151564
310,322,151886
309,378,152264
308,361,152625
307,335,152960
306,363,153323
305,374,153697
304,362,154059
303,378,154437
302,359,154796
301,368,155164
300,320,155484
299,350,155834
298,313,156147
297,306,156453
296,361,156814
295,312,157126
294,290,157416
293,342,157758
292,324,158082
291,335,158417
290,306,158723
289,326,159049
288,297,159346
287,282,159628
286,306,159934
285,308,160242
284,301,160543
283,292,160835
282,287,161122
281,318,161440
280,270,161710
279,300,162010
278,289,162299
277,265,162564
276,256,162820
275,240,163060
274,253,163313
273,250,163563
272,225,163788
271,253,164041
270,278,164319
269,261,164580
268,216,164796
267,244,165040
266,214,165254
265,233,165487
264,214,165701
263,208,165909
262,213,166122
261,215,166337
260,220,166557
259,223,166780
258,223,167003
257,199,167202
256,207,167409
255,202,167611
254,197,167808
253,173,167981
252,217,168198
251,208,168406
250,174,168580
249,176,168756
248,178,168934
247,172,169106
246,198,169304
245,170,169474
244,168,169642
243,158,169800
242,160,169960
241,174,170134
240,139,170273
239,160,170433
238,162,170595
237,133,170728
236,142,170870
235,160,171030
234,147,171177
233,147,171324
232,130,171454
231,118,171572
230,144,171716
229,154,171870
228,141,172011
227,137,172148
226,129,172277
225,117,172394
224,142,172536
223,124,172660
222,118,172778
221,140,172918
220,104,173022
219,117,173139
218,121,173260
217,99,173359
216,110,173469
215,108,173577
214,93,173670
213,110,173780
212,119,173899
211,78,173977
210,112,174089
209,95,174184
208,91,174275
207,92,174367
206,88,174455
205,82,174537
204,100,174637
203,84,174721
202,102,174823
201,73,174896
200,96,174992
199,93,175085
198,72,175157
197,75,175232
196,69,175301
195,68,175369
194,75,175444
193,64,175508
192,77,175585
191,69,175654
190,67,175721
189,70,175791
188,66,175857
187,59,175916
186,66,175982
185,70,176052
184,61,176113
183,82,176195
182,50,176245
181,48,176293
180,64,176357
179,64,176421
178,63,176484
177,46,176530
176,68,176598
175,40,176638
174,54,176692
173,54,176746
172,69,176815
171,42,176857
170,43,176900
169,49,176949
168,46,176995
167,40,177035
166,52,177087
165,37,177124
164,46,177170
163,42,177212
162,39,177251
161,49,177300
160,36,177336
159,38,177374
158,37,177411
157,39,177450
156,48,177498
155,29,177527
154,38,177565
153,36,177601
152,30,177631
151,29,177660
150,36,177696
149,21,177717
148,39,177756
147,28,177784
146,27,177811
145,18,177829
144,27,177856
143,31,177887
142,23,177910
141,28,177938
140,28,177966
139,27,177993
138,20,178013
137,25,178038
136,24,178062
135,23,178085
134,15,178100
133,14,178114
132,15,178129
131,12,178141
130,22,178163
129,11,178174
128,23,178197
127,15,178212
126,7,178219
125,12,178231
124,17,178248
123,14,178262
122,16,178278
121,11,178289
120,8,178297
119,9,178306
118,13,178319
117,9,178328
116,15,178343
115,7,178350
114,9,178359
113,6,178365
112,9,178374
111,7,178381
110,7,178388
109,7,178395
108,7,178402
107,2,178404
106,10,178414
105,9,178423
104,10,178433
103,9,178442
102,7,178449
101,6,178455
100,8,178463
