分数,本段人数,累计人数
700,106,106
699,18,124
698,13,137
697,15,152
696,21,173
695,21,194
694,22,216
693,25,241
692,20,261
691,27,288
690,29,317
689,33,350
688,40,390
687,26,416
686,39,455
685,36,491
684,31,522
683,42,564
682,30,594
681,42,636
680,31,667
679,45,712
678,49,761
677,46,807
676,50,857
675,51,908
674,58,966
673,52,1018
672,53,1071
671,61,1132
670,75,1207
669,71,1278
668,63,1341
667,65,1406
666,49,1455
665,71,1526
664,61,1587
663,67,1654
662,69,1723
661,74,1797
660,74,1871
659,73,1944
658,89,2033
657,93,2126
656,76,2202
655,95,2297
654,78,2375
653,90,2465
652,81,2546
651,100,2646
650,98,2744
649,106,2850
648,90,2940
647,96,3036
646,100,3136
645,105,3241
644,95,3336
643,92,3428
642,105,3533
641,110,3643
640,122,3765
639,116,3881
638,103,3984
637,94,4078
636,108,4186
635,102,4288
634,112,4400
633,111,4511
632,118,4629
631,132,4761
630,96,4857
629,107,4964
628,99,5063
627,109,5172
626,108,5280
625,128,5408
624,122,5530
623,123,5653
622,122,5775
621,112,5887
620,112,5999
619,116,6115
618,133,6248
617,132,6380
616,129,6509
615,143,6652
614,128,6780
613,132,6912
612,118,7030
611,139,7169
610,127,7296
609,125,7421
608,146,7567
607,137,7704
606,147,7851
605,130,7981
604,144,8125
603,139,8264
602,134,8398
601,130,8528
600,143,8671
599,128,8799
598,158,8957
597,144,9101
596,159,9260
595,145,9405
594,137,9542
593,153,9695
592,147,9842
591,148,9990
590,149,10139
589,156,10295
588,160,10455
587,151,10606
586,152,10758
585,163,10921
584,175,11096
583,148,11244
582,136,11380
581,160,11540
580,162,11702
579,141,11843
578,164,12007
577,176,12183
576,151,12334
575,156,12490
574,143,12633
573,165,12798
572,159,12957
571,152,13109
570,144,13253
569,148,13401
568,170,13571
567,199,13770
566,153,13923
565,164,14087
564,187,14274
563,158,14432
562,152,14584
561,176,14760
560,183,14943
559,163,15106
558,158,15264
557,152,15416
556,163,15579
555,173,15752
554,185,15937
553,172,16109
552,158,16267
551,172,16439
550,151,16590
549,190,16780
548,169,16949
547,203,17152
546,213,17365
545,167,17532
544,185,17717
543,186,17903
542,178,18081
541,180,18261
540,188,18449
539,195,18644
538,176,18820
537,194,19014
536,177,19191
535,152,19343
534,148,19491
533,153,19644
532,173,19817
531,189,20006
530,169,20175
529,175,20350
528,212,20562
527,205,20767
526,180,20947
525,177,21124
524,174,21298
523,183,21481
522,194,21675
521,195,21870
520,194,22064
519,177,22241
518,172,22413
517,172,22585
516,192,22777
515,189,22966
514,198,23164
513,189,23353
512,180,23533
511,195,23728
510,196,23924
509,172,24096
508,179,24275
507,181,24456
506,181,24637
505,199,24836
504,179,25015
503,187,25202
502,194,25396
501,199,25595
500,194,25789
499,188,25977
498,171,26148
497,170,26318
496,211,26529
495,192,26721
494,184,26905
493,163,27068
492,180,27248
491,190,27438
490,186,27624
489,197,27821
488,184,28005
487,197,28202
486,180,28382
485,176,28558
484,164,28722
483,169,28891
482,175,29066
481,199,29265
480,172,29437
479,160,29597
478,165,29762
477,173,29935
476,163,30098
475,150,30248
474,149,30397
473,153,30550
472,141,30691
471,166,30857
470,144,31001
469,181,31182
468,172,31354
467,154,31508
466,139,31647
465,177,31824
464,161,31985
463,172,32157
462,154,32311
461,144,32455
460,172,32627
459,155,32782
458,148,32930
457,155,33085
456,148,33233
455,162,33395
454,154,33549
453,135,33684
452,146,33830
451,138,33968
450,149,34117
449,143,34260
448,129,34389
447,142,34531
446,138,34669
445,145,34814
444,151,34965
443,110,35075
442,163,35238
441,160,35398
440,128,35526
439,135,35661
438,137,35798
437,130,35928
436,121,36049
435,117,36166
434,113,36279
433,116,36395
432,134,36529
431,135,36664
430,119,36783
429,122,36905
428,111,37016
427,98,37114
426,96,37210
425,109,37319
424,111,37430
423,109,37539
422,102,37641
421,106,37747
420,98,37845
419,109,37954
418,111,38065
417,111,38176
416,101,38277
415,93,38370
414,116,38486
413,108,38594
412,97,38691
411,100,38791
410,105,38896
409,88,38984
408,113,39097
407,107,39204
406,82,39286
405,93,39379
404,86,39465
403,100,39565
402,83,39648
401,81,39729
400,61,39790
