分数,本段人数,累计人数
664,30,30
663,2,32
662,7,39
661,4,43
660,5,48
659,8,56
658,11,67
657,11,78
656,10,88
655,8,96
654,12,108
653,13,121
652,10,131
651,16,147
650,9,156
649,14,170
648,18,188
647,17,205
646,19,224
645,15,239
644,21,260
643,9,269
642,21,290
641,33,323
640,32,355
639,26,381
638,29,410
637,29,439
636,36,475
635,23,498
634,24,522
633,34,556
632,33,589
631,37,626
630,43,669
629,43,712
628,45,757
627,48,805
626,36,841
625,60,901
624,55,956
623,49,1005
622,39,1044
621,50,1094
620,61,1155
619,68,1223
618,73,1296
617,54,1350
616,64,1414
615,82,1496
614,61,1557
613,76,1633
612,66,1699
611,67,1766
610,72,1838
609,82,1920
608,79,1999
607,73,2072
606,100,2172
605,79,2251
604,80,2331
603,101,2432
602,94,2526
601,101,2627
600,94,2721
599,66,2787
598,93,2880
597,106,2986
596,123,3109
595,96,3205
594,124,3329
593,122,3451
592,107,3558
591,123,3681
590,127,3808
589,130,3938
588,118,4056
587,127,4183
586,150,4333
585,135,4468
584,126,4594
583,150,4744
582,157,4901
581,148,5049
580,143,5192
579,133,5325
578,181,5506
577,138,5644
576,146,5790
575,154,5944
574,169,6113
573,206,6319
572,160,6479
571,164,6643
570,168,6811
569,173,6984
568,194,7178
567,186,7364
566,217,7581
565,189,7770
564,205,7975
563,203,8178
562,202,8380
561,210,8590
560,218,8808
559,226,9034
558,237,9271
557,226,9497
556,243,9740
555,241,9981
554,242,10223
553,247,10470
552,266,10736
551,242,10978
550,258,11236
549,241,11477
548,263,11740
547,261,12001
546,245,12246
545,241,12487
544,242,12729
543,256,12985
542,304,13289
541,296,13585
540,281,13866
539,290,14156
538,293,14449
537,286,14735
536,306,15041
535,293,15334
534,299,15633
533,316,15949
532,304,16253
531,307,16560
530,326,16886
529,296,17182
528,291,17473
527,358,17831
526,325,18156
525,388,18544
524,324,18868
523,369,19237
522,359,19596
521,355,19951
520,378,20329
519,421,20750
518,386,21136
517,379,21515
516,373,21888
515,334,22222
514,420,22642
513,430,23072
512,417,23489
511,407,23896
510,454,24350
509,408,24758
508,415,25173
507,453,25626
506,458,26084
505,420,26504
504,447,26951
503,436,27387
502,454,27841
501,464,28305
500,450,28755
499,466,29221
498,462,29683
497,453,30136
496,468,30604
495,459,31063
494,493,31556
493,516,32072
492,486,32558
491,525,33083
490,489,33572
489,497,34069
488,503,34572
487,542,35114
486,503,35617
485,512,36129
484,533,36662
483,526,37188
482,548,37736
481,532,38268
480,516,38784
479,540,39324
478,601,39925
477,581,40506
476,577,41083
475,560,41643
474,583,42226
473,566,42792
472,553,43345
471,556,43901
470,596,44497
469,572,45069
468,570,45639
467,597,46236
466,599,46835
465,587,47422
464,598,48020
463,614,48634
462,568,49202
461,639,49841
460,612,50453
459,604,51057
458,650,51707
457,605,52312
456,640,52952
455,597,53549
454,654,54203
453,645,54848
452,646,55494
451,647,56141
450,698,56839
449,653,57492
448,625,58117
447,661,58778
446,695,59473
445,626,60099
444,629,60728
443,679,61407
442,726,62133
441,695,62828
440,699,63527
439,641,64168
438,689,64857
437,673,65530
436,743,66273
435,665,66938
434,744,67682
433,713,68395
432,724,69119
431,706,69825
430,768,70593
429,745,71338
428,733,72071
427,763,72834
426,729,73563
425,757,74320
424,712,75032
423,713,75745
422,767,76512
421,705,77217
420,729,77946
419,764,78710
418,749,79459
417,797,80256
416,699,80955
415,758,81713
414,809,82522
413,759,83281
412,732,84013
411,802,84815
410,749,85564
409,781,86345
408,750,87095
407,790,87885
406,806,88691
405,792,89483
404,798,90281
403,762,91043
402,817,91860
401,829,92689
400,756,93445
399,826,94271
398,794,95065
397,794,95859
396,851,96710
395,809,97519
394,783,98302
393,789,99091
392,842,99933
391,819,100752
390,842,101594
389,821,102415
388,871,103286
387,866,104152
386,875,105027
385,867,105894
384,790,106684
383,847,107531
382,862,108393
381,858,109251
380,881,110132
379,893,111025
378,847,111872
377,884,112756
376,918,113674
375,871,114545
374,921,115466
373,865,116331
372,872,117203
371,870,118073
370,892,118965
369,915,119880
368,869,120749
367,919,121668
366,901,122569
365,909,123478
364,882,124360
363,913,125273
362,947,126220
361,975,127195
360,916,128111
359,938,129049
358,957,130006
357,873,130879
356,1008,131887
355,935,132822
354,1008,133830
353,961,134791
352,998,135789
351,937,136726
350,925,137651
349,909,138560
348,982,139542
347,850,140392
346,972,141364
345,952,142316
344,939,143255
343,922,144177
342,986,145163
341,990,146153
340,905,147058
339,956,148014
338,916,148930
337,995,149925
336,899,150824
335,883,151707
334,909,152616
333,894,153510
332,885,154395
331,894,155289
330,921,156210
329,882,157092
328,895,157987
327,934,158921
326,919,159840
325,866,160706
324,891,161597
323,870,162467
322,894,163361
321,878,164239
320,868,165107
319,901,166008
318,872,166880
317,841,167721
316,818,168539
315,891,169430
314,793,170223
313,802,171025
312,812,171837
311,770,172607
310,814,173421
309,795,174216
308,747,174963
307,774,175737
306,757,176494
305,732,177226
304,740,177966
303,743,178709
302,737,179446
301,733,180179
300,715,180894
299,695,181589
298,701,182290
297,719,183009
296,667,183676
295,674,184350
294,643,184993
293,654,185647
292,683,186330
291,609,186939
290,606,187545
289,605,188150
288,638,188788
287,588,189376
286,601,189977
285,563,190540
284,563,191103
283,587,191690
282,584,192274
281,562,192836
280,584,193420
279,591,194011
278,520,194531
277,516,195047
276,543,195590
275,531,196121
274,512,196633
273,545,197178
272,507,197685
271,516,198201
270,517,198718
269,527,199245
268,548,199793
267,506,200299
266,493,200792
265,499,201291
264,514,201805
263,492,202297
262,486,202783
261,483,203266
260,547,203813
259,494,204307
258,494,204801
257,497,205298
256,486,205784
255,512,206296
254,507,206803
253,520,207323
252,480,207803
251,486,208289
250,477,208766
249,504,209270
248,521,209791
247,532,210323
246,556,210879
245,508,211387
244,577,211964
243,493,212457
242,466,212923
241,487,213410
240,526,213936
239,520,214456
238,498,214954
237,529,215483
236,564,216047
235,497,216544
234,506,217050
233,531,217581
232,529,218110
231,518,218628
230,493,219121
229,516,219637
228,521,220158
227,511,220669
226,538,221207
225,438,221645
224,506,222151
223,493,222644
222,498,223142
221,495,223637
220,500,224137
219,497,224634
218,487,225121
217,508,225629
216,466,226095
215,439,226534
214,442,226976
213,436,227412
212,439,227851
211,426,228277
210,425,228702
209,412,229114
208,447,229561
207,375,229936
206,416,230352
205,405,230757
204,400,231157
203,376,231533
202,370,231903
201,337,232240
200,366,232606
199,312,232918
198,330,233248
197,294,233542
196,316,233858
195,296,234154
194,261,234415
193,266,234681
192,278,234959
191,260,235219
190,249,235468
189,244,235712
188,211,235923
187,218,236141
186,232,236373
185,177,236550
184,217,236767
183,176,236943
182,176,237119
181,158,237277
180,186,237463
179,193,237656
178,179,237835
177,150,237985
176,157,238142
175,152,238294
174,135,238429
173,136,238565
172,125,238690
171,115,238805
170,111,238916
169,113,239029
168,88,239117
167,95,239212
166,89,239301
165,111,239412
164,95,239507
163,79,239586
162,100,239686
161,71,239757
160,63,239820
159,79,239899
158,68,239967
157,59,240026
156,64,240090
155,75,240165
154,52,240217
153,55,240272
152,51,240323
151,49,240372
150,53,240425
149,49,240474
148,41,240515
147,34,240549
146,35,240584
145,33,240617
144,43,240660
143,32,240692
142,37,240729
141,32,240761
140,33,240794
