分数,本段人数,累计人数
699,1,1
694,1,2
690,1,3
688,1,4
686,1,5
684,2,7
680,1,8
679,3,11
678,2,13
677,5,18
676,1,19
675,2,21
674,3,24
672,1,25
671,1,26
670,2,28
669,2,30
668,1,31
667,6,37
666,3,40
665,6,46
664,6,52
663,5,57
662,6,63
661,3,66
660,8,74
659,7,81
658,6,87
657,10,97
656,11,108
655,11,119
654,8,127
653,8,135
652,13,148
651,7,155
650,6,161
649,12,173
648,17,190
647,15,205
646,15,220
645,16,236
644,27,263
643,26,289
642,25,314
641,14,328
640,14,342
639,27,369
638,22,391
637,27,418
636,24,442
635,24,466
634,29,495
633,24,519
632,29,548
631,20,568
630,34,602
629,21,623
628,32,655
627,26,681
626,32,713
625,28,741
624,48,789
623,37,826
622,42,868
621,55,923
620,35,958
619,36,994
618,44,1038
617,45,1083
616,41,1124
615,57,1181
614,54,1235
613,59,1294
612,52,1346
611,65,1411
610,73,1484
609,63,1547
608,50,1597
607,72,1669
606,66,1735
605,72,1807
604,64,1871
603,71,1942
602,71,2013
601,70,2083
600,61,2144
599,68,2212
598,85,2297
597,75,2372
596,78,2450
595,79,2529
594,88,2617
593,93,2710
592,98,2808
591,110,2918
590,103,3021
589,94,3115
588,92,3207
587,109,3316
586,117,3433
585,111,3544
584,105,3649
583,105,3754
582,112,3866
581,109,3975
580,126,4101
579,130,4231
578,133,4364
577,143,4507
576,135,4642
575,129,4771
574,131,4902
573,151,5053
572,144,5197
571,157,5354
570,175,5529
569,124,5653
568,152,5805
567,139,5944
566,178,6122
565,173,6295
564,183,6478
563,168,6646
562,173,6819
561,174,6993
560,194,7187
559,225,7412
558,205,7617
557,221,7838
556,215,8053
555,215,8268
554,190,8458
553,177,8635
552,206,8841
551,200,9041
550,246,9287
549,235,9522
548,247,9769
547,254,10023
546,239,10262
545,272,10534
544,267,10801
543,282,11083
542,248,11331
541,268,11599
540,284,11883
539,291,12174
538,301,12475
537,313,12788
536,313,13101
535,312,13413
534,316,13729
533,340,14069
532,361,14430
531,346,14776
530,354,15130
529,357,15487
528,374,15861
527,362,16223
526,386,16609
525,393,17002
524,384,17386
523,366,17752
522,406,18158
521,422,18580
520,408,18988
519,440,19428
518,455,19883
517,475,20358
516,421,20779
515,441,21220
514,417,21637
513,454,22091
512,478,22569
511,414,22983
510,492,23475
509,494,23969
508,470,24439
507,501,24940
506,500,25440
505,531,25971
504,484,26455
503,517,26972
502,520,27492
501,547,28039
500,536,28575
499,514,29089
498,571,29660
497,562,30222
496,562,30784
495,568,31352
494,558,31910
493,613,32523
492,590,33113
491,560,33673
490,622,34295
489,598,34893
488,566,35459
487,586,36045
486,586,36631
485,616,37247
484,587,37834
483,622,38456
482,623,39079
481,609,39688
480,614,40302
479,663,40965
478,641,41606
477,610,42216
476,602,42818
475,606,43424
474,612,44036
473,638,44674
472,604,45278
471,601,45879
470,679,46558
469,677,47235
468,645,47880
467,603,48483
466,627,49110
465,633,49743
464,624,50367
463,655,51022
462,617,51639
461,595,52234
460,634,52868
459,648,53516
458,589,54105
457,579,54684
456,658,55342
455,634,55976
454,670,56646
453,582,57228
452,609,57837
451,621,58458
450,592,59050
449,561,59611
448,633,60244
447,632,60876
446,636,61512
445,592,62104
444,588,62692
443,609,63301
442,607,63908
441,561,64469
440,602,65071
439,623,65694
438,569,66263
437,564,66827
436,577,67404
435,567,67971
434,587,68558
433,600,69158
432,593,69751
431,592,70343
430,586,70929
429,556,71485
428,571,72056
427,573,72629
426,584,73213
425,596,73809
424,590,74399
423,584,74983
422,595,75578
421,579,76157
420,546,76703
419,555,77258
418,518,77776
417,548,78324
416,540,78864
415,518,79382
414,536,79918
413,540,80458
412,520,80978
411,541,81519
410,520,82039
409,505,82544
408,580,83124
407,525,83649
406,506,84155
405,477,84632
404,497,85129
403,495,85624
402,520,86144
401,518,86662
400,503,87165
399,480,87645
398,481,88126
397,520,88646
396,500,89146
395,519,89665
394,486,90151
393,502,90653
392,489,91142
391,450,91592
390,419,92011
