最高分,最低分,人数,累计,省级行政区,综合,年份,总分(裸分),模式
683,683,1,1,江西,文科,2023,750,3+X
678,678,1,2,江西,文科,2023,750,3+X
668,668,3,5,江西,文科,2023,750,3+X
667,667,1,6,江西,文科,2023,750,3+X
666,666,1,7,江西,文科,2023,750,3+X
665,665,1,8,江西,文科,2023,750,3+X
664,664,1,9,江西,文科,2023,750,3+X
663,663,1,10,江西,文科,2023,750,3+X
662,662,1,11,江西,文科,2023,750,3+X
661,661,1,12,江西,文科,2023,750,3+X
660,660,3,15,江西,文科,2023,750,3+X
659,659,4,19,江西,文科,2023,750,3+X
658,658,4,23,江西,文科,2023,750,3+X
657,657,2,25,江西,文科,2023,750,3+X
656,656,2,27,江西,文科,2023,750,3+X
655,655,4,31,江西,文科,2023,750,3+X
654,654,4,35,江西,文科,2023,750,3+X
653,653,3,38,江西,文科,2023,750,3+X
652,652,5,43,江西,文科,2023,750,3+X
651,651,8,51,江西,文科,2023,750,3+X
650,650,2,53,江西,文科,2023,750,3+X
649,649,10,63,江西,文科,2023,750,3+X
648,648,9,72,江西,文科,2023,750,3+X
647,647,8,80,江西,文科,2023,750,3+X
646,646,6,86,江西,文科,2023,750,3+X
645,645,7,93,江西,文科,2023,750,3+X
644,644,3,96,江西,文科,2023,750,3+X
643,643,6,102,江西,文科,2023,750,3+X
642,642,7,109,江西,文科,2023,750,3+X
641,641,13,122,江西,文科,2023,750,3+X
640,640,8,130,江西,文科,2023,750,3+X
639,639,13,143,江西,文科,2023,750,3+X
638,638,12,155,江西,文科,2023,750,3+X
637,637,15,170,江西,文科,2023,750,3+X
636,636,21,191,江西,文科,2023,750,3+X
635,635,14,205,江西,文科,2023,750,3+X
634,634,12,217,江西,文科,2023,750,3+X
633,633,16,233,江西,文科,2023,750,3+X
632,632,12,245,江西,文科,2023,750,3+X
631,631,19,264,江西,文科,2023,750,3+X
630,630,19,283,江西,文科,2023,750,3+X
629,629,18,301,江西,文科,2023,750,3+X
628,628,33,334,江西,文科,2023,750,3+X
627,627,18,352,江西,文科,2023,750,3+X
626,626,30,382,江西,文科,2023,750,3+X
625,625,33,415,江西,文科,2023,750,3+X
624,624,22,437,江西,文科,2023,750,3+X
623,623,26,463,江西,文科,2023,750,3+X
622,622,32,495,江西,文科,2023,750,3+X
621,621,28,523,江西,文科,2023,750,3+X
620,620,32,555,江西,文科,2023,750,3+X
619,619,29,584,江西,文科,2023,750,3+X
618,618,38,622,江西,文科,2023,750,3+X
617,617,40,662,江西,文科,2023,750,3+X
616,616,37,699,江西,文科,2023,750,3+X
615,615,41,740,江西,文科,2023,750,3+X
614,614,42,782,江西,文科,2023,750,3+X
613,613,42,824,江西,文科,2023,750,3+X
612,612,37,861,江西,文科,2023,750,3+X
611,611,53,914,江西,文科,2023,750,3+X
610,610,42,956,江西,文科,2023,750,3+X
609,609,40,996,江西,文科,2023,750,3+X
608,608,57,1053,江西,文科,2023,750,3+X
607,607,57,1110,江西,文科,2023,750,3+X
606,606,60,1170,江西,文科,2023,750,3+X
605,605,57,1227,江西,文科,2023,750,3+X
604,604,62,1289,江西,文科,2023,750,3+X
603,603,55,1344,江西,文科,2023,750,3+X
602,602,65,1409,江西,文科,2023,750,3+X
601,601,53,1462,江西,文科,2023,750,3+X
600,600,58,1520,江西,文科,2023,750,3+X
599,599,62,1582,江西,文科,2023,750,3+X
598,598,77,1659,江西,文科,2023,750,3+X
597,597,63,1722,江西,文科,2023,750,3+X
596,596,72,1794,江西,文科,2023,750,3+X
595,595,84,1878,江西,文科,2023,750,3+X
594,594,84,1962,江西,文科,2023,750,3+X
593,593,66,2028,江西,文科,2023,750,3+X
592,592,93,2121,江西,文科,2023,750,3+X
591,591,113,2234,江西,文科,2023,750,3+X
590,590,80,2314,江西,文科,2023,750,3+X
589,589,89,2403,江西,文科,2023,750,3+X
588,588,98,2501,江西,文科,2023,750,3+X
587,587,95,2596,江西,文科,2023,750,3+X
586,586,103,2699,江西,文科,2023,750,3+X
585,585,105,2804,江西,文科,2023,750,3+X
584,584,96,2900,江西,文科,2023,750,3+X
583,583,97,2997,江西,文科,2023,750,3+X
582,582,126,3123,江西,文科,2023,750,3+X
581,581,144,3267,江西,文科,2023,750,3+X
580,580,103,3370,江西,文科,2023,750,3+X
579,579,118,3488,江西,文科,2023,750,3+X
578,578,145,3633,江西,文科,2023,750,3+X
577,577,136,3769,江西,文科,2023,750,3+X
576,576,155,3924,江西,文科,2023,750,3+X
575,575,148,4072,江西,文科,2023,750,3+X
574,574,142,4214,江西,文科,2023,750,3+X
573,573,171,4385,江西,文科,2023,750,3+X
572,572,167,4552,江西,文科,2023,750,3+X
571,571,173,4725,江西,文科,2023,750,3+X
570,570,174,4899,江西,文科,2023,750,3+X
569,569,182,5081,江西,文科,2023,750,3+X
568,568,172,5253,江西,文科,2023,750,3+X
567,567,171,5424,江西,文科,2023,750,3+X
566,566,196,5620,江西,文科,2023,750,3+X
565,565,225,5845,江西,文科,2023,750,3+X
564,564,197,6042,江西,文科,2023,750,3+X
563,563,215,6257,江西,文科,2023,750,3+X
562,562,208,6465,江西,文科,2023,750,3+X
561,561,204,6669,江西,文科,2023,750,3+X
560,560,220,6889,江西,文科,2023,750,3+X
559,559,210,7099,江西,文科,2023,750,3+X
558,558,221,7320,江西,文科,2023,750,3+X
