分数,本段人数,累计人数
673,12,12
671,1,13
669,1,14
668,1,15
667,2,17
666,2,19
665,1,20
664,5,25
663,2,27
662,5,32
661,2,34
660,4,38
659,2,40
658,6,46
657,2,48
656,5,53
655,3,56
654,2,58
653,4,62
652,3,65
651,4,69
650,8,77
649,4,81
648,3,84
647,14,98
646,7,105
645,10,115
644,5,120
643,8,128
642,4,132
641,8,140
640,13,153
639,10,163
638,7,170
637,9,179
636,9,188
635,13,201
634,13,214
633,9,223
632,9,232
631,4,236
630,5,241
629,11,252
628,12,264
627,13,277
626,6,283
625,20,303
624,13,316
623,18,334
622,12,346
621,19,365
620,18,383
619,19,402
618,19,421
617,12,433
616,21,454
615,25,479
614,18,497
613,17,514
612,23,537
611,17,554
610,19,573
609,25,598
608,17,615
607,18,633
606,28,661
605,28,689
604,23,712
603,24,736
602,29,765
601,29,794
600,24,818
599,22,840
598,30,870
597,34,904
596,30,934
595,19,953
594,23,976
593,35,1011
592,25,1036
591,33,1069
590,38,1107
589,31,1138
588,37,1175
587,28,1203
586,45,1248
585,37,1285
584,29,1314
583,42,1356
582,37,1393
581,34,1427
580,46,1473
579,44,1517
578,54,1571
577,51,1622
576,49,1671
575,39,1710
574,46,1756
573,65,1821
572,60,1881
571,45,1926
570,53,1979
569,46,2025
568,63,2088
567,52,2140
566,63,2203
565,68,2271
564,62,2333
563,58,2391
562,77,2468
561,61,2529
560,72,2601
559,81,2682
558,76,2758
557,79,2837
556,83,2920
555,78,2998
554,72,3070
553,79,3149
552,74,3223
551,86,3309
550,76,3385
549,89,3474
548,83,3557
547,95,3652
546,102,3754
545,113,3867
544,91,3958
543,98,4056
542,118,4174
541,115,4289
540,106,4395
539,116,4511
538,152,4663
537,114,4777
536,129,4906
535,99,5005
534,115,5120
533,115,5235
532,121,5356
531,133,5489
530,161,5650
529,124,5774
528,131,5905
527,129,6034
526,169,6203
525,155,6358
524,154,6512
523,175,6687
522,150,6837
521,181,7018
520,168,7186
519,188,7374
518,151,7525
517,154,7679
516,191,7870
515,197,8067
514,191,8258
513,181,8439
512,195,8634
511,179,8813
510,178,8991
509,219,9210
508,204,9414
507,211,9625
506,226,9851
505,217,10068
504,221,10289
503,242,10531
502,233,10764
501,230,10994
500,214,11208
499,264,11472
498,225,11697
497,258,11955
496,224,12179
495,276,12455
494,256,12711
493,237,12948
492,290,13238
491,262,13500
490,261,13761
489,281,14042
488,274,14316
487,291,14607
486,299,14906
485,282,15188
484,286,15474
483,299,15773
482,274,16047
481,314,16361
480,260,16621
479,308,16929
478,329,17258
477,314,17572
476,325,17897
475,322,18219
474,297,18516
473,339,18855
472,360,19215
471,314,19529
470,329,19858
469,301,20159
468,313,20472
467,355,20827
466,308,21135
465,333,21468
464,338,21806
463,378,22184
462,355,22539
461,374,22913
460,369,23282
459,382,23664
458,352,24016
457,313,24329
456,392,24721
455,370,25091
454,362,25453
453,370,25823
452,372,26195
451,366,26561
450,379,26940
449,393,27333
448,412,27745
447,360,28105
446,350,28455
445,378,28833
444,380,29213
443,393,29606
442,349,29955
441,375,30330
440,393,30723
439,377,31100
438,392,31492
437,375,31867
436,360,32227
435,401,32628
434,367,32995
433,404,33399
432,402,33801
431,386,34187
430,394,34581
429,357,34938
428,358,35296
427,386,35682
426,365,36047
425,381,36428
424,368,36796
423,421,37217
422,359,37576
421,362,37938
420,355,38293
419,373,38666
418,346,39012
417,364,39376
416,372,39748
415,387,40135
414,360,40495
413,362,40857
412,373,41230
411,336,41566
410,348,41914
409,327,42241
408,343,42584
407,316,42900
406,360,43260
405,358,43618
404,301,43919
403,315,44234
402,328,44562
401,318,44880
400,330,45210
399,346,45556
398,306,45862
397,328,46190
396,339,46529
395,307,46836
394,273,47109
393,316,47425
392,288,47713
391,290,48003
390,318,48321
389,274,48595
388,273,48868
387,265,49133
386,277,49410
385,259,49669
384,261,49930
383,261,50191
382,279,50470
381,266,50736
380,255,50991
379,242,51233
378,254,51487
377,267,51754
376,234,51988
375,203,52191
374,226,52417
373,236,52653
372,208,52861
371,211,53072
370,218,53290
369,190,53480
368,209,53689
367,218,53907
366,196,54103
365,202,54305
364,191,54496
363,198,54694
362,184,54878
361,179,55057
360,173,55230
359,198,55428
358,162,55590
357,158,55748
356,184,55932
355,147,56079
354,181,56260
353,175,56435
352,132,56567
351,150,56717
350,138,56855
349,141,56996
348,137,57133
347,138,57271
346,131,57402
345,122,57524
344,125,57649
343,130,57779
342,127,57906
341,123,58029
340,102,58131
339,122,58253
338,89,58342
337,98,58440
336,127,58567
335,102,58669
334,93,58762
333,87,58849
332,92,58941
331,93,59034
330,100,59134
329,92,59226
328,97,59323
327,101,59424
326,83,59507
325,84,59591
324,69,59660
323,87,59747
322,58,59805
321,72,59877
320,69,59946
319,60,60006
318,62,60068
317,67,60135
316,61,60196
315,63,60259
314,57,60316
313,47,60363
312,65,60428
311,46,60474
310,58,60532
309,50,60582
308,42,60624
307,55,60679
306,45,60724
