分数,本段人数,累计人数
705,1,1
686,1,2
684,1,3
683,1,4
682,1,5
678,1,6
677,1,7
676,1,8
672,1,9
671,5,14
670,2,16
669,3,19
668,1,20
667,2,22
666,1,23
665,3,26
664,2,28
662,2,30
661,1,31
660,3,34
659,4,38
658,3,41
657,4,45
656,6,51
655,4,55
654,4,59
653,2,61
652,4,65
651,1,66
650,8,74
649,6,80
648,6,86
647,8,94
646,10,104
645,7,111
644,8,119
643,5,124
642,9,133
641,7,140
640,14,154
639,9,163
638,13,176
637,14,190
636,12,202
635,17,219
634,18,237
633,15,252
632,7,259
631,17,276
630,16,292
629,23,315
628,20,335
627,12,347
626,32,379
625,35,414
624,28,442
623,26,468
622,26,494
621,23,517
620,39,556
619,20,576
618,27,603
617,26,629
616,37,666
615,32,698
614,30,728
613,50,778
612,44,822
611,48,870
610,42,912
609,36,948
608,40,988
607,53,1041
606,51,1092
605,53,1145
604,55,1200
603,43,1243
602,67,1310
601,60,1370
600,50,1420
599,63,1483
598,68,1551
597,74,1625
596,65,1690
595,66,1756
594,92,1848
593,66,1914
592,83,1997
591,86,2083
590,88,2171
589,84,2255
588,109,2364
587,81,2445
586,101,2546
585,81,2627
584,113,2740
583,108,2848
582,120,2968
581,103,3071
580,120,3191
579,120,3311
578,132,3443
577,117,3560
576,122,3682
575,102,3784
574,156,3940
573,126,4066
572,123,4189
571,162,4351
570,145,4496
569,168,4664
568,168,4832
567,161,4993
566,172,5165
565,183,5348
564,168,5516
563,157,5673
562,173,5846
561,182,6028
560,181,6209
559,196,6405
558,176,6581
557,198,6779
556,210,6989
555,196,7185
554,207,7392
553,220,7612
552,230,7842
551,221,8063
550,227,8290
549,216,8506
548,216,8722
547,234,8956
546,225,9181
545,242,9423
544,248,9671
543,269,9940
542,263,10203
541,291,10494
540,281,10775
539,279,11054
538,288,11342
537,298,11640
536,277,11917
535,290,12207
534,291,12498
533,302,12800
532,304,13104
531,289,13393
530,316,13709
529,352,14061
528,350,14411
527,311,14722
526,318,15040
525,366,15406
524,333,15739
523,361,16100
522,368,16468
521,359,16827
520,375,17202
519,362,17564
518,423,17987
517,418,18405
516,380,18785
515,410,19195
514,412,19607
513,442,20049
512,409,20458
511,417,20875
510,419,21294
509,410,21704
508,436,22140
507,428,22568
506,477,23045
505,453,23498
504,468,23966
503,440,24406
502,448,24854
501,475,25329
500,505,25834
499,490,26324
498,486,26810
497,491,27301
496,519,27820
495,534,28354
494,507,28861
493,503,29364
492,493,29857
491,500,30357
490,509,30866
489,570,31436
488,512,31948
487,579,32527
486,552,33079
485,566,33645
484,517,34162
483,583,34745
482,537,35282
481,524,35806
480,530,36336
479,608,36944
478,618,37562
477,589,38151
476,607,38758
475,578,39336
474,621,39957
473,598,40555
472,615,41170
471,588,41758
470,602,42360
469,650,43010
468,621,43631
467,594,44225
466,571,44796
465,608,45404
464,652,46056
463,636,46692
462,621,47313
461,665,47978
460,628,48606
459,660,49266
458,625,49891
457,651,50542
456,660,51202
455,645,51847
454,662,52509
453,663,53172
452,686,53858
451,672,54530
450,670,55200
449,650,55850
448,661,56511
447,666,57177
446,697,57874
445,626,58500
444,686,59186
443,689,59875
442,656,60531
441,688,61219
440,736,61955
439,689,62644
438,643,63287
437,678,63965
436,703,64668
435,718,65386
434,700,66086
433,702,66788
432,703,67491
431,695,68186
430,716,68902
429,723,69625
428,718,70343
427,749,71092
426,691,71783
425,760,72543
424,722,73265
423,743,74008
422,689,74697
421,759,75456
420,738,76194
419,681,76875
418,664,77539
417,654,78193
416,714,78907
415,779,79686
414,791,80477
413,751,81228
412,744,81972
411,742,82714
410,745,83459
409,719,84178
408,723,84901
407,749,85650
406,818,86468
405,775,87243
404,708,87951
403,716,88667
402,691,89358
401,700,90058
400,722,90780
399,684,91464
398,724,92188
397,733,92921
396,700,93621
395,676,94297
394,659,94956
393,683,95639
392,692,96331
391,661,96992
390,705,97697
389,692,98389
388,642,99031
387,682,99713
386,660,100373
385,687,101060
384,666,101726
383,599,102325
382,664,102989
381,574,103563
380,583,104146
379,657,104803
378,608,105411
377,639,106050
376,568,106618
375,590,107208
374,580,107788
373,590,108378
372,543,108921
371,568,109489
370,587,110076
369,556,110632
368,506,111138
367,506,111644
366,523,112167
365,537,112704
364,525,113229
363,551,113780
362,513,114293
361,506,114799
360,467,115266
359,513,115779
358,466,116245
357,466,116711
356,458,117169
355,438,117607
354,473,118080
353,449,118529
352,430,118959
351,407,119366
350,352,119718
349,386,120104
348,396,120500
347,372,120872
346,363,121235
345,413,121648
344,390,122038
343,385,122423
342,358,122781
341,330,123111
340,315,123426
339,341,123767
338,307,124074
337,331,124405
336,342,124747
335,328,125075
334,294,125369
333,315,125684
332,264,125948
331,278,126226
330,282,126508
329,255,126763
328,276,127039
327,243,127282
326,297,127579
325,260,127839
324,229,128068
323,227,128295
322,235,128530
321,217,128747
320,195,128942
319,214,129156
318,193,129349
317,188,129537
316,208,129745
315,167,129912
314,148,130060
313,177,130237
312,169,130406
311,142,130548
310,157,130705
309,156,130861
308,125,130986
307,128,131114
306,136,131250
305,123,131373
304,124,131497
303,122,131619
302,112,131731
301,102,131833
300,100,131933
299,107,132040
298,112,132152
297,91,132243
296,105,132348
295,92,132440
294,74,132514
293,77,132591
292,65,132656
291,61,132717
290,61,132778
289,78,132856
288,60,132916
287,61,132977
286,64,133041
285,61,133102
284,74,133176
283,52,133228
282,45,133273
281,57,133330
280,42,133372
279,59,133431
278,49,133480
277,42,133522
276,41,133563
275,52,133615
274,39,133654
273,32,133686
272,36,133722
271,46,133768
270,31,133799
269,30,133829
268,38,133867
267,28,133895
266,26,133921
265,25,133946
264,41,133987
263,33,134020
262,32,134052
261,28,134080
260,27,134107
259,30,134137
258,25,134162
257,29,134191
256,23,134214
255,17,134231
254,15,134246
253,24,134270
252,21,134291
251,17,134308
250,21,134329
249,13,134342
248,20,134362
247,12,134374
246,18,134392
245,12,134404
244,14,134418
243,10,134428
242,15,134443
241,14,134457
240,8,134465
239,10,134475
238,11,134486
237,10,134496
236,11,134507
235,9,134516
234,5,134521
233,6,134527
232,8,134535
231,10,134545
230,9,134554
229,14,134568
228,3,134571
227,8,134579
226,6,134585
225,8,134593
224,6,134599
223,9,134608
222,6,134614
221,4,134618
220,3,134621
219,8,134629
218,4,134633
217,7,134640
216,1,134641
215,5,134646
214,5,134651
213,2,134653
212,4,134657
211,3,134660
210,5,134665
209,5,134670
208,3,134673
207,3,134676
206,1,134677
205,7,134684
204,3,134687
203,1,134688
201,4,134692
200,5,134697
199,29,134726
189,18,134744
179,22,134766
169,24,134790
159,14,134804
149,14,134818
139,10,134828
129,6,134834
119,6,134840
109,6,134846
99,3652,138498
