分数,本段人数,累计人数
710,12,12
709,1,13
708,2,15
707,1,16
706,5,21
705,6,27
704,7,34
703,6,40
702,4,44
701,3,47
700,7,54
699,8,62
698,8,70
697,10,80
696,9,89
695,11,100
694,11,111
693,11,122
692,13,135
691,16,151
690,12,163
689,11,174
688,12,186
687,16,202
686,14,216
685,24,240
684,15,255
683,16,271
682,15,286
681,26,312
680,18,330
679,26,356
678,22,378
677,30,408
676,23,431
675,28,459
674,24,483
673,28,511
672,29,540
671,32,572
670,29,601
669,22,623
668,35,658
667,31,689
666,31,720
665,34,754
664,35,789
663,36,825
662,36,861
661,37,898
660,36,934
659,42,976
658,42,1018
657,34,1052
656,45,1097
655,48,1145
654,51,1196
653,45,1241
652,47,1288
651,37,1325
650,55,1380
649,43,1423
648,53,1476
647,48,1524
646,50,1574
645,49,1623
644,49,1672
643,57,1729
642,71,1800
641,65,1865
640,47,1912
639,65,1977
638,56,2033
637,60,2093
636,74,2167
635,82,2249
634,59,2308
633,79,2387
632,68,2455
631,84,2539
630,83,2622
629,88,2710
628,78,2788
627,77,2865
626,73,2938
625,84,3022
624,83,3105
623,86,3191
622,70,3261
621,91,3352
620,75,3427
619,105,3532
618,95,3627
617,93,3720
616,100,3820
615,116,3936
614,97,4033
613,104,4137
612,100,4237
611,105,4342
610,108,4450
609,95,4545
608,123,4668
607,136,4804
606,126,4930
605,118,5048
604,114,5162
603,125,5287
602,112,5399
601,132,5531
600,132,5663
599,135,5798
598,116,5914
597,132,6046
596,145,6191
595,139,6330
594,138,6468
593,143,6611
592,161,6772
591,161,6933
590,151,7084
589,142,7226
588,142,7368
587,173,7541
586,153,7694
585,152,7846
584,168,8014
583,184,8198
582,166,8364
581,182,8546
580,167,8713
579,185,8898
578,176,9074
577,206,9280
576,183,9463
575,179,9642
574,172,9814
573,186,10000
572,203,10203
571,196,10399
570,198,10597
569,190,10787
568,225,11012
567,208,11220
566,190,11410
565,191,11601
564,214,11815
563,249,12064
562,224,12288
561,228,12516
560,220,12736
559,247,12983
558,227,13210
557,211,13421
556,238,13659
555,222,13881
554,268,14149
553,249,14398
552,238,14636
551,227,14863
550,266,15129
549,249,15378
548,256,15634
547,259,15893
546,257,16150
545,253,16403
544,243,16646
543,293,16939
542,270,17209
541,270,17479
540,287,17766
539,284,18050
538,274,18324
537,301,18625
536,288,18913
535,278,19191
534,291,19482
533,307,19789
532,344,20133
531,343,20476
530,321,20797
529,329,21126
528,339,21465
527,308,21773
526,300,22073
525,316,22389
524,294,22683
523,352,23035
522,341,23376
521,341,23717
520,350,24067
519,329,24396
518,347,24743
517,356,25099
516,344,25443
515,355,25798
514,319,26117
513,405,26522
512,356,26878
511,363,27241
510,362,27603
509,361,27964
508,373,28337
507,352,28689
506,392,29081
505,352,29433
504,406,29839
503,410,30249
502,368,30617
501,431,31048
500,411,31459
499,452,31911
498,413,32324
497,437,32761
496,438,33199
495,417,33616
494,412,34028
493,425,34453
492,452,34905
491,446,35351
490,449,35800
489,449,36249
488,497,36746
487,490,37236
486,485,37721
485,491,38212
484,487,38699
483,503,39202
482,471,39673
481,475,40148
480,534,40682
479,507,41189
478,519,41708
477,511,42219
476,510,42729
475,476,43205
474,558,43763
473,502,44265
472,548,44813
471,552,45365
470,560,45925
