分数,本段人数,累计人数
680,759,759
679,59,818
678,62,880
677,59,939
676,53,992
675,81,1073
674,52,1125
673,72,1197
672,67,1264
671,92,1356
670,78,1434
669,84,1518
668,87,1605
667,76,1681
666,103,1784
665,105,1889
664,88,1977
663,93,2070
662,82,2152
661,84,2236
660,112,2348
659,97,2445
658,123,2568
657,105,2673
656,114,2787
655,104,2891
654,127,3018
653,132,3150
652,109,3259
651,127,3386
650,123,3509
649,143,3652
648,145,3797
647,136,3933
646,145,4078
645,138,4216
644,119,4335
643,156,4491
642,148,4639
641,136,4775
640,184,4959
639,164,5123
638,167,5290
637,154,5444
636,155,5599
635,154,5753
634,195,5948
633,189,6137
632,173,6310
631,169,6479
630,153,6632
629,177,6809
628,183,6992
627,165,7157
626,183,7340
625,173,7513
624,177,7690
623,204,7894
622,191,8085
621,179,8264
620,184,8448
619,208,8656
618,196,8852
617,194,9046
616,210,9256
615,200,9456
614,215,9671
613,192,9863
612,230,10093
611,204,10297
610,210,10507
609,196,10703
608,195,10898
607,208,11106
606,217,11323
605,222,11545
604,200,11745
603,204,11949
602,242,12191
601,238,12429
600,192,12621
599,203,12824
598,204,13028
597,215,13243
596,185,13428
595,205,13633
594,204,13837
593,247,14084
592,221,14305
591,216,14521
590,212,14733
589,236,14969
588,198,15167
587,212,15379
586,210,15589
585,237,15826
584,235,16061
583,242,16303
582,223,16526
581,254,16780
580,229,17009
579,240,17249
578,254,17503
577,227,17730
576,249,17979
575,230,18209
574,234,18443
573,256,18699
572,239,18938
571,260,19198
570,249,19447
569,236,19683
568,238,19921
567,221,20142
566,269,20411
565,272,20683
564,236,20919
563,229,21148
562,227,21375
561,261,21636
560,226,21862
559,256,22118
558,279,22397
557,248,22645
556,251,22896
555,256,23152
554,271,23423
553,244,23667
552,241,23908
551,248,24156
550,266,24422
549,266,24688
548,259,24947
547,252,25199
546,228,25427
545,267,25694
544,269,25963
543,261,26224
542,253,26477
541,271,26748
540,266,27014
539,253,27267
538,245,27512
537,277,27789
536,259,28048
535,255,28303
534,245,28548
533,231,28779
532,289,29068
531,251,29319
530,263,29582
529,258,29840
528,270,30110
527,233,30343
526,271,30614
525,249,30863
524,256,31119
523,256,31375
522,235,31610
521,252,31862
520,263,32125
519,298,32423
518,252,32675
517,240,32915
516,283,33198
515,266,33464
514,240,33704
513,285,33989
512,242,34231
511,255,34486
510,248,34734
509,257,34991
508,250,35241
507,254,35495
506,244,35739
505,267,36006
504,283,36289
503,245,36534
502,261,36795
501,248,37043
500,280,37323
499,258,37581
498,260,37841
497,244,38085
496,269,38354
495,250,38604
494,292,38896
493,244,39140
492,274,39414
491,249,39663
490,259,39922
489,263,40185
488,248,40433
487,297,40730
486,250,40980
485,274,41254
484,267,41521
483,235,41756
482,255,42011
481,270,42281
480,234,42515
479,244,42759
478,256,43015
477,255,43270
476,212,43482
475,232,43714
474,259,43973
473,234,44207
472,230,44437
471,198,44635
470,271,44906
469,237,45143
468,236,45379
467,240,45619
466,257,45876
465,233,46109
464,227,46336
463,254,46590
462,258,46848
461,224,47072
460,249,47321
459,248,47569
458,244,47813
457,233,48046
456,259,48305
455,237,48542
454,251,48793
453,235,49028
452,249,49277
451,266,49543
450,220,49763
449,230,49993
448,229,50222
447,224,50446
446,235,50681
445,235,50916
444,225,51141
443,241,51382
442,222,51604
441,236,51840
440,223,52063
439,249,52312
438,205,52517
437,202,52719
436,216,52935
435,198,53133
434,236,53369
433,194,53563
432,207,53770
431,196,53966
430,196,54162
429,179,54341
428,198,54539
427,216,54755
426,194,54949
425,210,55159
424,215,55374
423,227,55601
422,207,55808
421,199,56007
420,208,56215
419,188,56403
418,187,56590
417,207,56797
416,179,56976
415,202,57178
414,210,57388
413,193,57581
412,166,57747
411,183,57930
410,205,58135
409,185,58320
408,182,58502
407,182,58684
406,180,58864
405,172,59036
404,181,59217
403,166,59383
402,154,59537
401,163,59700
400,173,59873
399,178,60051
398,160,60211
397,129,60340
396,148,60488
395,150,60638
394,151,60789
393,134,60923
392,151,61074
391,150,61224
390,130,61354
389,139,61493
388,157,61650
387,115,61765
386,134,61899
385,120,62019
384,131,62150
383,128,62278
382,113,62391
381,108,62499
380,120,62619
379,130,62749
378,126,62875
377,119,62994
376,125,63119
375,91,63210
374,108,63318
373,98,63416
372,119,63535
371,114,63649
370,116,63765
369,99,63864
368,100,63964
367,116,64080
366,96,64176
365,114,64290
364,96,64386
363,79,64465
362,98,64563
361,101,64664
360,95,64759
359,87,64846
358,83,64929
357,77,65006
356,86,65092
355,73,65165
354,86,65251
353,69,65320
352,80,65400
351,63,65463
350,78,65541
349,56,65597
348,66,65663
347,64,65727
346,63,65790
345,53,65843
344,54,65897
343,63,65960
342,60,66020
341,57,66077
340,55,66132
339,61,66193
338,59,66252
337,49,66301
336,54,66355
335,54,66409
334,47,66456
333,48,66504
332,48,66552
331,44,66596
330,40,66636
329,33,66669
328,43,66712
327,40,66752
326,51,66803
325,43,66846
324,42,66888
323,40,66928
322,52,66980
321,44,67024
320,32,67056
319,35,67091
318,33,67124
317,31,67155
316,23,67178
315,32,67210
314,31,67241
313,30,67271
312,29,67300
311,26,67326
310,30,67356
309,44,67400
308,27,67427
307,24,67451
306,34,67485
305,25,67510
304,35,67545
303,22,67567
302,18,67585
301,28,67613
300,21,67634
