分数,本段人数,累计人数
670,9,9
669,1,10
668,2,12
667,0,12
666,3,15
665,3,18
664,3,21
663,2,23
662,1,24
661,6,30
660,5,35
659,1,36
658,3,39
657,6,45
656,5,50
655,5,55
654,4,59
653,8,67
652,10,77
651,9,86
650,11,97
649,5,102
648,12,114
647,14,128
646,15,143
645,14,157
644,19,176
643,13,189
642,14,203
641,11,214
640,13,227
639,18,245
638,25,270
637,23,293
636,24,317
635,21,338
634,27,365
633,28,393
632,27,420
631,17,437
630,26,463
629,33,496
628,37,533
627,38,571
626,43,614
625,41,655
624,43,698
623,49,747
622,32,779
621,37,816
620,39,855
619,53,908
618,52,960
617,42,1002
616,59,1061
615,50,1111
614,53,1164
613,60,1224
612,61,1285
611,63,1348
610,52,1400
609,73,1473
608,60,1533
607,69,1602
606,93,1695
605,78,1773
604,80,1853
603,77,1930
602,72,2002
601,80,2082
600,94,2176
599,83,2259
598,92,2351
597,86,2437
596,105,2542
595,101,2643
594,97,2740
593,104,2844
592,107,2951
591,92,3043
590,118,3161
589,118,3279
588,116,3395
587,113,3508
586,108,3616
585,132,3748
584,136,3884
583,128,4012
582,108,4120
581,112,4232
580,129,4361
579,142,4503
578,149,4652
577,137,4789
576,134,4923
575,136,5059
574,134,5193
573,139,5332
572,162,5494
571,150,5644
570,153,5797
569,176,5973
568,186,6159
567,165,6324
566,165,6489
565,154,6643
564,173,6816
563,179,6995
562,153,7148
561,174,7322
560,186,7508
559,185,7693
558,178,7871
557,196,8067
556,173,8240
555,181,8421
554,197,8618
553,173,8791
552,209,9000
551,214,9214
550,212,9426
549,212,9638
548,180,9818
547,187,10005
546,224,10229
545,207,10436
544,234,10670
543,256,10926
542,228,11154
541,203,11357
540,205,11562
539,221,11783
538,225,12008
537,222,12230
536,246,12476
535,238,12714
534,231,12945
533,248,13193
532,225,13418
531,228,13646
530,236,13882
529,280,14162
528,269,14431
527,235,14666
526,251,14917
525,261,15178
524,283,15461
523,257,15718
522,267,15985
521,260,16245
520,241,16486
519,252,16738
518,264,17002
517,259,17261
516,233,17494
515,269,17763
514,250,18013
513,261,18274
512,276,18550
511,264,18814
510,268,19082
509,274,19356
508,274,19630
507,281,19911
506,289,20200
505,299,20499
504,288,20787
503,311,21098
502,269,21367
501,279,21646
500,309,21955
499,298,22253
498,273,22526
497,322,22848
496,265,23113
495,300,23413
494,311,23724
493,304,24028
492,300,24328
491,286,24614
490,309,24923
489,308,25231
488,285,25516
487,299,25815
486,289,26104
485,339,26443
484,290,26733
483,297,27030
482,340,27370
481,305,27675
480,325,28000
479,328,28328
478,326,28654
477,346,29000
476,295,29295
475,340,29635
474,316,29951
473,328,30279
472,360,30639
471,366,31005
470,321,31326
469,325,31651
468,373,32024
467,325,32349
466,321,32670
465,351,33021
464,334,33355
463,371,33726
462,372,34098
461,332,34430
460,329,34759
459,361,35120
458,349,35469
457,355,35824
456,345,36169
455,376,36545
454,364,36909
453,375,37284
452,383,37667
451,352,38019
450,398,38417
449,349,38766
448,361,39127
447,382,39509
446,341,39850
445,384,40234
444,383,40617
443,406,41023
442,386,41409
441,399,41808
440,364,42172
439,373,42545
438,398,42943
437,390,43333
436,378,43711
435,368,44079
434,388,44467
433,360,44827
432,398,45225
431,396,45621
430,402,46023
429,389,46412
428,391,46803
427,388,47191
426,410,47601
425,410,48011
424,368,48379
423,383,48762
422,407,49169
421,381,49550
420,401,49951
419,421,50372
418,422,50794
417,431,51225
416,403,51628
415,394,52022
414,379,52401
413,418,52819
412,440,53259
411,401,53660
410,406,54066
409,431,54497
408,426,54923
407,424,55347
406,396,55743
405,428,56171
404,412,56583
403,457,57040
402,443,57483
401,421,57904
400,417,58321
399,437,58758
398,468,59226
397,448,59674
396,437,60111
395,442,60553
394,422,60975
393,482,61457
392,456,61913
391,457,62370
390,456,62826
389,436,63262
388,461,63723
387,488,64211
386,495,64706
385,402,65108
384,482,65590
383,428,66018
382,422,66440
381,448,66888
380,470,67358
379,465,67823
378,422,68245
377,476,68721
376,474,69195
375,433,69628
374,469,70097
373,464,70561
372,450,71011
