score,count,cumulative
700,1,1
692,1,2
688,3,5
686,2,7
684,1,8
682,1,9
680,1,10
679,1,11
678,1,12
676,2,14
675,2,16
674,2,18
673,3,21
672,4,25
671,2,27
669,6,33
668,9,42
667,10,52
666,9,61
665,6,67
664,6,73
663,7,80
662,9,89
661,13,102
660,6,108
659,17,125
658,18,143
657,16,159
656,15,174
655,11,185
654,24,209
653,12,221
652,21,242
651,26,268
650,17,285
649,18,303
648,24,327
647,26,353
646,35,388
645,24,412
644,34,446
643,37,483
642,33,516
641,45,561
640,43,604
639,33,637
638,36,673
637,40,713
636,39,752
635,36,788
634,40,828
633,45,873
632,49,922
631,72,994
630,56,1050
629,38,1088
628,55,1143
627,52,1195
626,64,1259
625,59,1318
624,57,1375
623,76,1451
622,63,1514
621,86,1600
620,84,1684
619,70,1754
618,66,1820
617,72,1892
616,81,1973
615,84,2057
614,78,2135
613,77,2212
612,96,2308
611,84,2392
610,101,2493
609,87,2580
608,113,2693
607,102,2795
606,113,2908
605,104,3012
604,118,3130
603,124,3254
602,106,3360
601,123,3483
600,143,3626
599,130,3756
598,120,3876
597,120,3996
596,123,4119
595,131,4250
594,146,4396
593,122,4518
592,136,4654
591,142,4796
590,143,4939
589,131,5070
588,130,5200
587,131,5331
586,168,5499
585,157,5656
584,148,5804
583,165,5969
582,180,6149
581,182,6331
580,151,6482
579,189,6671
578,174,6845
577,167,7012
576,169,7181
575,164,7345
574,169,7514
573,177,7691
572,175,7866
571,188,8054
570,197,8251
569,202,8453
568,202,8655
567,197,8852
566,190,9042
565,221,9263
564,214,9477
563,215,9692
562,227,9919
561,209,10128
560,248,10376
559,228,10604
558,245,10849
557,222,11071
556,238,11309
555,244,11553
554,269,11822
553,232,12054
552,247,12301
551,264,12565
550,278,12843
549,259,13102
548,255,13357
547,239,13596
546,263,13859
545,303,14162
544,243,14405
543,268,14673
542,284,14957
541,305,15262
540,294,15556
539,298,15854
538,290,16144
537,288,16432
536,267,16699
535,325,17024
534,329,17353
533,296,17649
532,302,17951
531,332,18283
530,340,18623
529,382,19005
528,293,19298
527,323,19621
526,326,19947
525,327,20274
524,357,20631
523,305,20936
522,363,21299
521,374,21673
520,376,22049
519,355,22404
518,383,22787
517,372,23159
516,386,23545
515,384,23929
514,362,24291
513,375,24666
512,369,25035
511,340,25375
510,420,25795
509,379,26174
508,372,26546
507,380,26926
506,387,27313
505,400,27713
504,419,28132
503,369,28501
502,388,28889
501,389,29278
500,372,29650
499,389,30039
498,391,30430
497,364,30794
496,404,31198
495,424,31622
494,395,32017
493,384,32401
492,421,32822
491,391,33213
490,398,33611
489,411,34022
488,396,34418
487,443,34861
486,404,35265
485,438,35703
484,450,36153
483,385,36538
482,466,37004
481,409,37413
480,381,37794
479,467,38261
478,426,38687
477,399,39086
476,400,39486
475,440,39926
474,421,40347
473,428,40775
472,412,41187
471,436,41623
470,474,42097
469,408,42505
468,421,42926
467,429,43355
466,437,43792
465,400,44192
464,437,44629
463,448,45077
462,451,45528
461,438,45966
460,455,46421
459,432,46853
458,470,47323
457,419,47742
456,460,48202
455,448,48650
454,424,49074
453,444,49518
452,415,49933
451,454,50387
450,451,50838
449,461,51299
448,484,51783
447,427,52210
446,502,52712
445,503,53215
444,472,53687
443,467,54154
442,471,54625
441,488,55113
440,477,55590
439,499,56089
438,452,56541
437,457,56998
436,467,57465
435,504,57969
434,458,58427
433,449,58876
432,530,59406
431,479,59885
430,456,60341
429,448,60789
428,460,61249
427,444,61693
426,497,62190
425,512,62702
424,501,63203
423,466,63669
422,525,64194
421,476,64670
420,504,65174
419,477,65651
418,518,66169
417,524,66693
416,484,67177
415,479,67656
414,554,68210
413,500,68710
412,507,69217
411,529,69746
410,468,70214
409,537,70751
408,492,71243
407,521,71764
406,474,72238
405,531,72769
404,498,73267
403,508,73775
402,556,74331
401,540,74871
400,523,75394
399,501,75895
398,533,76428
397,542,76970
396,515,77485
395,500,77985
394,531,78516
393,468,78984
392,510,79494
391,517,80011
390,493,80504
389,506,81010
388,507,81517
387,505,82022
386,475,82497
385,503,83000
384,521,83521
383,484,84005
382,530,84535
381,466,85001
380,465,85466
379,480,85946
378,472,86418
377,488,86906
376,508,87414
375,496,87910
374,485,88395
373,464,88859
372,437,89296
371,489,89785
370,475,90260
369,440,90700
368,468,91168
367,451,91619
366,465,92084
365,457,92541
364,482,93023
363,451,93474
362,453,93927
361,451,94378
360,428,94806
359,475,95281
358,452,95733
357,472,96205
356,411,96616
355,409,97025
354,409,97434
353,418,97852
352,423,98275
351,425,98700
350,435,99135
349,422,99557
348,383,99940
347,447,100387
346,387,100774
345,376,101150
344,394,101544
343,368,101912
342,385,102297
341,376,102673
340,373,103046
339,391,103437
338,402,103839
337,335,104174
336,394,104568
335,324,104892
334,360,105252
333,351,105603
332,375,105978
331,321,106299
330,364,106663
329,344,107007
328,328,107335
327,377,107712
326,306,108018
325,315,108333
324,331,108664
323,329,108993
322,348,109341
321,303,109644
320,349,109993
319,276,110269
318,309,110578
317,297,110875
316,323,111198
315,317,111515
314,307,111822
313,295,112117
312,289,112406
311,267,112673
310,281,112954
309,250,113204
308,272,113476
307,294,113770
306,291,114061
305,285,114346
304,273,114619
303,268,114887
302,273,115160
301,269,115429
300,243,115672
299,285,115957
298,267,116224
297,281,116505
296,271,116776
295,259,117035
294,308,117343
293,268,117611
292,269,117880
291,259,118139
290,254,118393
289,263,118656
288,249,118905
287,252,119157
286,236,119393
285,273,119666
284,252,119918
283,265,120183
282,268,120451
281,224,120675
280,255,120930
279,232,121162
278,267,121429
277,272,121701
276,261,121962
275,217,122179
274,252,122431
273,263,122694
272,261,122955
271,264,123219
270,269,123488
269,254,123742
268,230,123972
267,237,124209
266,248,124457
265,243,124700
264,245,124945
263,248,125193
262,234,125427
261,245,125672
260,238,125910
259,224,126134
258,231,126365
257,216,126581
256,262,126843
255,223,127066
254,250,127316
253,195,127511
252,205,127716
251,240,127956
250,192,128148
