分数,本段人数,累计人数
670,1,21
668,2,23
667,3,26
666,4,30
665,6,36
663,5,41
662,2,43
661,2,45
660,2,47
659,1,48
658,9,57
657,5,62
656,2,64
655,7,71
654,7,78
653,6,84
652,3,87
651,6,93
650,3,96
649,4,100
648,10,110
647,5,115
646,7,122
645,5,127
644,8,135
643,14,149
642,14,163
641,12,175
640,14,189
639,7,196
638,13,209
637,13,222
636,17,239
635,17,256
634,10,266
633,12,278
632,20,298
631,22,320
630,19,339
629,16,355
628,22,377
627,19,396
626,21,417
625,18,435
624,25,460
623,28,488
622,27,515
621,31,546
620,33,579
619,31,610
618,28,638
617,34,672
616,29,701
615,32,733
614,24,757
613,43,800
612,38,838
611,35,873
610,51,924
609,52,976
608,53,1029
607,44,1073
606,50,1123
605,33,1156
604,50,1206
603,36,1242
602,55,1297
601,45,1342
600,54,1396
599,50,1446
598,50,1496
597,42,1538
596,58,1596
595,66,1662
594,54,1716
593,65,1781
592,73,1854
591,75,1929
590,69,1998
589,59,2057
588,68,2125
587,71,2196
586,89,2285
585,90,2375
584,76,2451
583,90,2541
582,94,2635
581,74,2709
580,74,2783
579,99,2882
578,98,2980
577,88,3068
576,96,3164
575,99,3263
574,90,3353
573,94,3447
572,123,3570
571,92,3662
570,108,3770
569,94,3864
568,120,3984
567,111,4095
566,116,4211
565,100,4311
564,125,4436
563,130,4566
562,137,4703
561,133,4836
560,141,4977
559,124,5101
558,136,5237
557,154,5391
556,135,5526
555,140,5666
554,150,5816
553,110,5926
552,158,6084
551,150,6234
550,165,6399
549,143,6542
548,151,6693
547,166,6859
546,142,7001
545,165,7166
544,180,7346
543,139,7485
542,148,7633
541,194,7827
540,174,8001
539,157,8158
538,164,8322
537,176,8498
536,174,8672
535,190,8862
534,183,9045
533,216,9261
532,191,9452
531,215,9667
530,190,9857
529,203,10060
528,199,10259
527,201,10460
526,172,10632
525,172,10804
524,181,10985
523,196,11181
522,203,11384
521,200,11584
520,227,11811
519,208,12019
518,188,12207
517,200,12407
516,202,12609
515,213,12822
514,218,13040
513,237,13277
512,210,13487
511,235,13722
510,246,13968
509,233,14201
508,202,14403
507,238,14641
506,226,14867
505,226,15093
504,237,15330
503,263,15593
502,231,15824
501,255,16079
500,239,16318
499,264,16582
498,262,16844
497,210,17054
496,242,17296
495,253,17549
494,268,17817
493,293,18110
492,245,18355
491,263,18618
490,286,18904
489,267,19171
488,275,19446
487,268,19714
486,277,19991
485,263,20254
484,277,20531
483,265,20796
482,270,21066
481,293,21359
480,307,21666
479,277,21943
478,305,22248
477,284,22532
476,287,22819
475,288,23107
474,292,23399
473,314,23713
472,320,24033
471,307,24340
470,325,24665
469,317,24982
468,335,25317
467,319,25636
466,304,25940
465,296,26236
464,322,26558
463,306,26864
462,313,27177
461,349,27526
460,349,27875
459,359,28234
458,339,28573
457,354,28927
456,349,29276
455,338,29614
454,364,29978
453,375,30353
452,334,30687
451,369,31056
450,352,31408
449,349,31757
448,370,32127
447,378,32505
446,367,32872
445,362,33234
444,417,33651
443,402,34053
442,367,34420
441,350,34770
440,355,35125
439,341,35466
438,400,35866
437,416,36282
436,365,36647
435,391,37038
434,418,37456
433,417,37873
432,392,38265
431,369,38634
430,406,39040
429,418,39458
428,364,39822
427,394,40216
426,430,40646
425,438,41084
424,424,41508
423,421,41929
422,474,42403
421,474,42877
420,411,43288
419,436,43724
418,457,44181
417,488,44669
416,456,45125
415,448,45573
414,426,45999
413,451,46450
412,458,46908
411,457,47365
410,478,47843
409,462,48305
408,453,48758
407,501,49259
406,470,49729
405,467,50196
404,495,50691
403,503,51194
402,479,51673
401,465,52138
400,502,52640
399,516,53156
398,523,53679
397,521,54200
