分数,本段人数,累计人数
643,103,103
642,8,111
641,9,120
640,7,127
639,5,132
638,10,142
637,13,155
636,9,164
635,14,178
634,9,187
633,11,198
632,5,203
631,15,218
630,18,236
629,12,248
628,14,262
627,14,276
626,16,292
625,20,312
624,18,330
623,13,343
622,11,354
621,14,368
620,18,386
619,15,401
618,21,422
617,21,443
616,21,464
615,19,483
614,22,505
613,22,527
612,25,552
611,24,576
610,30,606
609,24,630
608,23,653
607,25,678
606,31,709
605,24,733
604,19,752
603,21,773
602,30,803
601,16,819
600,28,847
599,33,880
598,26,906
597,37,943
596,32,975
595,19,994
594,33,1027
593,23,1050
592,34,1084
591,29,1113
590,43,1156
589,35,1191
588,37,1228
587,33,1261
586,31,1292
585,44,1336
584,34,1370
583,41,1411
582,36,1447
581,46,1493
580,43,1536
579,54,1590
578,51,1641
577,44,1685
576,64,1749
575,53,1802
574,41,1843
573,44,1887
572,42,1929
571,53,1982
570,48,2030
569,53,2083
568,55,2138
567,39,2177
566,50,2227
565,65,2292
564,55,2347
563,60,2407
562,62,2469
561,62,2531
560,48,2579
559,61,2640
558,49,2689
557,56,2745
556,60,2805
555,52,2857
554,70,2927
553,65,2992
552,47,3039
551,77,3116
550,60,3176
549,81,3257
548,59,3316
547,78,3394
546,79,3473
545,62,3535
544,65,3600
543,72,3672
542,73,3745
541,60,3805
540,65,3870
539,71,3941
538,85,4026
537,67,4093
536,68,4161
535,63,4224
534,59,4283
533,77,4360
532,99,4459
531,77,4536
530,72,4608
529,71,4679
528,77,4756
527,83,4839
526,85,4924
525,73,4997
524,86,5083
523,100,5183
522,84,5267
521,81,5348
520,75,5423
519,89,5512
518,74,5586
517,93,5679
516,67,5746
515,81,5827
514,95,5922
513,81,6003
512,89,6092
511,85,6177
510,107,6284
509,87,6371
508,89,6460
507,78,6538
506,97,6635
505,101,6736
504,107,6843
503,94,6937
502,112,7049
501,96,7145
500,105,7250
499,95,7345
498,109,7454
497,103,7557
496,89,7646
495,113,7759
494,90,7849
493,97,7946
492,87,8033
491,99,8132
490,101,8233
489,110,8343
488,91,8434
487,120,8554
486,98,8652
485,107,8759
484,101,8860
483,99,8959
482,109,9068
481,119,9187
480,110,9297
479,105,9402
478,114,9516
477,117,9633
476,89,9722
475,98,9820
474,105,9925
473,127,10052
472,129,10181
471,117,10298
470,120,10418
469,112,10530
468,115,10645
467,118,10763
466,131,10894
465,99,10993
464,110,11103
463,135,11238
462,95,11333
461,117,11450
460,126,11576
459,110,11686
458,123,11809
457,105,11914
456,145,12059
455,113,12172
454,121,12293
453,133,12426
452,103,12529
451,110,12639
450,124,12763
449,145,12908
448,118,13026
447,105,13131
446,126,13257
445,115,13372
444,110,13482
443,127,13609
442,126,13735
441,116,13851
440,106,13957
439,136,14093
438,107,14200
437,120,14320
436,125,14445
435,121,14566
434,131,14697
433,142,14839
432,125,14964
431,122,15086
430,109,15195
429,112,15307
428,135,15442
427,126,15568
426,110,15678
425,146,15824
424,129,15953
423,162,16115
422,124,16239
421,118,16357
420,104,16461
419,133,16594
418,118,16712
417,110,16822
416,128,16950
415,110,17060
414,137,17197
413,125,17322
412,132,17454
411,115,17569
410,125,17694
409,124,17818
408,127,17945
407,104,18049
406,130,18179
405,109,18288
404,123,18411
403,128,18539
402,112,18651
401,135,18786
400,117,18903
399,116,19019
398,127,19146
397,137,19283
396,115,19398
395,106,19504
394,128,19632
393,150,19782
392,115,19897
391,123,20020
390,117,20137
389,122,20259
388,112,20371
387,124,20495
386,127,20622
385,120,20742
384,135,20877
383,114,20991
382,133,21124
381,114,21238
380,111,21349
379,131,21480
378,122,21602
377,108,21710
376,104,21814
375,125,21939
374,128,22067
373,113,22180
372,150,22330
371,102,22432
370,94,22526
369,93,22619
368,147,22766
367,97,22863
366,94,22957
365,128,23085
364,105,23190
363,129,23319
362,98,23417
361,114,23531
360,104,23635
359,109,23744
358,112,23856
357,113,23969
356,101,24070
355,125,24195
354,101,24296
353,90,24386
352,108,24494
351,107,24601
350,117,24718
349,102,24820
348,94,24914
347,114,25028
346,87,25115
345,94,25209
344,111,25320
343,93,25413
342,111,25524
341,97,25621
340,84,25705
339,104,25809
338,110,25919
337,95,26014
336,88,26102
335,80,26182
334,92,26274
333,80,26354
332,84,26438
331,81,26519
330,86,26605
329,95,26700
328,75,26775
327,79,26854
326,68,26922
325,74,26996
324,79,27075
323,76,27151
322,65,27216
321,76,27292
320,61,27353
319,78,27431
318,67,27498
317,69,27567
316,73,27640
315,71,27711
314,49,27760
313,62,27822
312,64,27886
311,64,27950
310,65,28015
309,56,28071
308,59,28130
307,48,28178
306,50,28228
305,52,28280
304,43,28323
303,60,28383
302,58,28441
301,52,28493
300,51,28544
299,42,28586
298,43,28629
297,38,28667
296,50,28717
295,40,28757
294,43,28800
293,38,28838
292,29,28867
291,33,28900
290,44,28944
289,43,28987
288,42,29029
287,39,29068
286,33,29101
285,36,29137
284,28,29165
283,40,29205
282,39,29244
281,23,29267
280,32,29299
279,34,29333
278,30,29363
277,32,29395
276,34,29429
275,20,29449
274,25,29474
273,34,29508
272,28,29536
271,24,29560
270,28,29588
269,21,29609
268,25,29634
267,24,29658
266,30,29688
265,24,29712
264,22,29734
263,28,29762
262,33,29795
261,30,29825
260,18,29843
259,32,29875
258,23,29898
257,25,29923
256,20,29943
255,21,29964
254,24,29988
253,21,30009
252,20,30029
251,20,30049
250,11,30060
249,14,30074
248,15,30089
247,22,30111
246,19,30130
245,19,30149
244,11,30160
243,16,30176
242,15,30191
241,12,30203
240,17,30220
239,20,30240
238,14,30254
237,14,30268
236,19,30287
235,11,30298
234,19,30317
233,12,30329
232,13,30342
231,15,30357
230,11,30368
229,10,30378
228,22,30400
227,19,30419
226,6,30425
225,11,30436
224,10,30446
223,20,30466
222,13,30479
221,12,30491
220,9,30500
219,16,30516
218,7,30523
217,12,30535
216,15,30550
215,7,30557
214,7,30564
213,13,30577
212,8,30585
211,9,30594
210,11,30605
209,10,30615
208,13,30628
207,8,30636
206,12,30648
