分数,本段人数,累计人数
620,52,52
619,3,55
618,4,59
617,3,62
616,6,68
615,2,70
614,4,74
613,8,82
612,5,87
611,8,95
610,0,95
609,3,98
608,11,109
607,6,115
606,5,120
605,7,127
604,4,131
603,10,141
602,7,148
601,8,156
600,3,159
599,6,165
598,15,180
597,6,186
596,10,196
595,7,203
594,8,211
593,9,220
592,13,233
591,9,242
590,12,254
589,13,267
588,7,274
587,17,291
586,12,303
585,15,318
584,17,335
583,19,354
582,15,369
581,12,381
580,8,389
579,13,402
578,21,423
577,14,437
576,12,449
575,25,474
574,18,492
573,12,504
572,20,524
571,16,540
570,20,560
569,23,583
568,27,610
567,16,626
566,19,645
565,18,663
564,23,686
563,17,703
562,21,724
561,12,736
560,14,750
559,35,785
558,22,807
557,22,829
556,25,854
555,26,880
554,25,905
553,16,921
552,29,950
551,24,974
550,25,999
549,24,1023
548,35,1058
547,34,1092
546,36,1128
545,20,1148
544,28,1176
543,40,1216
542,36,1252
541,33,1285
540,33,1318
539,27,1345
538,34,1379
537,40,1419
536,39,1458
535,35,1493
534,30,1523
533,41,1564
532,34,1598
531,32,1630
530,46,1676
529,34,1710
528,42,1752
527,41,1793
526,38,1831
525,36,1867
524,44,1911
523,45,1956
522,53,2009
521,42,2051
520,39,2090
519,54,2144
518,52,2196
517,46,2242
516,67,2309
515,49,2358
514,34,2392
513,50,2442
512,50,2492
511,61,2553
510,59,2612
509,57,2669
508,59,2728
507,64,2792
506,62,2854
505,52,2906
504,67,2973
503,54,3027
502,54,3081
501,57,3138
500,56,3194
499,62,3256
498,51,3307
497,76,3383
496,68,3451
495,53,3504
494,67,3571
493,66,3637
492,82,3719
491,62,3781
490,78,3859
489,81,3940
488,58,3998
487,61,4059
486,88,4147
485,78,4225
484,70,4295
483,65,4360
482,69,4429
481,74,4503
480,90,4593
479,78,4671
478,81,4752
477,69,4821
476,82,4903
475,72,4975
474,70,5045
473,86,5131
472,77,5208
471,67,5275
470,75,5350
469,78,5428
468,94,5522
467,95,5617
466,91,5708
465,78,5786
464,106,5892
463,96,5988
462,95,6083
461,97,6180
460,102,6282
459,96,6378
458,82,6460
457,84,6544
456,96,6640
455,97,6737
454,100,6837
453,98,6935
452,100,7035
451,99,7134
450,88,7222
449,106,7328
448,91,7419
447,93,7512
446,84,7596
445,92,7688
444,97,7785
443,110,7895
442,102,7997
441,102,8099
440,88,8187
439,110,8297
438,90,8387
437,86,8473
436,98,8571
435,90,8661
434,91,8752
433,93,8845
432,97,8942
431,116,9058
430,103,9161
429,105,9266
428,112,9378
427,105,9483
426,115,9598
425,90,9688
424,91,9779
423,99,9878
422,95,9973
421,113,10086
420,111,10197
419,111,10308
418,106,10414
417,111,10525
416,108,10633
415,113,10746
414,99,10845
413,107,10952
412,96,11048
411,113,11161
