score,count,cumulative,source
655,1,1,gankaosheng.com/line/5e559683.html
645,1,2,gankaosheng.com/line/5e559683.html
639,1,3,gankaosheng.com/line/5e559683.html
635,4,7,gankaosheng.com/line/5e559683.html
631,2,9,gankaosheng.com/line/5e559683.html
628,2,11,gankaosheng.com/line/5e559683.html
625,2,13,gankaosheng.com/line/5e559683.html
624,2,15,gankaosheng.com/line/5e559683.html
622,8,23,gankaosheng.com/line/5e559683.html
621,3,26,gankaosheng.com/line/5e559683.html
619,2,28,gankaosheng.com/line/5e559683.html
616,4,32,gankaosheng.com/line/5e559683.html
613,1,33,gankaosheng.com/line/5e559683.html
612,3,36,gankaosheng.com/line/5e559683.html
611,1,37,gankaosheng.com/line/5e559683.html
610,1,38,gankaosheng.com/line/5e559683.html
609,3,41,gankaosheng.com/line/5e559683.html
608,1,42,gankaosheng.com/line/5e559683.html
604,1,43,gankaosheng.com/line/5e559683.html
602,2,45,gankaosheng.com/line/5e559683.html
601,1,46,gankaosheng.com/line/5e559683.html
600,4,50,gankaosheng.com/line/5e559683.html
599,4,54,gankaosheng.com/line/5e559683.html
597,7,61,gankaosheng.com/line/5e559683.html
596,2,63,gankaosheng.com/line/5e559683.html
595,2,65,gankaosheng.com/line/5e559683.html
593,12,77,gankaosheng.com/line/5e559683.html
592,4,81,gankaosheng.com/line/5e559683.html
591,2,83,gankaosheng.com/line/5e559683.html
590,6,89,gankaosheng.com/line/5e559683.html
589,3,92,gankaosheng.com/line/5e559683.html
588,4,96,gankaosheng.com/line/5e559683.html
587,3,99,gankaosheng.com/line/5e559683.html
586,1,100,gankaosheng.com/line/5e559683.html
585,1,101,gankaosheng.com/line/5e559683.html
584,2,103,gankaosheng.com/line/5e559683.html
583,6,109,gankaosheng.com/line/5e559683.html
582,2,111,gankaosheng.com/line/5e559683.html
581,6,117,gankaosheng.com/line/5e559683.html
580,2,119,gankaosheng.com/line/5e559683.html
579,2,121,gankaosheng.com/line/5e559683.html
578,4,125,gankaosheng.com/line/5e559683.html
577,3,128,gankaosheng.com/line/5e559683.html
576,3,131,gankaosheng.com/line/5e559683.html
575,16,147,gankaosheng.com/line/5e559683.html
574,20,167,gankaosheng.com/line/5e559683.html
573,5,172,gankaosheng.com/line/5e559683.html
572,4,176,gankaosheng.com/line/5e559683.html
571,6,182,gankaosheng.com/line/5e559683.html
570,8,190,gankaosheng.com/line/5e559683.html
569,4,194,gankaosheng.com/line/5e559683.html
568,8,202,gankaosheng.com/line/5e559683.html
567,8,210,gankaosheng.com/line/5e559683.html
566,8,218,gankaosheng.com/line/5e559683.html
565,8,226,gankaosheng.com/line/5e559683.html
564,13,239,gankaosheng.com/line/5e559683.html
563,4,243,gankaosheng.com/line/5e559683.html
562,12,255,gankaosheng.com/line/5e559683.html
561,4,259,gankaosheng.com/line/5e559683.html
560,4,263,gankaosheng.com/line/5e559683.html
559,11,274,gankaosheng.com/line/5e559683.html
558,7,281,gankaosheng.com/line/5e559683.html
557,9,290,gankaosheng.com/line/5e559683.html
556,11,301,gankaosheng.com/line/5e559683.html
555,26,327,gankaosheng.com/line/5e559683.html
554,11,338,gankaosheng.com/line/5e559683.html
553,14,352,gankaosheng.com/line/5e559683.html
552,3,355,gankaosheng.com/line/5e559683.html
551,14,369,gankaosheng.com/line/5e559683.html
550,6,375,gankaosheng.com/line/5e559683.html
549,16,391,gankaosheng.com/line/5e559683.html
548,17,408,gankaosheng.com/line/5e559683.html
547,13,421,gankaosheng.com/line/5e559683.html
546,18,439,gankaosheng.com/line/5e559683.html
545,9,448,gankaosheng.com/line/5e559683.html
544,12,460,gankaosheng.com/line/5e559683.html
543,13,473,gankaosheng.com/line/5e559683.html
542,6,479,gankaosheng.com/line/5e559683.html
541,7,486,gankaosheng.com/line/5e559683.html
540,12,498,gankaosheng.com/line/5e559683.html
539,25,523,gankaosheng.com/line/5e559683.html
538,12,535,gankaosheng.com/line/5e559683.html
537,10,545,gankaosheng.com/line/5e559683.html
536,18,563,gankaosheng.com/line/5e559683.html
535,20,583,gankaosheng.com/line/5e559683.html
534,23,606,gankaosheng.com/line/5e559683.html
533,10,616,gankaosheng.com/line/5e559683.html
532,12,628,gankaosheng.com/line/5e559683.html
531,29,657,gankaosheng.com/line/5e559683.html
530,15,672,gankaosheng.com/line/5e559683.html
529,23,695,gankaosheng.com/line/5e559683.html
528,12,707,gankaosheng.com/line/5e559683.html
527,20,727,gankaosheng.com/line/5e559683.html
526,14,741,gankaosheng.com/line/5e559683.html
525,19,760,gankaosheng.com/line/5e559683.html
524,14,774,gankaosheng.com/line/5e559683.html
523,5,779,gankaosheng.com/line/5e559683.html
522,24,803,gankaosheng.com/line/5e559683.html
521,13,816,gankaosheng.com/line/5e559683.html
520,10,826,gankaosheng.com/line/5e559683.html
519,26,852,gankaosheng.com/line/5e559683.html
518,14,866,gankaosheng.com/line/5e559683.html
517,15,881,gankaosheng.com/line/5e559683.html
516,39,920,gankaosheng.com/line/5e559683.html
515,7,927,gankaosheng.com/line/5e559683.html
514,24,951,gankaosheng.com/line/5e559683.html
513,17,968,gankaosheng.com/line/5e559683.html
512,9,977,gankaosheng.com/line/5e559683.html
511,16,993,gankaosheng.com/line/5e559683.html
510,30,1023,gankaosheng.com/line/5e559683.html
509,25,1048,gankaosheng.com/line/5e559683.html
508,10,1058,gankaosheng.com/line/5e559683.html
507,25,1083,gankaosheng.com/line/5e559683.html
506,43,1126,gankaosheng.com/line/5e559683.html
505,17,1143,gankaosheng.com/line/5e559683.html
504,35,1178,gankaosheng.com/line/5e559683.html
503,6,1184,gankaosheng.com/line/5e559683.html
502,31,1215,gankaosheng.com/line/5e559683.html
501,32,1247,gankaosheng.com/line/5e559683.html
500,8,1255,gankaosheng.com/line/5e559683.html
499,25,1280,gankaosheng.com/line/5e559683.html
498,16,1296,gankaosheng.com/line/5e559683.html
497,28,1324,gankaosheng.com/line/5e559683.html
496,33,1357,gankaosheng.com/line/5e559683.html
495,31,1388,gankaosheng.com/line/5e559683.html
494,33,1421,gankaosheng.com/line/5e559683.html
493,30,1451,gankaosheng.com/line/5e559683.html
492,31,1482,gankaosheng.com/line/5e559683.html
491,17,1499,gankaosheng.com/line/5e559683.html
490,21,1520,gankaosheng.com/line/5e559683.html
489,35,1555,gankaosheng.com/line/5e559683.html
488,23,1578,gankaosheng.com/line/5e559683.html
487,25,1603,gankaosheng.com/line/5e559683.html
486,21,1624,gankaosheng.com/line/5e559683.html
485,15,1639,gankaosheng.com/line/5e559683.html
484,56,1695,gankaosheng.com/line/5e559683.html
483,28,1723,gankaosheng.com/line/5e559683.html
482,23,1746,gankaosheng.com/line/5e559683.html
481,22,1768,gankaosheng.com/line/5e559683.html
480,53,1821,gankaosheng.com/line/5e559683.html
479,26,1847,gankaosheng.com/line/5e559683.html
478,36,1883,gankaosheng.com/line/5e559683.html
477,10,1893,gankaosheng.com/line/5e559683.html
476,47,1940,gankaosheng.com/line/5e559683.html
475,26,1966,gankaosheng.com/line/5e559683.html
474,37,2003,gankaosheng.com/line/5e559683.html
473,9,2012,gankaosheng.com/line/5e559683.html
472,40,2052,gankaosheng.com/line/5e559683.html
471,40,2092,gankaosheng.com/line/5e559683.html
470,35,2127,gankaosheng.com/line/5e559683.html
469,47,2174,gankaosheng.com/line/5e559683.html
468,26,2200,gankaosheng.com/line/5e559683.html
467,61,2261,gankaosheng.com/line/5e559683.html
466,37,2298,gankaosheng.com/line/5e559683.html
465,38,2336,gankaosheng.com/line/5e559683.html
464,38,2374,gankaosheng.com/line/5e559683.html
463,33,2407,gankaosheng.com/line/5e559683.html
462,23,2430,gankaosheng.com/line/5e559683.html
461,33,2463,gankaosheng.com/line/5e559683.html
460,41,2504,gankaosheng.com/line/5e559683.html
459,48,2552,gankaosheng.com/line/5e559683.html
458,15,2567,gankaosheng.com/line/5e559683.html
457,60,2627,gankaosheng.com/line/5e559683.html
456,38,2665,gankaosheng.com/line/5e559683.html
455,42,2707,gankaosheng.com/line/5e559683.html
454,20,2727,gankaosheng.com/line/5e559683.html
453,34,2761,gankaosheng.com/line/5e559683.html
452,34,2795,gankaosheng.com/line/5e559683.html
451,67,2862,gankaosheng.com/line/5e559683.html
450,39,2901,gankaosheng.com/line/5e559683.html
449,14,2915,gankaosheng.com/line/5e559683.html
448,63,2978,gankaosheng.com/line/5e559683.html
447,26,3004,gankaosheng.com/line/5e559683.html
446,26,3030,gankaosheng.com/line/5e559683.html
445,68,3098,gankaosheng.com/line/5e559683.html
444,48,3146,gankaosheng.com/line/5e559683.html
443,39,3185,gankaosheng.com/line/5e559683.html
442,46,3231,gankaosheng.com/line/5e559683.html
441,67,3298,gankaosheng.com/line/5e559683.html
440,56,3354,gankaosheng.com/line/5e559683.html
439,35,3389,gankaosheng.com/line/5e559683.html
438,54,3443,gankaosheng.com/line/5e559683.html
437,16,3459,gankaosheng.com/line/5e559683.html
436,60,3519,gankaosheng.com/line/5e559683.html
435,48,3567,gankaosheng.com/line/5e559683.html
434,65,3632,gankaosheng.com/line/5e559683.html
433,63,3695,gankaosheng.com/line/5e559683.html
432,43,3738,gankaosheng.com/line/5e559683.html
431,51,3789,gankaosheng.com/line/5e559683.html
430,64,3853,gankaosheng.com/line/5e559683.html
429,18,3871,gankaosheng.com/line/5e559683.html
428,69,3940,gankaosheng.com/line/5e559683.html
427,50,3990,gankaosheng.com/line/5e559683.html
426,50,4040,gankaosheng.com/line/5e559683.html
425,33,4073,gankaosheng.com/line/5e559683.html
424,75,4148,gankaosheng.com/line/5e559683.html
423,79,4227,gankaosheng.com/line/5e559683.html
422,46,4273,gankaosheng.com/line/5e559683.html
421,43,4316,gankaosheng.com/line/5e559683.html
420,62,4378,gankaosheng.com/line/5e559683.html
419,49,4427,gankaosheng.com/line/5e559683.html
418,61,4488,gankaosheng.com/line/5e559683.html
417,33,4521,gankaosheng.com/line/5e559683.html
416,77,4598,gankaosheng.com/line/5e559683.html
415,45,4643,gankaosheng.com/line/5e559683.html
414,77,4720,gankaosheng.com/line/5e559683.html
413,65,4785,gankaosheng.com/line/5e559683.html
412,48,4833,gankaosheng.com/line/5e559683.html
411,48,4881,gankaosheng.com/line/5e559683.html
410,66,4947,gankaosheng.com/line/5e559683.html
409,15,4962,gankaosheng.com/line/5e559683.html
408,51,5013,gankaosheng.com/line/5e559683.html
407,100,5113,gankaosheng.com/line/5e559683.html
406,73,5186,gankaosheng.com/line/5e559683.html
405,36,5222,gankaosheng.com/line/5e559683.html
404,53,5275,gankaosheng.com/line/5e559683.html
403,95,5370,gankaosheng.com/line/5e559683.html
402,66,5436,gankaosheng.com/line/5e559683.html
401,44,5480,gankaosheng.com/line/5e559683.html
400,43,5523,gankaosheng.com/line/5e559683.html
399,67,5590,gankaosheng.com/line/5e559683.html
398,75,5665,gankaosheng.com/line/5e559683.html
397,64,5729,gankaosheng.com/line/5e559683.html
396,66,5795,gankaosheng.com/line/5e559683.html
395,63,5858,gankaosheng.com/line/5e559683.html
394,75,5933,gankaosheng.com/line/5e559683.html
393,64,5997,gankaosheng.com/line/5e559683.html
392,93,6090,gankaosheng.com/line/5e559683.html
391,46,6136,gankaosheng.com/line/5e559683.html
390,73,6209,gankaosheng.com/line/5e559683.html
389,16,6225,gankaosheng.com/line/5e559683.html
388,117,6342,gankaosheng.com/line/5e559683.html
387,69,6411,gankaosheng.com/line/5e559683.html
386,51,6462,gankaosheng.com/line/5e559683.html
385,54,6516,gankaosheng.com/line/5e559683.html
384,77,6593,gankaosheng.com/line/5e559683.html
383,66,6659,gankaosheng.com/line/5e559683.html
382,81,6740,gankaosheng.com/line/5e559683.html
381,71,6811,gankaosheng.com/line/5e559683.html
380,72,6883,gankaosheng.com/line/5e559683.html
379,81,6964,gankaosheng.com/line/5e559683.html
378,94,7058,gankaosheng.com/line/5e559683.html
377,66,7124,gankaosheng.com/line/5e559683.html
376,68,7192,gankaosheng.com/line/5e559683.html
375,142,7334,gankaosheng.com/line/5e559683.html
374,29,7363,gankaosheng.com/line/5e559683.html
373,23,7386,gankaosheng.com/line/5e559683.html
372,147,7533,gankaosheng.com/line/5e559683.html
371,65,7598,gankaosheng.com/line/5e559683.html
370,63,7661,gankaosheng.com/line/5e559683.html
369,118,7779,gankaosheng.com/line/5e559683.html
368,87,7866,gankaosheng.com/line/5e559683.html
367,53,7919,gankaosheng.com/line/5e559683.html
366,101,8020,gankaosheng.com/line/5e559683.html
365,80,8100,gankaosheng.com/line/5e559683.html
364,74,8174,gankaosheng.com/line/5e559683.html
363,68,8242,gankaosheng.com/line/5e559683.html
362,81,8323,gankaosheng.com/line/5e559683.html
361,133,8456,gankaosheng.com/line/5e559683.html
360,94,8550,gankaosheng.com/line/5e559683.html
359,30,8580,gankaosheng.com/line/5e559683.html
358,135,8715,gankaosheng.com/line/5e559683.html
357,101,8816,gankaosheng.com/line/5e559683.html
356,77,8893,gankaosheng.com/line/5e559683.html
355,81,8974,gankaosheng.com/line/5e559683.html
354,96,9070,gankaosheng.com/line/5e559683.html
353,75,9145,gankaosheng.com/line/5e559683.html
352,130,9275,gankaosheng.com/line/5e559683.html
351,80,9355,gankaosheng.com/line/5e559683.html
350,89,9444,gankaosheng.com/line/5e559683.html
349,77,9521,gankaosheng.com/line/5e559683.html
348,90,9611,gankaosheng.com/line/5e559683.html
347,102,9713,gankaosheng.com/line/5e559683.html
346,132,9845,gankaosheng.com/line/5e559683.html
345,70,9915,gankaosheng.com/line/5e559683.html
344,83,9998,gankaosheng.com/line/5e559683.html
343,81,10079,gankaosheng.com/line/5e559683.html
342,152,10231,gankaosheng.com/line/5e559683.html
341,51,10282,gankaosheng.com/line/5e559683.html
340,82,10364,gankaosheng.com/line/5e559683.html
339,160,10524,gankaosheng.com/line/5e559683.html
338,70,10594,gankaosheng.com/line/5e559683.html
337,90,10684,gankaosheng.com/line/5e559683.html
336,92,10776,gankaosheng.com/line/5e559683.html
335,130,10906,gankaosheng.com/line/5e559683.html
334,130,11036,gankaosheng.com/line/5e559683.html
333,33,11069,gankaosheng.com/line/5e559683.html
332,170,11239,gankaosheng.com/line/5e559683.html
331,96,11335,gankaosheng.com/line/5e559683.html
330,112,11447,gankaosheng.com/line/5e559683.html
329,45,11492,gankaosheng.com/line/5e559683.html
328,140,11632,gankaosheng.com/line/5e559683.html
327,79,11711,gankaosheng.com/line/5e559683.html
326,128,11839,gankaosheng.com/line/5e559683.html
325,75,11914,gankaosheng.com/line/5e559683.html
324,111,12025,gankaosheng.com/line/5e559683.html
323,130,12155,gankaosheng.com/line/5e559683.html
322,107,12262,gankaosheng.com/line/5e559683.html
321,45,12307,gankaosheng.com/line/5e559683.html
320,161,12468,gankaosheng.com/line/5e559683.html
319,118,12586,gankaosheng.com/line/5e559683.html
318,21,12607,gankaosheng.com/line/5e559683.html
317,155,12762,gankaosheng.com/line/5e559683.html
316,118,12880,gankaosheng.com/line/5e559683.html
315,129,13009,gankaosheng.com/line/5e559683.html
314,93,13102,gankaosheng.com/line/5e559683.html
313,126,13228,gankaosheng.com/line/5e559683.html
312,84,13312,gankaosheng.com/line/5e559683.html
311,119,13431,gankaosheng.com/line/5e559683.html
310,115,13546,gankaosheng.com/line/5e559683.html
309,119,13665,gankaosheng.com/line/5e559683.html
308,111,13776,gankaosheng.com/line/5e559683.html
307,101,13877,gankaosheng.com/line/5e559683.html
306,59,13936,gankaosheng.com/line/5e559683.html
305,89,14025,gankaosheng.com/line/5e559683.html
304,141,14166,gankaosheng.com/line/5e559683.html
303,61,14227,gankaosheng.com/line/5e559683.html
302,129,14356,gankaosheng.com/line/5e559683.html
301,115,14471,gankaosheng.com/line/5e559683.html
300,67,14538,gankaosheng.com/line/5e559683.html
299,74,14612,gankaosheng.com/line/5e559683.html
298,120,14732,gankaosheng.com/line/5e559683.html
297,144,14876,gankaosheng.com/line/5e559683.html
296,66,14942,gankaosheng.com/line/5e559683.html
295,84,15026,gankaosheng.com/line/5e559683.html
294,138,15164,gankaosheng.com/line/5e559683.html
293,114,15278,gankaosheng.com/line/5e559683.html
292,120,15398,gankaosheng.com/line/5e559683.html
291,96,15494,gankaosheng.com/line/5e559683.html
290,88,15582,gankaosheng.com/line/5e559683.html
289,103,15685,gankaosheng.com/line/5e559683.html
288,85,15770,gankaosheng.com/line/5e559683.html
287,152,15922,gankaosheng.com/line/5e559683.html
286,161,16083,gankaosheng.com/line/5e559683.html
285,59,16142,gankaosheng.com/line/5e559683.html
284,94,16236,gankaosheng.com/line/5e559683.html
283,182,16418,gankaosheng.com/line/5e559683.html
282,71,16489,gankaosheng.com/line/5e559683.html
281,101,16590,gankaosheng.com/line/5e559683.html
280,103,16693,gankaosheng.com/line/5e559683.html
279,104,16797,gankaosheng.com/line/5e559683.html
278,79,16876,gankaosheng.com/line/5e559683.html
277,113,16989,gankaosheng.com/line/5e559683.html
276,84,17073,gankaosheng.com/line/5e559683.html
275,64,17137,gankaosheng.com/line/5e559683.html
274,69,17206,gankaosheng.com/line/5e559683.html
273,128,17334,gankaosheng.com/line/5e559683.html
272,132,17466,gankaosheng.com/line/5e559683.html
271,72,17538,gankaosheng.com/line/5e559683.html
270,59,17597,gankaosheng.com/line/5e559683.html
269,96,17693,gankaosheng.com/line/5e559683.html
268,80,17773,gankaosheng.com/line/5e559683.html
267,84,17857,gankaosheng.com/line/5e559683.html
266,108,17965,gankaosheng.com/line/5e559683.html
265,131,18096,gankaosheng.com/line/5e559683.html
264,103,18199,gankaosheng.com/line/5e559683.html
263,117,18316,gankaosheng.com/line/5e559683.html
262,86,18402,gankaosheng.com/line/5e559683.html
261,106,18508,gankaosheng.com/line/5e559683.html
260,94,18602,gankaosheng.com/line/5e559683.html
259,61,18663,gankaosheng.com/line/5e559683.html
258,87,18750,gankaosheng.com/line/5e559683.html
257,99,18849,gankaosheng.com/line/5e559683.html
256,78,18927,gankaosheng.com/line/5e559683.html
255,137,19064,gankaosheng.com/line/5e559683.html
254,68,19132,gankaosheng.com/line/5e559683.html
253,66,19198,gankaosheng.com/line/5e559683.html
252,65,19263,gankaosheng.com/line/5e559683.html
251,97,19360,gankaosheng.com/line/5e559683.html
250,69,19429,gankaosheng.com/line/5e559683.html
249,105,19534,gankaosheng.com/line/5e559683.html
248,70,19604,gankaosheng.com/line/5e559683.html
247,98,19702,gankaosheng.com/line/5e559683.html
246,137,19839,gankaosheng.com/line/5e559683.html
245,95,19934,gankaosheng.com/line/5e559683.html
244,92,20026,gankaosheng.com/line/5e559683.html
243,92,20118,gankaosheng.com/line/5e559683.html
242,62,20180,gankaosheng.com/line/5e559683.html
241,80,20260,gankaosheng.com/line/5e559683.html
240,57,20317,gankaosheng.com/line/5e559683.html
239,74,20391,gankaosheng.com/line/5e559683.html
238,59,20450,gankaosheng.com/line/5e559683.html
237,94,20544,gankaosheng.com/line/5e559683.html
236,62,20606,gankaosheng.com/line/5e559683.html
235,38,20644,gankaosheng.com/line/5e559683.html
234,69,20713,gankaosheng.com/line/5e559683.html
233,74,20787,gankaosheng.com/line/5e559683.html
232,71,20858,gankaosheng.com/line/5e559683.html
231,73,20931,gankaosheng.com/line/5e559683.html
230,58,20989,gankaosheng.com/line/5e559683.html
229,52,21041,gankaosheng.com/line/5e559683.html
228,72,21113,gankaosheng.com/line/5e559683.html
227,51,21164,gankaosheng.com/line/5e559683.html
226,42,21206,gankaosheng.com/line/5e559683.html
225,57,21263,gankaosheng.com/line/5e559683.html
224,83,21346,gankaosheng.com/line/5e559683.html
223,62,21408,gankaosheng.com/line/5e559683.html
222,42,21450,gankaosheng.com/line/5e559683.html
221,66,21516,gankaosheng.com/line/5e559683.html
220,46,21562,gankaosheng.com/line/5e559683.html
219,49,21611,gankaosheng.com/line/5e559683.html
218,63,21674,gankaosheng.com/line/5e559683.html
217,35,21709,gankaosheng.com/line/5e559683.html
216,42,21751,gankaosheng.com/line/5e559683.html
215,63,21814,gankaosheng.com/line/5e559683.html
214,38,21852,gankaosheng.com/line/5e559683.html
213,30,21882,gankaosheng.com/line/5e559683.html
212,20,21902,gankaosheng.com/line/5e559683.html
211,35,21937,gankaosheng.com/line/5e559683.html
210,45,21982,gankaosheng.com/line/5e559683.html
209,43,22025,gankaosheng.com/line/5e559683.html
208,36,22061,gankaosheng.com/line/5e559683.html
207,34,22095,gankaosheng.com/line/5e559683.html
206,36,22131,gankaosheng.com/line/5e559683.html
205,38,22169,gankaosheng.com/line/5e559683.html
204,34,22203,gankaosheng.com/line/5e559683.html
203,11,22214,gankaosheng.com/line/5e559683.html
202,27,22241,gankaosheng.com/line/5e559683.html
201,36,22277,gankaosheng.com/line/5e559683.html
200,30,22307,gankaosheng.com/line/5e559683.html
199,21,22328,gankaosheng.com/line/5e559683.html
198,21,22349,gankaosheng.com/line/5e559683.html
197,32,22381,gankaosheng.com/line/5e559683.html
196,30,22411,gankaosheng.com/line/5e559683.html
195,28,22439,gankaosheng.com/line/5e559683.html
194,18,22457,gankaosheng.com/line/5e559683.html
193,20,22477,gankaosheng.com/line/5e559683.html
192,22,22499,gankaosheng.com/line/5e559683.html
191,18,22517,gankaosheng.com/line/5e559683.html
190,17,22534,gankaosheng.com/line/5e559683.html
189,34,22568,gankaosheng.com/line/5e559683.html
188,17,22585,gankaosheng.com/line/5e559683.html
187,24,22609,gankaosheng.com/line/5e559683.html
186,19,22628,gankaosheng.com/line/5e559683.html
185,18,22646,gankaosheng.com/line/5e559683.html
184,16,22662,gankaosheng.com/line/5e559683.html
